XXXXX	HINT_BC	HINT_BCN	HINT	DNase2TF	PIQ	Wellington	Neph	Boyle	FLR	Pique	TC	Cuellar	PWM	FOS
HINT_BC	XXXXX	1.5425e-13	1.0259e-13	1.0925e-13	2.0802e-14	1.8275e-14	1.2782e-14	2.7108e-15	4.828e-16	6.4224e-15	3.7967e-16	5.8174e-15	5.3503e-16	3.7967e-16
HINT_BCN	1.5425e-13	XXXXX	4.0669e-16	3.7967e-16	2.7108e-15	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	4.828e-16	3.7967e-16	2.8028e-15	5.729e-16	3.7967e-16
HINT	1.0259e-13	4.0669e-16	XXXXX	1.334e-08	1.7138e-09	7.9609e-11	8.4135e-11	4.0785e-11	1.7692e-14	1.8032e-13	1.0218e-15	3.2659e-14	6.1342e-16	3.7967e-16
DNase2TF	1.0925e-13	3.7967e-16	1.334e-08	XXXXX	1.0587e-13	1.0218e-15	1.6395e-15	3.7967e-16	3.7967e-16	5.2758e-14	3.7967e-16	3.2659e-14	6.5675e-16	3.7967e-16
PIQ	2.0802e-14	2.7108e-15	1.7138e-09	1.0587e-13	XXXXX	7.9443e-06	0.002242	8.1723e-09	1.8117e-10	2.9506e-08	2.0692e-11	3.4108e-09	8.6235e-16	3.7967e-16
Wellington	1.8275e-14	3.7967e-16	7.9609e-11	1.0218e-15	7.9443e-06	XXXXX	0.14938	3.7824e-15	4.508e-16	7.4324e-13	3.7967e-16	8.3923e-13	9.2296e-16	3.7967e-16
Neph	1.2782e-14	3.7967e-16	8.4135e-11	1.6395e-15	0.002242	0.14938	XXXXX	0.0018174	9.8775e-16	8.9168e-13	3.7967e-16	1.1356e-12	9.5481e-16	3.7967e-16
Boyle	2.7108e-15	3.7967e-16	4.0785e-11	3.7967e-16	8.1723e-09	3.7824e-15	0.0018174	XXXXX	6.7954e-16	9.4735e-13	3.7967e-16	1.8916e-12	9.5481e-16	3.7967e-16
FLR	4.828e-16	3.7967e-16	1.7692e-14	3.7967e-16	1.8117e-10	4.508e-16	9.8775e-16	6.7954e-16	XXXXX	0.005622	2.3723e-14	1.1042e-09	1.6956e-15	3.7967e-16
Pique	6.4224e-15	4.828e-16	1.8032e-13	5.2758e-14	2.9506e-08	7.4324e-13	8.9168e-13	9.4735e-13	0.005622	XXXXX	8.7994e-09	3.0038e-06	2.0741e-15	3.7967e-16
TC	3.7967e-16	3.7967e-16	1.0218e-15	3.7967e-16	2.0692e-11	3.7967e-16	3.7967e-16	3.7967e-16	2.3723e-14	8.7994e-09	XXXXX	0.034509	3.5391e-15	3.7967e-16
Cuellar	5.8174e-15	2.8028e-15	3.2659e-14	3.2659e-14	3.4108e-09	8.3923e-13	1.1356e-12	1.8916e-12	1.1042e-09	3.0038e-06	0.034509	XXXXX	1.057e-15	3.7967e-16
PWM	5.3503e-16	5.729e-16	6.1342e-16	6.5675e-16	8.6235e-16	9.2296e-16	9.5481e-16	9.5481e-16	1.6956e-15	2.0741e-15	3.5391e-15	1.057e-15	XXXXX	6.098e-05
FOS	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	6.098e-05	XXXXX
