	DU_H1hesc	DU_HeLaS3	DU_HepG2	DU_Huvec	DU_K562	DU_Mcf7	DU_NakedK562	DU_NakedMcf7	UW_H7hesc	UW_HepG2	UW_Huvec	UW_IMR90	UW_K562	UW_LnCaP	UW_m3134
DU_H1hesc	1	0.919823	0.906717	0.836489	0.828516	0.71904	0.427292	0.564065	0.439974	0.232339	0.485483	0.113609	0.16127	0.825405	0.466177
DU_HeLaS3	0.919823	1	0.984408	0.938671	0.887186	0.848439	0.554144	0.688476	0.61775	0.227803	0.643841	0.277699	0.171944	0.909193	0.632176
DU_HepG2	0.906717	0.984408	1	0.950005	0.920109	0.868383	0.564574	0.705966	0.662955	0.14657	0.68869	0.304993	0.084152	0.936101	0.671296
DU_Huvec	0.836489	0.938671	0.950005	1	0.825121	0.860163	0.687197	0.821111	0.786727	0.02715	0.804526	0.44412	-0.017333	0.867517	0.78537
DU_K562	0.828516	0.887186	0.920109	0.825121	1	0.870831	0.386057	0.52643	0.573961	0.204494	0.576861	0.176466	0.13298	0.978066	0.604077
DU_Mcf7	0.71904	0.848439	0.868383	0.860163	0.870831	1	0.526472	0.65417	0.727638	0.08672	0.689105	0.334117	0.057982	0.898756	0.738613
DU_NakedK562	0.427292	0.554144	0.564574	0.687197	0.386057	0.526472	1	0.94358	0.728667	-0.208139	0.725016	0.813674	-0.208003	0.452944	0.693901
DU_NakedMcf7	0.564065	0.688476	0.705966	0.821111	0.52643	0.65417	0.94358	1	0.831334	-0.191915	0.832153	0.761152	-0.204566	0.601076	0.792306
UW_H7hesc	0.439974	0.61775	0.662955	0.786727	0.573961	0.727638	0.728667	0.831334	1	-0.188219	0.978307	0.70229	-0.210402	0.640194	0.976211
UW_HepG2	0.232339	0.227803	0.14657	0.02715	0.204494	0.08672	-0.208139	-0.191915	-0.188219	1	-0.180834	-0.303546	0.973101	0.190636	-0.116007
UW_Huvec	0.485483	0.643841	0.68869	0.804526	0.576861	0.689105	0.725016	0.832153	0.978307	-0.180834	1	0.689522	-0.20814	0.631345	0.963157
UW_IMR90	0.113609	0.277699	0.304993	0.44412	0.176466	0.334117	0.813674	0.761152	0.70229	-0.303546	0.689522	1	-0.287327	0.24675	0.656393
UW_K562	0.16127	0.171944	0.084152	-0.017333	0.13298	0.057982	-0.208003	-0.204566	-0.210402	0.973101	-0.20814	-0.287327	1	0.121579	-0.146235
UW_LnCaP	0.825405	0.909193	0.936101	0.867517	0.978066	0.898756	0.452944	0.601076	0.640194	0.190636	0.631345	0.24675	0.121579	1	0.661235
UW_m3134	0.466177	0.632176	0.671296	0.78537	0.604077	0.738613	0.693901	0.792306	0.976211	-0.116007	0.963157	0.656393	-0.146235	0.661235	1
