METHOD	CORRELATION	P-VALUE
Wellington	-0.346621913961951	0.000938625107186109
Neph	-0.318125079913638	0.00252364687521514
Boyle	-0.284429598528569	0.00723674221656472
DNase2TF	-0.279053198400375	0.00846735216721115
Centipede	-0.239533891907149	0.0245935126770898
FS	-0.220082134445045	0.039363269337028
PWM	-0.20439342845645	0.0561096117469509
HINT-BCN	-0.185604493175003	0.0833970524303927
PIQ	-0.18424491216978	0.0857232886315096
Cuellar	-0.162323788228862	0.130788431136177
FLR	-0.133134247420065	0.216248299372376
HINT	-0.083724174308992	0.438023286152046
HINT-BC	-0.0650192792782721	0.547273148817875
