METHOD	CORRELATION	P-VALUE
Neph	-0.295208319475943	0.0232155950512997
Wellington	-0.29474263012521	0.0234440910915131
Boyle	-0.263538378295776	0.0437194108086472
DNase2TF	-0.247397497089323	0.0588758270944361
PWM	-0.215564568854627	0.101068318528485
PIQ	-0.17684362410241	0.180282451551071
FS	-0.172948526808657	0.190224468100574
FLR	-0.142969673191881	0.280037404218132
HINT-BCN	-0.137008997062921	0.300781649987874
Centipede	-0.094288811281368	0.47749646404816
Cuellar	-0.0915777567346375	0.490305350059917
HINT	-0.0479387367672785	0.718433430650899
HINT-BC	-0.0339666200124809	0.798418860037317
