FACTOR	LAB_MH	LAB_SS	LAB_SY	LAB_IU	LAB_BB	LAB_FU	LAB_SU	LAB_WU	LAB_SH	LAB_ES
ATF2 (SC-81188)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
ATF3 (SC-188)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
BACH1 (SC-14700)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
BCL11A (AB19489)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
BRCA1 (A300-000A)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
C-JUN (SC-1694)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
C-MYC (SC-764)	NA	NP	NA	NP	NA	NA	NA	NA	NA	NP
CEBPB (SC-150)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
CHD1 (A301-218A)	NA	NP	NA	NA	BP	NA	NA	NA	NA	NP
CHD2 (AB68301)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
CHD7 (A301-223A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
CREB1 (SC-240)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTBP2 (612044)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
CTCF (07-729)	NA	NA	NA	NP	BP	NA	NA	NA	NA	NP
CTCF (SC-5916)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
E2F6 (SC-22823)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR1 (SC-110)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
EZH2 (39875)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP
FOSL1 (SC-183)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
GABPA (SC-28312)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
GTF2F1 (AB28179)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
H2AZ (07-594)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K27AC (AB4729)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K27ME3 (07-449)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K36ME3 (AB9050)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K4ME1 (AB8895)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K4ME2 (AB7766)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K4ME3 (07-473)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K79ME2 (39143)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K9AC (AB4441)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K9ME3 (AB8898)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H4K20ME1 (AB9051)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
