FACTOR	LAB_MH	LAB_SS	LAB_SY	LAB_IU	LAB_BB	LAB_FU	LAB_SU	LAB_WU	LAB_SH	LAB_ES
ARID3A (NB100-279)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
ATF3 (SC-188)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
BHLHE40 (NB100-1800)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
BHLHE40 (SC-101023)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
BRCA1 (A300-000A)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
C-JUN (SC-1694)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
C-MYC (SC-764)	NA	NA	NA	NP	NA	NA	NA	NA	NA	NP
CEBPB (SC-150)	BP	NP	NA	NA	NA	NA	NA	NA	NA	NP
CEBPD (SC-636)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
CEBPZ (SAB2100398)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA
CHD2 (AB68301)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
CREB1 (SC-240)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTCF (07-729)	NA	NA	NA	NP	BP	NA	NP	NA	NA	NP
CTCF (SC-5916)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
ELF1 (SC-631)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
ESRRA (SC-66882)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
EZH2 (39875)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP
FOSL2 (SC-604)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
FOXA1 (SC-101058)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
FOXA1 (SC-6553)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
FOXA2 (SC-6554)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
GABPA (SC-28312)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
GRP20 (SC-1002)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
H2AZ (07-594)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K27AC (AB4729)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K27ME3 (07-449)	NA	NA	NA	NA	BP	NA	NP	NA	NA	NA
H3K36ME3 (AB9050)	NA	NA	NA	NA	BP	NA	NP	NA	NA	NA
H3K4ME1 (AB8895)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K4ME2 (AB7766)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K4ME3 (07-473)	NA	NA	NA	NA	BP	NA	NP	NA	NA	NA
H3K79ME2 (39143)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K9AC (AB4441)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K9ME3 (AB8898)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H4K20ME1 (AB9051)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
HDAC2 (SC-6296)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
HNF4A (SC-6556)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
HNF4A (SC-8987)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
HNF4G (SC-6558)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
HSF1 (SC-9144)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
IRF3 (SC-9082)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
JUND (SC-74)	BP	NP	NA	NA	NA	NA	NA	NA	NA	NP
MAFF (M8194)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
MAFK (AB50322)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
MAFK (SC-477)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
MAX (SC-197)	BP	NP	NA	NA	NA	NA	NA	NA	NA	NP
MAZ (AB85725)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
MBD4 (SC-271530)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
MXI1 (AF4185)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
MYBL2 (SC-81192)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
NFIC (SC-81335)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
NR2F2 (SC-271940)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NA
NRF1 (AB55744)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
NRSF	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
P300/EP300 (SC-584)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
P300/EP300 (SC-585)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
PGC1A (SC-13067)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
POL2 (MMS-126R)	BP	NP	NP	NP	NA	NA	NA	NA	NA	NP
POL2 (PHOSPHO S2) (AB5095)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
POL2-4H8 (AB5408)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
RAD21 (AB992)	BP	NP	NA	NA	NA	NA	NA	NA	NA	NP
RCOR1/COREST (SC30189)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
RFX5 (200-401-194)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
RXRA (SC-553)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
SIN3AK20 (SC-994)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
SMC3 (AB9263)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
SP1 (SC-17824)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
SP2 (SC-643)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
SREBP1 (SC-8984)	NA	NP	NP	NA	NA	NA	NA	NA	NA	NP
SREBP2 (10007663)	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA
SRF (SC-335)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
TAF1 (SC-735)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
TBP (AB62126)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
TCF12 (SC-357)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
TCF7L2 (2569)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
TEAD4 (SC-101184)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
TR4	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
