FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Boyle_GM12878_protection_mean	Boyle_GM12878_protection_median	Boyle_GM12878_protection_std	Boyle_K562_protection_mean	Boyle_K562_protection_median	Boyle_K562_protection_std	Boyle_protection_ks_stat	Boyle_protection_ks_pvalue	Boyle_GM12878_tc_mean	Boyle_GM12878_tc_median	Boyle_GM12878_tc_std	Boyle_K562_tc_mean	Boyle_K562_tc_median	Boyle_K562_tc_std	Boyle_tc_ks_stat	Boyle_tc_ks_pvalue	Boyle_GM12878_fos_mean	Boyle_GM12878_fos_median	Boyle_GM12878_fos_std	Boyle_K562_fos_mean	Boyle_K562_fos_median	Boyle_K562_fos_std	Boyle_fos_ks_stat	Boyle_fos_ks_pvalue	Boyle_GM12878_flr_mean	Boyle_GM12878_flr_median	Boyle_GM12878_flr_std	Boyle_K562_flr_mean	Boyle_K562_flr_median	Boyle_K562_flr_std	Boyle_flr_ks_stat	Boyle_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.00867339096344	0.00705370459668	0.00740859133111	0.00729714777378	0.00603561936589	0.00575228002805	-0.039764242194	-300.0	0.774164762244	0.780023472068	0.0624831528469	0.679300387255	0.693403010773	0.0399861466081	-0.51550497155	-300.0	0.58155120016	0.578628694508	0.0453317166091	0.529842192158	0.526385066411	0.0343791088435	-0.461058160323	-300.0	0.348768772979	0.348519141727	0.0611780320069	0.312182589909	0.307925318601	0.0298517172509	-0.467025852242	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.0260217428976	0.0216588504189	0.0146792912174	0.0197841081284	0.016268311952	0.0104038516608	-0.106476328518	-300.0	0.724012112205	0.727713539351	0.0542864199007	0.67579015246	0.684978777042	0.0376924793937	-0.180942281269	-298.818949176	0.568463988384	0.56473501935	0.0625118647737	0.52911096609	0.520823071046	0.0377321471448	-0.275715763716	-300.0	0.290870695931	0.294750726365	0.0450852311314	0.270233491145	0.272588458039	0.0207297844675	-0.209757957963	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.029209366215	0.0246213736293	0.0159785744207	0.023564645179	0.0209494535308	0.011873282126	-0.112377403135	-300.0	0.761334703835	0.770969004963	0.0729789531557	0.675870193889	0.694793439173	0.046699620064	-0.390617707002	-300.0	0.486438686057	0.482508161767	0.0458978488462	0.449766122958	0.445034035298	0.0326163540828	-0.384496240842	-300.0	0.312003408041	0.308373331349	0.0823214965412	0.28900889614	0.284669954994	0.035245443686	-0.356009001088	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.0521951123831	0.046495740021	0.0180272668039	0.0609086053369	0.0531956328575	0.0246909844334	0.0050682331441	-300.0	0.83748661228	0.843131034154	0.0558031811505	0.706612971707	0.718879861613	0.0384082393955	-0.737837462044	-300.0	0.570030290028	0.568109238071	0.0405659336632	0.5328505401	0.531112844516	0.0304173710274	-0.358590730121	-300.0	0.324251465374	0.322296765968	0.0544109566793	0.302505528775	0.300521107314	0.0311895841277	-0.40649866189	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0111294731182	0.00954420427404	0.00719127066348	0.00903979728872	0.00784625774341	0.0054612157193	-0.059699894907	-300.0	0.83643794695	0.842867705123	0.0671083827919	0.689572457368	0.70334285786	0.0401770724759	-0.70666146349	-300.0	0.481699126337	0.474029978958	0.0624140318357	0.460503868729	0.449532265564	0.0432528562379	-0.168927686841	-300.0	0.352421256722	0.348231203314	0.0864544362452	0.333591156098	0.326164426682	0.0360378542325	-0.383370832793	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.0471275812415	0.038901743739	0.0266652713528	0.0357140826401	0.0294128738456	0.0191327407938	-0.121770882839	-300.0	0.747521678371	0.754222242524	0.0706038722656	0.698780827116	0.716201141536	0.0411027935039	-0.128746158302	-92.4664470041	0.558181706227	0.557845196305	0.0640346369676	0.532943534432	0.533480104899	0.0433219375558	-0.131112985749	-264.345803333	0.2864209241	0.28728213354	0.0744783304217	0.285634471609	0.277397815926	0.0377151283022	-0.0429583180106	-134.896453494
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.0182965053304	0.0145326996059	0.0122375810132	0.0136185700749	0.0110149469584	0.00880523049783	-0.0439866653429	-300.0	0.823124290064	0.832148201301	0.0508973649309	0.721040965868	0.732527748967	0.0463598089583	-0.628612283308	-300.0	0.465654730942	0.463560385131	0.0326659217488	0.451424914391	0.447860731597	0.0262946366613	-0.166479059964	-300.0	0.328775111358	0.327752902552	0.0360749096671	0.333441538258	0.334588291193	0.0542365420576	0.00193115949246	-207.590522705
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.0195541491391	0.0157267102809	0.0164223521555	0.0141680948666	0.0114075804406	0.0122160298691	-0.0453880029274	-300.0	0.711164868947	0.72573454749	0.0388053372879	0.725116388886	0.732499644247	0.0607686645635	0.0897364459185	-11.2027803033	0.449600420074	0.452230779365	0.040356065671	0.430090612235	0.43173360033	0.02751871017	-0.201873137016	-300.0	0.273115105144	0.271957455576	0.0599456575626	0.268556955815	0.263628408298	0.0319455663129	-0.147409710825	-146.212096044
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.102404113003	0.0918766651947	0.0511820583784	0.0739724891141	0.0648450953966	0.0360110510432	-0.0716188506685	-300.0	0.667648702311	0.688793389623	0.0517295587652	0.691184383735	0.699568585114	0.0897686563851	0.0656030131544	-29.8067951012	0.509678018254	0.502899999881	0.0730307806631	0.499643166836	0.488447688993	0.0487826956233	-0.0309343225466	-125.461077111	0.288082937809	0.28322824255	0.108426512536	0.286501721319	0.271745600189	0.0488057743007	-0.0495053056259	-131.891742935
STAT4	-2.825769995	5.2946641167	2.4688941217	0.0269896911619	0.02168838091	0.0149484936428	0.0208853907106	0.0172061048837	0.0106994442054	-0.177669506838	-300.0	0.826983550868	0.835479336671	0.0499021618093	0.730499649987	0.742401344916	0.0436143058986	-0.632374465969	-300.0	0.576071509884	0.57641305326	0.0382671178974	0.557499291484	0.557132349002	0.0280587333652	-0.187777381647	-300.0	0.300988289756	0.299000218535	0.0516513976673	0.291602241385	0.289138436467	0.0350222029888	-0.212673118456	-300.0
TP63	-2.7040282939	7.2572711722	4.5532428783	0.0211349495951	0.0177793417269	0.0132078435624	0.0161289620933	0.0133548300952	0.00926810483217	-0.128649772717	-300.0	0.767314855383	0.77484531249	0.0716930370605	0.696058546664	0.714520631375	0.0445521679437	-0.236366500369	-300.0	0.546022915261	0.541060698336	0.060199246646	0.533984383616	0.526062567466	0.0420719013541	-0.0473706723431	-262.090281487	0.34772995344	0.345125078531	0.102002729338	0.347421147885	0.33502696502	0.0478628239539	-0.10196383819	-300.0
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.0351922550428	0.0308225375058	0.0144400888049	0.0297976949795	0.0267492599176	0.0104273757058	-0.0694327527643	-300.0	0.84930783299	0.855401023328	0.0582036391977	0.726113332386	0.740594004803	0.0385970450195	-0.684699907729	-300.0	0.525787199214	0.523802717964	0.0477259230894	0.509343538657	0.507630254226	0.0330309746035	-0.0738873916635	-300.0	0.323523858646	0.321674493479	0.065072663772	0.320058743965	0.31312775275	0.0269032444511	-0.144612325305	-300.0
MEF2C	-2.312784923	10.5691021611	8.2563172381	0.0194613299327	0.0157298434948	0.0127949683086	0.0144556097402	0.0116843495308	0.00936867139859	-0.0913250550587	-300.0	0.723414952562	0.73672292654	0.04159785998	0.744509787834	0.751977992811	0.0563517658043	0.0684025358402	-79.3337007176	0.368823836789	0.370304195587	0.0307986540317	0.357347483651	0.358365638776	0.0206586246998	-0.145239254405	-300.0	0.347916258642	0.346027039112	0.0507093157536	0.331587447606	0.331111090253	0.0285639901409	-0.260030212254	-300.0
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.0434795412839	0.0371176449809	0.0227243652116	0.0316918925559	0.0271073358493	0.0150603389551	-0.0923239850661	-300.0	0.783066881064	0.787095500651	0.0544890950345	0.713757141588	0.723811565617	0.0353600772243	-0.340798447672	-300.0	0.515360525606	0.514235684721	0.0430740447814	0.508878147731	0.505328883457	0.0251007314005	-0.0275653960277	-300.0	0.30770928051	0.308334525984	0.0570361445391	0.297483702249	0.298664593626	0.0278536561523	-0.0888547094887	-300.0
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.0254703157087	0.0205308070828	0.0154938169813	0.0189565101349	0.0154197497417	0.0110290771609	-0.158978775766	-300.0	0.762958315276	0.773028172133	0.0598381465183	0.720360204208	0.734937194564	0.0450385357975	-0.154501003231	-125.622944295	0.346964777649	0.348438620987	0.0360072831603	0.337977770184	0.338495601207	0.0238261439783	-0.0541252457375	-179.20490818	0.338921696782	0.336031597067	0.0491122494025	0.318599383878	0.323139457577	0.0294135760967	-0.318746547898	-300.0
REL	-2.0628250132	8.3178302778	6.2550052646	0.0353155149733	0.030839608101	0.0147944518069	0.029532034242	0.0265215261657	0.0105393507418	-0.0512897002942	-300.0	0.809225508059	0.816166276591	0.0637820579321	0.718379855048	0.733345937179	0.0430289060686	-0.476982012666	-300.0	0.674848090473	0.672183578649	0.0435159710313	0.660831981712	0.658580337657	0.0306141021551	-0.0745828088583	-300.0	0.345835726697	0.343660632486	0.0737826648174	0.345769732704	0.337764315601	0.0315965279141	-0.080978737933	-241.811528706
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.0222351769245	0.0173397504445	0.0154063745211	0.0157828697603	0.0124662632873	0.0110109438814	-0.00996594828255	-300.0	0.723147742639	0.73679195365	0.0381379553548	0.750950357048	0.757857256844	0.057760010964	0.0454249870483	-115.958590465	0.636529664645	0.638985655732	0.0388928737868	0.623310131258	0.625735596294	0.0248607497938	-0.107401448373	-300.0	0.315334318028	0.312143304684	0.0267938050494	0.317910927953	0.317813892479	0.0525795271821	0.111811517979	-70.9432849855
