FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Centipede_99_GM12878_protection_mean	Centipede_99_GM12878_protection_median	Centipede_99_GM12878_protection_std	Centipede_99_K562_protection_mean	Centipede_99_K562_protection_median	Centipede_99_K562_protection_std	Centipede_99_protection_ks_stat	Centipede_99_protection_ks_pvalue	Centipede_99_GM12878_tc_mean	Centipede_99_GM12878_tc_median	Centipede_99_GM12878_tc_std	Centipede_99_K562_tc_mean	Centipede_99_K562_tc_median	Centipede_99_K562_tc_std	Centipede_99_tc_ks_stat	Centipede_99_tc_ks_pvalue	Centipede_99_GM12878_fos_mean	Centipede_99_GM12878_fos_median	Centipede_99_GM12878_fos_std	Centipede_99_K562_fos_mean	Centipede_99_K562_fos_median	Centipede_99_K562_fos_std	Centipede_99_fos_ks_stat	Centipede_99_fos_ks_pvalue	Centipede_99_GM12878_flr_mean	Centipede_99_GM12878_flr_median	Centipede_99_GM12878_flr_std	Centipede_99_K562_flr_mean	Centipede_99_K562_flr_median	Centipede_99_K562_flr_std	Centipede_99_flr_ks_stat	Centipede_99_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.34639309209	0.331592784635	0.170110333593	0.261213224973	0.240276053458	0.135316458994	-0.0696254509426	-95.886560171	0.795862088702	0.800734748214	0.0601318585883	0.692683206042	0.706870803914	0.0361388936923	-0.599856948374	-300.0	0.318605760889	0.312831858407	0.0549639520523	0.281246019375	0.276146419952	0.0413520455969	-0.408946078431	-15.9114626543	0.327905664691	0.328485030688	0.129610369798	0.314008127333	0.298581571777	0.0391446129657	-0.317481556156	-59.9554868795
FLII	-5.7267807974	8.5333091889	2.8065283915	0.346961536613	0.337023588984	0.164268904938	0.262613336491	0.24971937733	0.133356676083	-0.0604008683778	-34.3906786758	0.750390861485	0.754849954139	0.052156560623	0.711689826757	0.722795158971	0.0354366966578	-0.112042053372	-300.0	0.48040590295	0.436762371222	0.150150123951	0.373189634951	0.367332015798	0.100171924046	-0.257282913165	-2.80939490732	0.541661759724	0.541440241889	0.123968036997	0.498179206486	0.494944029291	0.0592247525336	-0.248691817152	-25.3641983745
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.335580898214	0.316876981432	0.176522773596	0.25469376256	0.244095266247	0.134305956323	-0.0491984878947	-34.3490953416	0.759981660103	0.767833048057	0.0725115268421	0.695752737407	0.713721939689	0.0448755426269	-0.239338664486	-300.0	0.544986141674	0.539176909923	0.0543341856842	0.495820542856	0.49450700302	0.0369251000222	-0.461987878788	-24.3751526308	0.295723077137	0.291676603845	0.148392824233	0.295121381407	0.269675708825	0.0501465682517	-0.251544552247	-14.5615499773
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.330069522306	0.317377744481	0.165245175663	0.238229684844	0.218389445621	0.126265727303	-0.0959693065702	-69.6284470986	0.847178210336	0.851968452139	0.0508485283898	0.730858496442	0.743436662909	0.0330206690523	-0.736615325172	-300.0	0.485889691951	0.482586200207	0.0463834365838	0.445136994175	0.444292458922	0.0315370166264	-0.401397025687	-17.174263551	0.288988013165	0.284433036484	0.120563522747	0.282796304827	0.268373593373	0.0908726289823	-0.172699668255	-18.3877783807
EGR2	-4.387910581	8.0011205333	3.6132099524	0.378962017415	0.367714701847	0.13094826731	0.316482141902	0.305440405901	0.0966767927184	-0.0640424863174	-167.396546692	0.841182889152	0.847194585077	0.0643332970963	0.709251884449	0.724489988043	0.0375965606648	-0.690362240582	-300.0	0.635051333711	0.639691877948	0.051540076279	0.59606622474	0.594673160641	0.047137470961	-0.365238188208	-17.6148268072	0.351421454734	0.322626040807	0.196681657466	0.331575149149	0.304282661171	0.0914085336208	-0.125653967379	-31.7683316414
TP53	-3.4232058254	9.438751	6.0155451746	0.364854792852	0.345588024275	0.187696534765	0.265115580338	0.243090173402	0.14729336132	-0.0477363008186	-12.7289688419	0.773890169801	0.779354323966	0.0643646613791	0.721879653187	0.738507016183	0.037791062103	-0.180305126527	-184.184074538	0.385688738955	0.370544860102	0.111977612507	0.353290400894	0.34814366348	0.0819653217109	-0.0944858420268	-1.34468088121	0.280253854372	0.272225079554	0.104261305678	0.258282325462	0.259500520983	0.0886011881538	-0.193421052632	-6.37333644314
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.346190433071	0.326629189842	0.171793337976	0.242715917696	0.23104029828	0.134132849642	-0.0469009637796	-24.2156850974	0.836531957125	0.844024839098	0.0501456383738	0.737497393251	0.748160192982	0.0428462283698	-0.627791242109	-300.0	0.328297360088	0.322375482574	0.0582988882688	0.310135443166	0.310215967404	0.0279814770644	-0.13064516129	-3.00979631936	0.315321696804	0.294376635988	0.130375585726	0.317894579871	0.29652414818	0.141238166299	0.0465113053128	-1.48455219512
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.405342973934	0.386918513129	0.230792604904	0.324281370418	0.313699665844	0.157032011985	-0.0257907376726	-3.71815367045	0.733039436666	0.747637659386	0.0607218996986	0.71361253734	0.719716009151	0.0354509048151	-0.134961299695	-105.163835486	0.462076208995	0.456499616512	0.0620084194205	0.433116084115	0.430525767909	0.0312308521753	-0.405797101449	-4.55199854314	0.261761871976	0.233511415884	0.140831860975	0.233500727146	0.226110588055	0.139755041604	-0.108806146572	-2.18026530999
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.378882023712	0.358011365088	0.186025481976	0.273885130724	0.255498048616	0.140930093237	-0.0780221420895	-33.3459905277	0.759888244205	0.767874260107	0.075771982078	0.708706381903	0.727474636385	0.044880191778	-0.0615264612893	-124.676776126	0.586892283762	0.552273053256	0.094659896204	0.51590387021	0.508271517071	0.0850661422476	-0.270115519839	-1.88476925204	0.347558696345	0.27476744091	0.257947426177	0.306315908299	0.26031834195	0.155806955894	-0.162608695652	-5.3883321632
STAT4	-2.825769995	5.2946641167	2.4688941217	0.366654471425	0.350700888227	0.190070012377	0.260576629378	0.243723582771	0.139716298783	-0.045439641231	-13.210017363	0.812183749174	0.819234795316	0.0531854235654	0.745212176551	0.757812447249	0.0434493939437	-0.434209151846	-300.0	0.431663153442	0.434052259177	0.0664067370475	0.413810678003	0.407747198054	0.0530831145585	-0.221005224284	-3.691917549	0.272724908902	0.270948463423	0.103096579116	0.268522709362	0.260249469528	0.0738810241297	-0.150947158524	-8.73603008262
TP63	-2.7040282939	7.2572711722	4.5532428783	0.313443159518	0.295236295779	0.161927638846	0.215038472668	0.193875389811	0.118835340255	-0.0517169536873	-44.6030899207	0.771811620223	0.779388193101	0.0701292157222	0.721926669894	0.741944363574	0.042455771882	-0.0729262279756	-238.722999608	0.251376406893	0.252556116273	0.0615617978384	0.236211056782	0.233438215835	0.0390903710793	-0.16288893936	-3.6768018117	0.272538607136	0.232186601453	0.214217733583	0.244686423141	0.222060316256	0.107837104183	-0.00934925728653	-3.0996883176
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.399256239057	0.377466715541	0.21212255243	0.276439438793	0.254142552025	0.162184470242	-0.0388549288343	-30.3946086528	0.86256761839	0.867293853317	0.053518900515	0.751224433872	0.763842239437	0.0328756730217	-0.678049408044	-300.0	0.580054459848	0.562400722871	0.0994256096254	0.52920831426	0.525335818045	0.0839539547376	-0.197426900585	-3.16312209452	0.282674138564	0.279909238351	0.116791174842	0.28105617469	0.271112261701	0.0669403205808	-0.0277115440535	-3.98859347047
MEF2C	-2.312784923	10.5691021611	8.2563172381	0.371192567193	0.362531257276	0.191174625708	0.270275002585	0.262550504892	0.142582617344	-0.0315390065707	-15.7838900842	0.744850407553	0.757176510826	0.0415317750404	0.771146021677	0.777092764301	0.0564054697853	0.0287415109454	-109.545535406	0.365350632969	0.360215666016	0.0403770786035	0.351639114149	0.351668553299	0.0293737534502	-0.13826886995	-5.81203330529	0.286893638935	0.265744735934	0.161520022324	0.278627429961	0.257889236199	0.11530167366	-0.0523364485981	-3.64277012804
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.347501047958	0.338343907137	0.168663472688	0.240258416445	0.22174601063	0.131634196945	-0.0460516784615	-60.58875705	0.724507471863	0.728763614607	0.0359347367112	0.727175644567	0.740062644313	0.0608645148612	0.0718374836888	-118.54532912	0.458376185754	0.452901717186	0.0746444609328	0.432049775608	0.4284739056	0.0729156663217	-0.0891963109354	-1.46440153449	0.286620827748	0.288070707992	0.0924564799006	0.286311751928	0.280723043206	0.0285025300414	-0.068115942029	-6.7289758236
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.351661036019	0.335645524862	0.172870074946	0.243749841675	0.237000013534	0.134980025136	-0.030954316895	-8.45028118566	0.738334173933	0.754560662114	0.066177301997	0.711336895414	0.720062033563	0.0473610336977	-0.138852672461	-144.024129543	0.524381564201	0.511671530029	0.0862616891016	0.487043051666	0.482686206498	0.0668913756295	-0.199446494465	-2.45723703063	0.289951003335	0.259633188452	0.195321096651	0.268144709274	0.250386438168	0.105393806227	-0.0883986928105	-2.34525633189
REL	-2.0628250132	8.3178302778	6.2550052646	0.411734722432	0.39336356023	0.209143429971	0.277966346538	0.261503133567	0.155372896409	-0.0429276697434	-30.4808604069	0.800727022985	0.806478586353	0.0612504643989	0.73594863214	0.750948851209	0.0383130656365	-0.283704533605	-300.0	0.598404027819	0.564725007157	0.144614294131	0.536048830083	0.529472254438	0.0951293382133	-0.19595959596	-2.19135403014	0.232999301505	0.220635172964	0.107392315796	0.265761335332	0.225012915054	0.211557943315	0.010147299509	-1.76835842632
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.270105497219	0.260625373548	0.14462775215	0.365923405589	0.347950833394	0.192978354045	0.0142137031839	-16.1089371724	0.722616751619	0.737446652964	0.0644616541065	0.686779063819	0.692709116858	0.0417949406533	-0.183336720706	-300.0	0.63080195499	0.629360908434	0.0457208990541	0.619613987695	0.619201966749	0.0265617316242	-0.198096420443	-3.43827356378	0.235273991591	0.227217547261	0.101729880326	0.249928057139	0.227648992638	0.128653938564	0.0509774054329	-0.922483628015
