FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Dnase2Tf_GM12878_protection_mean	Dnase2Tf_GM12878_protection_median	Dnase2Tf_GM12878_protection_std	Dnase2Tf_K562_protection_mean	Dnase2Tf_K562_protection_median	Dnase2Tf_K562_protection_std	Dnase2Tf_protection_ks_stat	Dnase2Tf_protection_ks_pvalue	Dnase2Tf_GM12878_tc_mean	Dnase2Tf_GM12878_tc_median	Dnase2Tf_GM12878_tc_std	Dnase2Tf_K562_tc_mean	Dnase2Tf_K562_tc_median	Dnase2Tf_K562_tc_std	Dnase2Tf_tc_ks_stat	Dnase2Tf_tc_ks_pvalue	Dnase2Tf_GM12878_fos_mean	Dnase2Tf_GM12878_fos_median	Dnase2Tf_GM12878_fos_std	Dnase2Tf_K562_fos_mean	Dnase2Tf_K562_fos_median	Dnase2Tf_K562_fos_std	Dnase2Tf_fos_ks_stat	Dnase2Tf_fos_ks_pvalue	Dnase2Tf_GM12878_flr_mean	Dnase2Tf_GM12878_flr_median	Dnase2Tf_GM12878_flr_std	Dnase2Tf_K562_flr_mean	Dnase2Tf_K562_flr_median	Dnase2Tf_K562_flr_std	Dnase2Tf_flr_ks_stat	Dnase2Tf_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.00681212203689	0.00543677683898	0.00692953433675	0.00491757408649	0.00385477572695	0.00544590459684	-0.100512171679	-300.0	0.803711797484	0.813288587373	0.0591352026499	0.71396013828	0.72938579941	0.0372953798392	-0.550344636754	-300.0	0.472188255592	0.469596288866	0.0320506251355	0.429421633088	0.426905717151	0.024623403311	-0.451959402097	-300.0	0.340228378847	0.340214592104	0.0381080279448	0.310260893778	0.309281518682	0.0153858371001	-0.621504930178	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.0185184247835	0.0142218791784	0.0132494242894	0.0115010182215	0.00936969383906	0.00882345875334	-0.153384564865	-300.0	0.75248345258	0.760593915063	0.0543973768014	0.698215857153	0.709661652072	0.0357441827481	-0.290661929802	-300.0	0.583505116868	0.580857757638	0.0435435396555	0.537765965559	0.532179422467	0.0275417449617	-0.382236050567	-300.0	0.289260383634	0.289348293692	0.0319314880353	0.265770198778	0.265211540275	0.010431207659	-0.538007353079	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.0266263688456	0.0243022076749	0.0136913702771	0.0202760318862	0.0203079758906	0.00974705457641	-0.200772300153	-300.0	0.794206696185	0.805329509929	0.0683916903148	0.714165795485	0.733951176689	0.040927773368	-0.463032772608	-300.0	0.570381292809	0.569043645139	0.034269513306	0.527506779246	0.525806470157	0.023600209636	-0.478599981243	-300.0	0.318856215079	0.319314108978	0.045850665028	0.296905650305	0.295277364323	0.0178391261954	-0.558243243909	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.0549867614249	0.048619264612	0.020272159897	0.0462950413824	0.043454491755	0.0132155909447	-0.0266188683437	-300.0	0.868288252261	0.876245351833	0.0500630918549	0.741670354631	0.755488040823	0.0315860783684	-0.750604490501	-300.0	0.559275704908	0.557278015686	0.0293766856717	0.523622387684	0.520325261883	0.0204756563253	-0.410657397894	-300.0	0.313179473752	0.313254990392	0.0284591333981	0.292766597903	0.292436854692	0.0142974193386	-0.608725180519	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.009899720911	0.00834487289296	0.0070376601886	0.00695932171208	0.00615365588531	0.00531459218519	-0.220256416851	-300.0	0.865220558035	0.875348078418	0.0655363586116	0.724586857019	0.743646187691	0.037109798393	-0.71074675836	-300.0	0.4915148693	0.487270346971	0.0384681851498	0.46667721874	0.458827900376	0.0233944535971	-0.334520415902	-300.0	0.339628159437	0.339498087732	0.0512031324845	0.320741454189	0.318663759467	0.0189169574149	-0.547233351007	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.0484127270203	0.0398809254822	0.0243775386063	0.0335803828739	0.0303353527814	0.0187729185407	-0.231062571014	-300.0	0.778532268848	0.787463687838	0.0630461148065	0.735440187349	0.752060465748	0.0350230325169	-0.178758637875	-300.0	0.502084521133	0.503508680064	0.040695806267	0.479436263284	0.481516853129	0.0273435127873	-0.197040285476	-300.0	0.301083332396	0.300857767742	0.040019197269	0.289569557549	0.287942105369	0.0180229002359	-0.426258803204	-300.0
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.0169932120972	0.0148089023123	0.0125117366747	0.0120855880148	0.010804225267	0.00888271395873	-0.0608558211634	-300.0	0.848776201618	0.857189900845	0.0486090242413	0.74525517622	0.756648145841	0.034378036366	-0.656147601866	-300.0	0.512703257077	0.511144555376	0.0372088192942	0.495546294909	0.491864956552	0.0261579386562	-0.145939851414	-300.0	0.341629380838	0.341845441325	0.0328242709254	0.329664830747	0.32923341145	0.0165424196763	-0.434764003527	-300.0
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.00727850542294	0.00565390136163	0.0106964646018	0.0115688421142	0.00875775220572	0.0141947389491	0.0230214210493	-300.0	0.739490656362	0.750583482733	0.0296313199038	0.746614367225	0.753226563938	0.0543614935836	0.0782605106216	-35.072274416	0.526981882948	0.529874227773	0.0464329294879	0.506963373176	0.512928910558	0.0352707693147	-0.13222475448	-300.0	0.275491235489	0.275449401797	0.0330304525661	0.265957460055	0.265721366683	0.0177311271436	-0.325762954169	-300.0
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.154654283722	0.12725571113	0.0810533648292	0.109972944392	0.0937804929241	0.0514144874875	-0.0480023613799	-300.0	0.713776597773	0.739336956543	0.0476654912288	0.730059911686	0.743727692584	0.0863124408616	0.0744548721542	-60.2189885389	0.391976748186	0.388800482839	0.0397515202177	0.380789737419	0.375736395377	0.0265377385016	-0.109935551151	-300.0	0.286081464554	0.285289710295	0.0617318863896	0.273441710149	0.272005517389	0.0269282793907	-0.471171824596	-300.0
STAT4	-2.825769995	5.2946641167	2.4688941217	0.0196304345736	0.0166790390697	0.0130426461223	0.0112605346906	0.00917761591654	0.0108688376106	-0.316809532379	-300.0	0.850491076967	0.858174990238	0.0456020351441	0.75626497554	0.766309441502	0.0320962398211	-0.651409844439	-300.0	0.646440569289	0.6466255656	0.03163646463	0.624252021384	0.625290683831	0.0238179041894	-0.237246839745	-300.0	0.314189309284	0.313667073168	0.0288979243671	0.30288843884	0.302889052722	0.0175663535556	-0.375757856585	-300.0
