FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	FLR_95_GM12878_protection_mean	FLR_95_GM12878_protection_median	FLR_95_GM12878_protection_std	FLR_95_K562_protection_mean	FLR_95_K562_protection_median	FLR_95_K562_protection_std	FLR_95_protection_ks_stat	FLR_95_protection_ks_pvalue	FLR_95_GM12878_tc_mean	FLR_95_GM12878_tc_median	FLR_95_GM12878_tc_std	FLR_95_K562_tc_mean	FLR_95_K562_tc_median	FLR_95_K562_tc_std	FLR_95_tc_ks_stat	FLR_95_tc_ks_pvalue	FLR_95_GM12878_fos_mean	FLR_95_GM12878_fos_median	FLR_95_GM12878_fos_std	FLR_95_K562_fos_mean	FLR_95_K562_fos_median	FLR_95_K562_fos_std	FLR_95_fos_ks_stat	FLR_95_fos_ks_pvalue	FLR_95_GM12878_flr_mean	FLR_95_GM12878_flr_median	FLR_95_GM12878_flr_std	FLR_95_K562_flr_mean	FLR_95_K562_flr_median	FLR_95_K562_flr_std	FLR_95_flr_ks_stat	FLR_95_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.00859987753095	0.00691753269327	0.00742271679822	0.00719419635443	0.00589111694603	0.00575107272601	-0.0481258158629	-300.0	0.80370249765	0.809927799474	0.0554323608495	0.705879288111	0.718815438887	0.036668775428	-0.586613589429	-300.0	0.54179770309	0.539025229358	0.0406172122876	0.492756827207	0.489678899083	0.0281037919622	-0.51929951903	-300.0	0.340693412626	0.340094748569	0.0733092695513	0.312596633707	0.309125469687	0.0335537704953	-0.40549333096	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.0257733238363	0.0213899601144	0.0146005237791	0.0194348489232	0.0158021876973	0.010243155099	-0.117374673851	-300.0	0.758268394807	0.763718894749	0.047742537998	0.715680739343	0.725668275532	0.0344355658484	-0.187211845685	-300.0	0.477563642499	0.475972571439	0.060045070111	0.447418192504	0.441280994034	0.0299285538955	-0.248617813825	-300.0	0.289257296523	0.289118925427	0.0444925678296	0.266229479975	0.265451228077	0.0215778760625	-0.398057024688	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.0290923890801	0.024555513988	0.015913802186	0.0234528780404	0.0209330053862	0.011790702879	-0.118701423421	-300.0	0.746613194451	0.753418159214	0.0655232595484	0.704450003182	0.720388603217	0.0432007933314	-0.0944663597694	-259.6307602	0.46212685775	0.459007272572	0.0494475056291	0.428559672191	0.424580787657	0.0305139517319	-0.386872023177	-300.0	0.318215512845	0.31753990971	0.0898385152581	0.301363452748	0.295528005987	0.0428222864199	-0.230730640597	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.0605414355191	0.0527884026255	0.0244646702433	0.0517790046132	0.0461204471805	0.0177193177944	-0.000487452790763	-300.0	0.866976535998	0.871790474133	0.0390760628455	0.744619558651	0.753510202273	0.027732280396	-0.774971629043	-300.0	0.545572261546	0.543981273062	0.0368521584561	0.511493173241	0.509951744033	0.0230178752403	-0.431774732406	-300.0	0.313240210766	0.313097491073	0.0584107977899	0.293981874779	0.291719799817	0.0318215770219	-0.325285500349	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0110679152992	0.00948562092299	0.00718530407177	0.00895935813356	0.00775790288695	0.00545851705594	-0.0677839138694	-300.0	0.813744796756	0.820372517127	0.062903078828	0.71755590309	0.733350597511	0.0387713355978	-0.545766733839	-300.0	0.430584255788	0.424912824447	0.0569393185975	0.414557951031	0.404518036997	0.0328983345472	-0.223832401514	-300.0	0.340429319702	0.339009173269	0.102076513301	0.327700245808	0.31764190482	0.048444222335	-0.207410244695	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.0468793162779	0.0385799999939	0.0264846726389	0.0353661485592	0.0289337039771	0.0188858938783	-0.135291290937	-300.0	0.723190932402	0.738678087201	0.0651853773745	0.708314481481	0.716464237211	0.0397024942153	-0.0955794289123	-144.304276103	0.559560529708	0.558260278766	0.0571973938598	0.533432790359	0.53296157836	0.0314359985443	-0.231937399749	-300.0	0.302130126214	0.300639482259	0.0833600813295	0.295178443171	0.289048645583	0.0409520720696	-0.135510203578	-101.109941208
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.0181249427388	0.014418998392	0.0121803643466	0.0134026959463	0.0108355219186	0.00875841195084	-0.0528119920575	-300.0	0.843175072296	0.849987164977	0.0484907406327	0.742976210779	0.754189698513	0.0341422922068	-0.630026839789	-300.0	0.393847122642	0.391819130112	0.0383697313085	0.383624864446	0.379294282936	0.02455090687	-0.113643633652	-300.0	0.340968948367	0.340375211282	0.0635334988308	0.331240540181	0.32869774247	0.0464118421589	-0.101060253889	-141.74930762
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.0193314746804	0.0155095655067	0.0164452816992	0.0139222712858	0.0112782682917	0.0122011778696	-0.0536309935163	-300.0	0.732615165967	0.746418009694	0.0582989040625	0.720868405438	0.727639950649	0.0331665240674	-0.0772998767151	-77.2486702069	0.486046039461	0.488279322773	0.0612530075435	0.463995820093	0.466336916462	0.0356251271712	-0.116891393719	-173.816688121	0.291898884739	0.291401603728	0.0668420807422	0.28299554695	0.279596299122	0.0413249075827	-0.128527986169	-57.5735660351
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.101481154655	0.0912004108609	0.0508926661449	0.072822733688	0.0634455609636	0.0355344165647	-0.0760646120799	-300.0	0.7085703203	0.730470953209	0.0494782592253	0.720234768405	0.731438273651	0.080268594327	0.116835952654	-21.6772212089	0.537393722927	0.531748825284	0.0671744879052	0.529756188319	0.517797539362	0.0375697636529	-0.101238549821	-247.1874133	0.288580011826	0.285391290854	0.110443066926	0.278162074419	0.264921224161	0.0557936567188	-0.247466962012	-200.50049105
STAT4	-2.825769995	5.2946641167	2.4688941217	0.0267266870337	0.0216288420555	0.0147697887581	0.0205585337211	0.0169654209182	0.0106219980524	-0.192353626097	-300.0	0.851117171878	0.85715297731	0.0463500078067	0.750659384996	0.76114705061	0.0319928504758	-0.666221667404	-300.0	0.621671610567	0.620182911697	0.0442570131663	0.600884970979	0.599573816887	0.0264138496288	-0.206812895716	-300.0	0.315431117284	0.314078486779	0.0621134069174	0.302654946579	0.301215656846	0.0448323399026	-0.11879822068	-131.047897395
TP63	-2.7040282939	7.2572711722	4.5532428783	0.0209949534391	0.0175179428208	0.0131890931364	0.0159238448888	0.0131764756869	0.00920234728201	-0.137175905566	-300.0	0.727167610357	0.740624406332	0.0435442587059	0.730564149802	0.748492619559	0.0719159936948	0.0749798770413	-75.4554632147	0.457580096264	0.4536489789	0.057846888525	0.446743709772	0.440098560551	0.0341085210555	-0.0918219919904	-300.0	0.339520112841	0.336612293028	0.108562317655	0.338485032996	0.32770156951	0.0536319743283	-0.0687922883104	-123.584457286
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.034925514768	0.0304494677815	0.0143044288979	0.0295295267276	0.0264475557236	0.010276163644	-0.0774016305211	-300.0	0.847676688	0.852974381897	0.0484879917217	0.753968420181	0.765664103411	0.0309551324469	-0.620560404471	-300.0	0.538798422172	0.536794568645	0.0474255891214	0.523056864771	0.521228405201	0.0285923909576	-0.115174008104	-300.0	0.33734961659	0.337323274017	0.0712521666913	0.329618408693	0.32683888772	0.0313391278071	-0.12033817996	-206.5484243
