FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	HINTBCN_GM12878_protection_mean	HINTBCN_GM12878_protection_median	HINTBCN_GM12878_protection_std	HINTBCN_K562_protection_mean	HINTBCN_K562_protection_median	HINTBCN_K562_protection_std	HINTBCN_protection_ks_stat	HINTBCN_protection_ks_pvalue	HINTBCN_GM12878_tc_mean	HINTBCN_GM12878_tc_median	HINTBCN_GM12878_tc_std	HINTBCN_K562_tc_mean	HINTBCN_K562_tc_median	HINTBCN_K562_tc_std	HINTBCN_tc_ks_stat	HINTBCN_tc_ks_pvalue	HINTBCN_GM12878_fos_mean	HINTBCN_GM12878_fos_median	HINTBCN_GM12878_fos_std	HINTBCN_K562_fos_mean	HINTBCN_K562_fos_median	HINTBCN_K562_fos_std	HINTBCN_fos_ks_stat	HINTBCN_fos_ks_pvalue	HINTBCN_GM12878_flr_mean	HINTBCN_GM12878_flr_median	HINTBCN_GM12878_flr_std	HINTBCN_K562_flr_mean	HINTBCN_K562_flr_median	HINTBCN_K562_flr_std	HINTBCN_flr_ks_stat	HINTBCN_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.314227568469	0.27273501846	0.207622901545	0.308533915635	0.240935340339	0.16934247256	-0.0537338954389	-51.8334963507	0.810421727463	0.82038346745	0.0573277857242	0.724008956639	0.739379238881	0.0357862862965	-0.559495856524	-300.0	0.475492162114	0.468605527639	0.0408682040102	0.434559149951	0.42324120603	0.0312088537061	-0.45823646629	-300.0	0.340229417666	0.340217352298	0.0378438567839	0.310241195871	0.309279939174	0.0152138693128	-0.623650816443	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.326321995354	0.298974648546	0.212346059643	0.288749253658	0.27330997297	0.165300388359	-0.122272846712	-64.538781082	0.759008396045	0.767382786928	0.0548880131417	0.70482430952	0.716186014768	0.0346945856275	-0.308844154885	-300.0	0.465764712742	0.462119987845	0.0827094365757	0.453265365573	0.425284636092	0.0376255581155	-0.163108130857	-300.0	0.289263712907	0.289348634239	0.031820161003	0.265766951395	0.265211366862	0.0103575390383	-0.539866647571	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.327898079015	0.28979818526	0.221086802306	0.314774492357	0.262207703052	0.171765555521	-0.0898730395102	-28.552784301	0.80160891582	0.812289289247	0.0660461676395	0.725177587427	0.745034832843	0.0384335859192	-0.489886531223	-300.0	0.531994375796	0.524397749978	0.0543211742295	0.491403284791	0.484552867306	0.0377175672448	-0.397334113321	-300.0	0.318867639173	0.319314995966	0.0457784446421	0.296917569641	0.295277364323	0.0176242076391	-0.56106162531	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.314915169122	0.255234042417	0.207264344135	0.295363922978	0.245354373713	0.158382118496	-0.0778170257548	-40.368325647	0.872158053628	0.879747407034	0.047103589171	0.747081570988	0.760756764852	0.0288649121908	-0.767941419527	-300.0	0.464475618973	0.45901839989	0.0475487481528	0.43713943533	0.42766671016	0.0303555354456	-0.285594839943	-300.0	0.313182088931	0.313256756541	0.0282130262945	0.292754165691	0.292436903477	0.0139883391739	-0.612119694802	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.392105305076	0.39729357321	0.183011858207	0.309959157913	0.29068120249	0.143675133476	-0.152481280052	-197.30113019	0.871769694568	0.882212737265	0.0638099524644	0.734715308706	0.755106229796	0.0351866255561	-0.729097447823	-300.0	0.474061628951	0.462623010366	0.0755555756188	0.465943029883	0.441964009842	0.0415233714996	-0.1568046465	-300.0	0.33962402541	0.339500183295	0.0509690697325	0.320721507159	0.318666907185	0.0187248085955	-0.549585100076	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.327996697729	0.290803483818	0.236466552344	0.32270038691	0.238396151236	0.185491633622	-0.0660752915732	-15.4468158516	0.784930124022	0.793134208015	0.0599894544696	0.745882000781	0.762307935262	0.032718088996	-0.183150595854	-300.0	0.560658331307	0.560194152271	0.0507372475147	0.536036290809	0.535726465149	0.0303103859704	-0.262826333712	-300.0	0.301081503861	0.300868090237	0.040207386284	0.28961197101	0.287947155149	0.0176698584699	-0.430604707933	-300.0
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.324981982799	0.294432028367	0.209553004237	0.314130049174	0.231535127871	0.16090517223	-0.0768626317341	-47.5126207111	0.854296206317	0.862132499	0.0475134221752	0.753369745864	0.764471208455	0.0315292722249	-0.666665794397	-300.0	0.410652159961	0.405319310701	0.0587878191739	0.404522448231	0.390031279901	0.0386778704475	-0.0660297378375	-300.0	0.34164272449	0.341859607688	0.0324613495845	0.329655051425	0.32923855828	0.0161727093556	-0.441153532706	-300.0
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.391420005679	0.386625573817	0.266434319687	0.389459676679	0.310890011046	0.201940209091	-0.0836098458227	-19.3485822321	0.748219208113	0.756705890769	0.0280724468813	0.750834021047	0.759214562781	0.052480129944	0.0253163414482	-80.3657074938	0.50562241361	0.509601697517	0.0348924179967	0.486078022302	0.493249000782	0.0303507675396	-0.235232067511	-300.0	0.275465338592	0.275447967538	0.0326876949271	0.265944965656	0.265725576447	0.0173909107643	-0.329850621239	-300.0
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.369138921091	0.33072358948	0.238765301737	0.322382558177	0.307378129366	0.168684243517	-0.0877679971054	-27.8936906142	0.726957745777	0.752495787051	0.0449234385166	0.738769841129	0.753297058445	0.083579430824	0.0309007103762	-122.121055624	0.406880111149	0.389038326913	0.0835589524593	0.40453783826	0.377854734455	0.0549264021093	-0.0445388179138	-269.164920645	0.286031979139	0.285281631246	0.0609670370383	0.27341881432	0.272079807302	0.0263636363039	-0.477012865249	-300.0
STAT4	-2.825769995	5.2946641167	2.4688941217	0.35596761223	0.328049411551	0.229731938947	0.339334818736	0.250421628413	0.182327562642	-0.0626785469921	-39.5305936842	0.854581963093	0.861494893727	0.0444418549548	0.763245282278	0.772961160061	0.0297087519037	-0.646195168073	-300.0	0.580613869775	0.578951223408	0.0394662291721	0.562995288882	0.559849201221	0.0277544879627	-0.223062381853	-300.0	0.314134214854	0.31366071324	0.0287427098061	0.30288065572	0.302887933282	0.0172683667	-0.379789644762	-300.0
