FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	HINTBC_GM12878_protection_mean	HINTBC_GM12878_protection_median	HINTBC_GM12878_protection_std	HINTBC_K562_protection_mean	HINTBC_K562_protection_median	HINTBC_K562_protection_std	HINTBC_protection_ks_stat	HINTBC_protection_ks_pvalue	HINTBC_GM12878_tc_mean	HINTBC_GM12878_tc_median	HINTBC_GM12878_tc_std	HINTBC_K562_tc_mean	HINTBC_K562_tc_median	HINTBC_K562_tc_std	HINTBC_tc_ks_stat	HINTBC_tc_ks_pvalue	HINTBC_GM12878_fos_mean	HINTBC_GM12878_fos_median	HINTBC_GM12878_fos_std	HINTBC_K562_fos_mean	HINTBC_K562_fos_median	HINTBC_K562_fos_std	HINTBC_fos_ks_stat	HINTBC_fos_ks_pvalue	HINTBC_GM12878_flr_mean	HINTBC_GM12878_flr_median	HINTBC_GM12878_flr_std	HINTBC_K562_flr_mean	HINTBC_K562_flr_median	HINTBC_K562_flr_std	HINTBC_flr_ks_stat	HINTBC_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.17425034538	0.14961929448	0.0904625566053	0.118067815616	0.110285124135	0.0487713419379	-0.112899398086	-256.093220699	0.789487449032	0.794385842936	0.0675769874178	0.635821132399	0.642656330282	0.0342895659194	-0.796958152337	-300.0	0.550627551634	0.547855504588	0.0582380370177	0.49886514016	0.496444954128	0.0436560393679	-0.442236324118	-300.0	0.340228029852	0.340217241177	0.037670362405	0.310230522435	0.309279049995	0.0151104330879	-0.624912632976	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.112995216478	0.10129723295	0.0636848183361	0.0751987618276	0.0725903404905	0.0366017035399	-0.164657444005	-79.2536900635	0.723968997132	0.727592402152	0.0556041547345	0.636629016915	0.641324622135	0.0321540621927	-0.632267838831	-300.0	0.484222679505	0.484147354474	0.0730061178679	0.457273505726	0.452897674169	0.0427326460591	-0.206499906528	-193.354877059	0.289263083479	0.289348293692	0.0317655531419	0.265766085678	0.265215333518	0.0103176403471	-0.540787069519	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.0903929860528	0.0792320310968	0.0505205288825	0.0598755214462	0.0529612454826	0.0313284882614	-0.145829006993	-143.73720899	0.739083988689	0.746504488497	0.0822114298431	0.621632842668	0.63144864555	0.0414358369891	-0.60915211648	-300.0	0.472145268551	0.469110057941	0.0717220026763	0.436504084489	0.432566280617	0.0514773936203	-0.28627992439	-240.483346951	0.318875622454	0.319314995966	0.0455427052212	0.296901235191	0.295277364323	0.0174837781308	-0.563110910438	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.0924669696928	0.0817285938272	0.051851909052	0.0608367344057	0.0521052069057	0.0351062829264	-0.168488442466	-172.599069916	0.792547043135	0.798359084255	0.0663057794795	0.664501690485	0.672645318998	0.0351786000464	-0.741186024358	-300.0	0.550580721868	0.55065588991	0.0575382045554	0.515201859112	0.515539078776	0.0402750309772	-0.320825477633	-300.0	0.313179677158	0.313251358709	0.0280363525665	0.292743649415	0.292436952263	0.0137795675306	-0.614388920204	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0862145077154	0.0770806094074	0.0504028155288	0.0589352105545	0.0528455934724	0.032419408783	-0.0539238091242	-300.0	0.772660512501	0.778982155347	0.0751328213573	0.632999763784	0.642686812576	0.0411350448794	-0.700522116276	-300.0	0.446988214178	0.438773385489	0.0778299509436	0.431250779979	0.419775192025	0.0515232942485	-0.14831275274	-300.0	0.339623749084	0.339502164933	0.0508114211698	0.320710081678	0.318666312682	0.0186121393319	-0.551003623023	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.167293847869	0.136779845276	0.0910555720004	0.100934080426	0.0915944120452	0.0549405237194	-0.197855500946	-64.2512799287	0.649982441019	0.657596764302	0.102156975205	0.610789264974	0.623474688647	0.0442271052817	-0.165464050248	-22.016860479	0.562187691596	0.562089443296	0.0859866762028	0.536721391748	0.534639957221	0.0535492220433	-0.188126566416	-62.4316442256	0.301080033886	0.300872035854	0.0399554091538	0.289596665247	0.287931990246	0.0174265186997	-0.433761125054	-300.0
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.0636413927411	0.0541146713356	0.05421194906	0.0491883933801	0.0383172900454	0.0306779670688	-0.119632210737	-114.598682215	0.668815567361	0.676633019567	0.0781021979294	0.626715811464	0.635705678655	0.0435012100096	-0.190822008572	-48.1978797265	0.401095537175	0.39936662581	0.0532141670229	0.39141774277	0.387057982356	0.0425754772198	-0.0931317844348	-56.0801712637	0.341645341827	0.341861394521	0.0322147142067	0.329652765416	0.329238596819	0.0159230500603	-0.445273176395	-300.0
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.197940442567	0.163382793487	0.10235626412	0.14065778985	0.113497006878	0.0994325407819	-0.226048176326	-42.1623203123	0.679303877968	0.683758766679	0.0911252488254	0.637452314932	0.6524751513	0.0352764204289	-0.204375368568	-9.89955501363	0.488581004402	0.488279322773	0.0864819621581	0.4670659978	0.464554453331	0.0515321295926	-0.145636913177	-30.0313360158	0.275455549484	0.275454754421	0.0324824543917	0.265954302499	0.265721366683	0.0171901762605	-0.331874967518	-300.0
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.154572773526	0.136515078152	0.086725642375	0.0915171484008	0.085130360324	0.0532801208045	-0.115177097255	-94.3884091555	0.632651290693	0.639586321235	0.0939729185268	0.590628841806	0.602567981531	0.0511968462844	-0.115849770503	-30.389018208	0.568593921999	0.562723780303	0.0952510716848	0.563327650183	0.549645067657	0.0626833664145	-0.0449147789982	-19.8432241452	0.286003342927	0.285282563681	0.0603778226842	0.273427007843	0.272155980487	0.0259896332594	-0.480696232871	-300.0
STAT4	-2.825769995	5.2946641167	2.4688941217	0.134542342126	0.110478374175	0.073322362872	0.10123837491	0.0780962345612	0.0704368177849	-0.150275007356	-91.8511004193	0.768973245713	0.773180532556	0.0739190538168	0.660122693017	0.66803552398	0.0320344689345	-0.63811987902	-143.830478147	0.627369173038	0.627311450912	0.0625996798982	0.604697409889	0.60382715365	0.04344599791	-0.192575724214	-103.843132301	0.314110255226	0.313647986426	0.0286467905625	0.302880710724	0.302889455494	0.0170399274971	-0.381703294992	-300.0
TP63	-2.7040282939	7.2572711722	4.5532428783	0.196912110573	0.168651073517	0.109154730856	0.126581928402	0.118018302292	0.0630118596961	-0.0468837437461	-86.1184732928	0.666048471307	0.675344156122	0.0900796596623	0.606485180407	0.616416420724	0.0457732096598	-0.230173073864	-102.516011857	0.470118970794	0.464786381623	0.0803665764128	0.460156952631	0.452092269319	0.0568924760093	-0.0553964514894	-36.2336669262	0.336836103302	0.336426561742	0.0587700561593	0.329927329779	0.326041751414	0.0217579105573	-0.392251983131	-300.0
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.179988187473	0.152305250567	0.0997079508355	0.117431286314	0.0979679318153	0.0774123177398	-0.138905695845	-130.590414184	0.682189446922	0.688375155529	0.0889888602847	0.637655207329	0.652128485627	0.038741727062	-0.186196755371	-60.5758964872	0.544990544936	0.543840090063	0.0714649241584	0.527360323206	0.528275919509	0.0461820159244	-0.10319031767	-65.5183234555	0.337677781178	0.337765837521	0.0329750271195	0.327962368841	0.327556631144	0.0137591213347	-0.400739201937	-300.0
