FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	PIQ_90_GM12878_protection_mean	PIQ_90_GM12878_protection_median	PIQ_90_GM12878_protection_std	PIQ_90_K562_protection_mean	PIQ_90_K562_protection_median	PIQ_90_K562_protection_std	PIQ_90_protection_ks_stat	PIQ_90_protection_ks_pvalue	PIQ_90_GM12878_tc_mean	PIQ_90_GM12878_tc_median	PIQ_90_GM12878_tc_std	PIQ_90_K562_tc_mean	PIQ_90_K562_tc_median	PIQ_90_K562_tc_std	PIQ_90_tc_ks_stat	PIQ_90_tc_ks_pvalue	PIQ_90_GM12878_fos_mean	PIQ_90_GM12878_fos_median	PIQ_90_GM12878_fos_std	PIQ_90_K562_fos_mean	PIQ_90_K562_fos_median	PIQ_90_K562_fos_std	PIQ_90_fos_ks_stat	PIQ_90_fos_ks_pvalue	PIQ_90_GM12878_flr_mean	PIQ_90_GM12878_flr_median	PIQ_90_GM12878_flr_std	PIQ_90_K562_flr_mean	PIQ_90_K562_flr_median	PIQ_90_K562_flr_std	PIQ_90_flr_ks_stat	PIQ_90_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.116869572519	0.0874460857285	0.106361131371	0.0822863730562	0.0628535440284	0.0727895247664	-0.0936371257575	-207.339105821	0.777533819969	0.78194821509	0.0699106764747	0.668555553368	0.677038756584	0.0396306471527	-0.511857722263	-300.0	0.469566229502	0.466924227318	0.0327464122202	0.426859346678	0.424351944167	0.0260364569234	-0.443879571808	-300.0	0.340405331631	0.340228995608	0.0471770959071	0.310432331709	0.309156374392	0.0239617474054	-0.518187492434	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.122391057224	0.0915761375993	0.106875488915	0.0895275609752	0.0694562721411	0.0748177429894	-0.0692220061166	-60.0294235316	0.733820460432	0.736874210242	0.0592101414315	0.681254065012	0.686672390973	0.0375210183615	-0.225698409365	-300.0	0.568960677373	0.566719417118	0.0477883442986	0.526201500258	0.519225934641	0.0299836912601	-0.315012701502	-300.0	0.289200946951	0.289324302874	0.0335996072792	0.265842696779	0.265210460317	0.0147901057926	-0.477032448828	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.108355397688	0.0813201622796	0.0987184705112	0.0772284346997	0.0595194479925	0.0692534027251	-0.0866377504352	-70.2718881921	0.739655598989	0.747548351691	0.0880960305384	0.646304149866	0.656634023095	0.0508634130815	-0.328210641913	-300.0	0.554306750321	0.553248689685	0.0357549075127	0.512663418795	0.511211649804	0.0235807761068	-0.458072660534	-300.0	0.318597816314	0.319126681192	0.0572725694434	0.294033956291	0.294042402374	0.0296472768788	-0.433434823451	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.0836825774314	0.0613908639226	0.0801256927425	0.0560615119109	0.0416786644746	0.0539029961331	-0.109423369701	-177.10395822	0.842740116574	0.848299983941	0.0622364400391	0.687651388914	0.695218357297	0.0369576616418	-0.728905694773	-300.0	0.595392604259	0.59463289907	0.0352604343818	0.55745425248	0.555203166505	0.0256870470553	-0.358386822675	-300.0	0.313116991542	0.313223660143	0.0366460099691	0.291039788412	0.29145266207	0.0237192607144	-0.492916102241	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0797135703954	0.0595923364568	0.0747335435807	0.0571068163782	0.0442788838914	0.0503309768571	-0.0824102904197	-237.280801838	0.850996700527	0.855633072475	0.0657795567307	0.669823624183	0.677272954728	0.0396638219239	-0.740297068696	-300.0	0.506696355732	0.503644491327	0.043522074649	0.483158574736	0.474537575979	0.0249105147706	-0.284916493706	-300.0	0.33997958916	0.339528750601	0.0660697608267	0.320951549482	0.317969967575	0.0314649390659	-0.395163131784	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.129885394328	0.0983412371315	0.113936116647	0.0855339148026	0.0653622000987	0.0741893789471	-0.103912965002	-45.1801564062	0.759072928729	0.765293756519	0.0817792028548	0.694718924365	0.711866134454	0.0444987870125	-0.195346482134	-167.590010949	0.531485671904	0.534081222244	0.0438637322081	0.507456931404	0.510754073628	0.0298584660156	-0.190889269108	-300.0	0.287603145555	0.287004392007	0.0450099892827	0.272680709776	0.272907017747	0.0289305462686	-0.298415917477	-300.0
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.138839616179	0.103852010486	0.128331577961	0.094437761483	0.0712614668347	0.0865137940106	-0.0752950048441	-65.8423585654	0.820692830976	0.828269178362	0.0590782954304	0.721031374989	0.729579251263	0.0487197791789	-0.528122844469	-300.0	0.4520871042	0.44992115865	0.0469083055135	0.438070443158	0.432950813667	0.0325375348423	-0.0591564613593	-300.0	0.341477377201	0.341823997639	0.0377854086908	0.327843044326	0.328313451538	0.0264374552662	-0.317691377462	-300.0
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.140528055292	0.110404856666	0.122662927212	0.0934365090253	0.0722336143332	0.0768811279523	-0.0857209995611	-23.1997112074	0.718702146522	0.727699370056	0.0452230861063	0.720950927458	0.730473864533	0.0658992853529	0.0578953408796	-24.0118349863	0.569470793277	0.572700613235	0.0407925389207	0.548916533735	0.553708775482	0.0303875083924	-0.197636225108	-300.0	0.291433388911	0.29164104043	0.0333867292355	0.278620597973	0.280378312645	0.0210143090277	-0.351735242077	-300.0
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.130389380966	0.0959646267662	0.118953822795	0.0900411359964	0.0681741264732	0.0800815553633	-0.0886623451066	-53.1212710887	0.753703555966	0.760282647321	0.0843031266487	0.665241142045	0.673465347125	0.0473226693377	-0.275970227257	-260.574735548	0.534251152999	0.528094558019	0.0662423779743	0.519547102188	0.510350049464	0.045936682701	-0.0583407202471	-300.0	0.27534254162	0.273754514722	0.0748619340995	0.263284046325	0.260114606198	0.041001246678	-0.285502409619	-300.0
STAT4	-2.825769995	5.2946641167	2.4688941217	0.154173601331	0.118463541056	0.134702299249	0.103632758175	0.0772252863461	0.0906758000048	-0.0787841903765	-56.6865816268	0.827210305983	0.834054553016	0.0572042615599	0.735543528837	0.746159113203	0.045728939741	-0.544906133177	-300.0	0.568441204891	0.568830388663	0.0399825103678	0.549178500061	0.550062295142	0.0296058657322	-0.147731517199	-300.0	0.308366129071	0.307474499685	0.0363285737957	0.299670228376	0.297997095125	0.0261688727447	-0.191115437916	-300.0
