FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	TC_GM12878_protection_mean	TC_GM12878_protection_median	TC_GM12878_protection_std	TC_K562_protection_mean	TC_K562_protection_median	TC_K562_protection_std	TC_protection_ks_stat	TC_protection_ks_pvalue	TC_GM12878_tc_mean	TC_GM12878_tc_median	TC_GM12878_tc_std	TC_K562_tc_mean	TC_K562_tc_median	TC_K562_tc_std	TC_tc_ks_stat	TC_tc_ks_pvalue	TC_GM12878_fos_mean	TC_GM12878_fos_median	TC_GM12878_fos_std	TC_K562_fos_mean	TC_K562_fos_median	TC_K562_fos_std	TC_fos_ks_stat	TC_fos_ks_pvalue	TC_GM12878_flr_mean	TC_GM12878_flr_median	TC_GM12878_flr_std	TC_K562_flr_mean	TC_K562_flr_median	TC_K562_flr_std	TC_flr_ks_stat	TC_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.0986463242921	0.0852294666325	0.0363049765211	0.110763955809	0.0921820846224	0.0482651820357	0.0571204956729	-300.0	0.650654493511	0.643944396177	0.0836890064623	0.570830916914	0.57080799305	0.00151504871445	-0.322498114232	-300.0	0.650654493511	0.643944396177	0.0836890064623	0.570830916914	0.57080799305	0.00151504871445	-0.322498114232	-300.0	0.325468808025	0.324270879323	0.0489705674645	0.294856537248	0.294774997265	0.00383288176469	-0.336105964638	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.165783362094	0.143244006627	0.0735629961886	0.123026485862	0.103371294977	0.0540094433718	-0.122165161252	-300.0	0.491805902888	0.493023776724	0.0735141573736	0.442781970763	0.442789500701	0.00184888033705	-0.22377235917	-300.0	0.491805902888	0.493023776724	0.0735141573736	0.442781970763	0.442789500701	0.00184888033705	-0.22377235917	-300.0	0.216810957326	0.216483617789	0.031236757499	0.198911625354	0.199040704453	0.00374436071617	-0.22953842917	-213.221045447
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.114786521525	0.108325469431	0.041015357181	0.101613955736	0.093137233916	0.0331528746069	-0.0581616826482	-300.0	0.572636370749	0.570689002146	0.084254621938	0.517922134575	0.517946551852	0.00183160211267	-0.245096584404	-300.0	0.572636370749	0.570689002146	0.084254621938	0.517922134575	0.517946551852	0.00183160211267	-0.245096584404	-300.0	0.268155372203	0.267826263061	0.0551628472057	0.249097136379	0.249104835343	0.00348886298245	-0.19169424198	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.172065700683	0.159006123246	0.0427224619288	0.188934950801	0.172892640774	0.0563655161343	0.0783468464239	-300.0	0.610630565012	0.608324033462	0.0804715664554	0.564418136117	0.564408851291	0.00179795334217	-0.213067817509	-300.0	0.610630565012	0.608324033462	0.0804715664554	0.564418136117	0.564408851291	0.00179795334217	-0.213067817509	-300.0	0.278661552645	0.27790583515	0.0549290672562	0.259661038272	0.25979073141	0.00305425111073	-0.202561796767	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0940309414488	0.0822065701538	0.0363456740265	0.111829296381	0.0937254033602	0.0540099053035	0.0768039721109	-300.0	0.621496638183	0.605885993458	0.113463641389	0.541413284365	0.54136426863	0.00265102932435	-0.242040740622	-300.0	0.621496638183	0.605885993458	0.113463641389	0.541413284365	0.54136426863	0.00265102932435	-0.242040740622	-300.0	0.309160466813	0.306216332941	0.072638077733	0.28754329461	0.28761083492	0.00402505505394	-0.163713072809	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.179820556722	0.154284774382	0.0702985652769	0.131530654266	0.123496313324	0.0390110018014	-0.300548789721	-300.0	0.587142249984	0.588113840105	0.0711094983438	0.563186190285	0.563219408963	0.00135122603205	-0.126555025147	-300.0	0.587142249984	0.588113840105	0.0711094983438	0.563186190285	0.563219408963	0.00135122603205	-0.126555025147	-300.0	0.274514374036	0.273035121949	0.0467566405802	0.26145924416	0.261278849766	0.00345465326131	-0.127158352241	-176.351830052
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.163160979116	0.14196524495	0.069421625745	0.121364959377	0.10149182899	0.0469677014195	-0.151334076032	-300.0	0.524687530637	0.519498662872	0.0850259671786	0.491911387823	0.491901495172	0.00140063626856	-0.118236866031	-300.0	0.524687530637	0.519498662872	0.0850259671786	0.491911387823	0.491901495172	0.00140063626856	-0.118236866031	-300.0	0.297805452244	0.296587550493	0.0564517175901	0.287568285921	0.287674002124	0.00324433683669	-0.0830796623768	-177.923052824
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.16530906641	0.135052235433	0.088732685272	0.124846809432	0.1034900765	0.0620398680858	-0.0510009958235	-266.149929739	0.499474153565	0.502375696674	0.0627117400863	0.494499710101	0.494505106238	0.00121473636327	-0.0116613699689	-300.0	0.499474153565	0.502375696674	0.0627117400863	0.494499710101	0.494505106238	0.00121473636327	-0.0116613699689	-300.0	0.291132438525	0.291031496826	0.0358331136067	0.281597393751	0.281468579859	0.00337315827327	-0.131738322835	-106.25665353
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.118598150422	0.107174966241	0.0461443549782	0.083574873701	0.0725486289833	0.0285862490682	-0.105907367205	-300.0	0.486802156648	0.474280545027	0.110369783328	0.437184990338	0.437189891855	0.000860576411715	-0.145830433102	-300.0	0.486802156648	0.474280545027	0.110369783328	0.437184990338	0.437189891855	0.000860576411715	-0.145830433102	-300.0	0.263738417304	0.26029561514	0.0597069188159	0.250210395139	0.250257986095	0.00350631301309	-0.0888839031947	-196.775873112
STAT4	-2.825769995	5.2946641167	2.4688941217	0.198475183516	0.178278043913	0.0584566023734	0.169520495885	0.155183699499	0.0413454249702	-0.138045417256	-300.0	0.651018178161	0.649146529455	0.0667694145631	0.626820389951	0.626806695993	0.00142188426361	-0.146361205143	-300.0	0.651018178161	0.649146529455	0.0667694145631	0.626820389951	0.626806695993	0.00142188426361	-0.146361205143	-300.0	0.28236038679	0.280038085579	0.0559885613223	0.269641505494	0.269812537832	0.00337679443787	-0.11167997244	-168.421629797
TP63	-2.7040282939	7.2572711722	4.5532428783	0.164962013413	0.132801449197	0.078648333821	0.131956661796	0.1092499265	0.0533788610917	-0.0337754399523	-300.0	0.651865189887	0.643842149282	0.0934388946616	0.59692455322	0.596915575098	0.00163540827649	-0.191189509639	-300.0	0.651865189887	0.643842149282	0.0934388946616	0.59692455322	0.596915575098	0.00163540827649	-0.191189509639	-300.0	0.303981407559	0.301535465055	0.0670101463347	0.291707097791	0.291304390217	0.0201024268563	-0.0847016140706	-256.205834001
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.140632455051	0.117741938695	0.0617611910729	0.11126521148	0.0917899607089	0.044106538291	-0.0747722063344	-300.0	0.619267222097	0.618999416309	0.0648474129959	0.595364028891	0.595341870946	0.00197251335424	-0.127189517814	-300.0	0.619267222097	0.618999416309	0.0648474129959	0.595364028891	0.595341870946	0.00197251335424	-0.127189517814	-300.0	0.291161886282	0.291068795925	0.0451431666775	0.283570968765	0.28353583759	0.00364234642369	-0.0405077973434	-198.979449505
MEF2C	-2.312784923	10.5691021611	8.2563172381	0.165871836939	0.141065802504	0.0689250036041	0.135436556032	0.115233871363	0.052786490713	-0.0942676229644	-300.0	0.4976331301	0.497613453695	0.00122426123628	0.499879151102	0.500109614446	0.0742001233149	0.0343202223517	-300.0	0.4976331301	0.497613453695	0.00122426123628	0.499879151102	0.500109614446	0.0742001233149	0.0343202223517	-300.0	0.339381203389	0.337464214082	0.0466027361175	0.329183652336	0.329041838163	0.00409468139985	-0.0695782568237	-138.255281308
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.163401328552	0.141283026022	0.060135972332	0.128213385714	0.114746587206	0.0425405794272	-0.090940007138	-300.0	0.539123137805	0.539321473377	0.0661292835942	0.524687878458	0.524664171113	0.0018130782678	-0.0544931616133	-300.0	0.539123137805	0.539321473377	0.0661292835942	0.524687878458	0.524664171113	0.0018130782678	-0.0544931616133	-300.0	0.300454129694	0.299920839116	0.0403987285413	0.292892766068	0.292836578819	0.00349455833906	-0.0575444845474	-183.044078857
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.159462539305	0.137520589563	0.0555954231762	0.189277695233	0.162378021791	0.0762027830445	0.0230257515809	-291.993207924	0.526914643939	0.527118067457	0.00112651851789	0.527138152551	0.527322880339	0.0639375841304	0.0508792014012	-300.0	0.526914643939	0.527118067457	0.00112651851789	0.527138152551	0.527322880339	0.0639375841304	0.0508792014012	-300.0	0.32818150339	0.327260602087	0.0376888221256	0.318686603878	0.318660411924	0.00336868587656	-0.115839722603	-134.513637178
REL	-2.0628250132	8.3178302778	6.2550052646	0.238248748078	0.209079952026	0.0798345239598	0.201436752661	0.177462708078	0.0571874982155	-0.0121585042714	-300.0	0.616923250933	0.614257405424	0.072663230987	0.593595846469	0.593600316029	0.00230462253723	-0.0966920944282	-300.0	0.616923250933	0.614257405424	0.072663230987	0.593595846469	0.593600316029	0.00230462253723	-0.0966920944282	-300.0	0.287359168068	0.287284979471	0.00369795009771	0.293281713278	0.2925138259	0.0498801881547	0.00592777485841	-127.342401884
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.150064296871	0.12935916306	0.0759114292593	0.0995817197004	0.0837634869301	0.0491764500626	-0.05429190509	-300.0	0.510812758828	0.512863860209	0.000768507867611	0.516188943146	0.516189141185	0.0688587995495	0.0223884555998	-300.0	0.510812758828	0.512863860209	0.000768507867611	0.516188943146	0.516189141185	0.0688587995495	0.0223884555998	-300.0	0.309698068293	0.309777749949	0.00434851875537	0.315442522526	0.314566686629	0.0401281954675	0.00588139247818	-130.381271405
NR3C1	-1.8464264783	9.6750664889	7.8286400106	0.246943827787	0.208021561576	0.101073276739	0.191896217267	0.16185282542	0.0728070437527	-0.121642203933	-300.0	0.582854499132	0.582809943842	0.00141352767653	0.586404988738	0.587808764726	0.0797283950255	0.0174194986471	-300.0	0.582854499132	0.582809943842	0.00141352767653	0.586404988738	0.587808764726	0.0797283950255	0.0174194986471	-300.0	0.291921580232	0.291787577172	0.00513132582499	0.295841928657	0.295166445025	0.0410539018408	0.038069233335	-91.9698142099
IRF1	-1.7207699439	8.2650849333	6.5443149894	0.125757073139	0.115189863492	0.0322542872935	0.147627269048	0.129247332753	0.0484781888247	0.0495891479634	-300.0	0.572014347981	0.568371821451	0.0608011354567	0.562544558124	0.562529898151	0.00115897210249	-0.00478828543374	-300.0	0.572014347981	0.568371821451	0.0608011354567	0.562544558124	0.562529898151	0.00115897210249	-0.00478828543374	-300.0	0.274056216485	0.259497845153	0.157296800042	0.311542047024	0.321994283388	0.170397419521	0.283387751075	-7.01315483154
SOX9	-1.6463590651	7.5684512556	5.9220921905	0.190271424028	0.144248270245	0.102515073681	0.144724307417	0.112348478926	0.0719650362637	-0.126924543437	-300.0	0.549958427795	0.554253298859	0.00047773159323	0.556064679541	0.556068805687	0.0589764019178	0.0360919901059	-300.0	0.549958427795	0.554253298859	0.00047773159323	0.556064679541	0.556068805687	0.0589764019178	0.0360919901059	-300.0	0.314659907821	0.31539898412	0.00339013851299	0.315406428114	0.316103514195	0.0341698174272	0.12760371795	-53.8060757641
