FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Boyle_H1hesc_protection_mean	Boyle_H1hesc_protection_median	Boyle_H1hesc_protection_std	Boyle_GM12878_protection_mean	Boyle_GM12878_protection_median	Boyle_GM12878_protection_std	Boyle_protection_ks_stat	Boyle_protection_ks_pvalue	Boyle_H1hesc_tc_mean	Boyle_H1hesc_tc_median	Boyle_H1hesc_tc_std	Boyle_GM12878_tc_mean	Boyle_GM12878_tc_median	Boyle_GM12878_tc_std	Boyle_tc_ks_stat	Boyle_tc_ks_pvalue	Boyle_H1hesc_fos_mean	Boyle_H1hesc_fos_median	Boyle_H1hesc_fos_std	Boyle_GM12878_fos_mean	Boyle_GM12878_fos_median	Boyle_GM12878_fos_std	Boyle_fos_ks_stat	Boyle_fos_ks_pvalue	Boyle_H1hesc_flr_mean	Boyle_H1hesc_flr_median	Boyle_H1hesc_flr_std	Boyle_GM12878_flr_mean	Boyle_GM12878_flr_median	Boyle_GM12878_flr_std	Boyle_flr_ks_stat	Boyle_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.270592682894	0.116484804881	0.342677929275	0.0376823750936	0.0226745451235	0.0472789144789	-0.293150684932	-1.53712695178	0.518124826853	0.526161053562	0.0428107466867	0.369917849331	0.377202100429	0.0350621088386	-0.182513661202	-300.0	0.371042954702	0.366961651917	0.0495556282482	0.342920353982	0.327701796728	0.0451879187879	-0.354794520548	-2.02538575528	0.212965672193	0.208037022334	0.0572209392274	0.197613193907	0.194159514956	0.0162342969649	-0.207142857143	-0.550188339151
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.121278477455	0.0152685511949	0.243148245358	0.0113976041645	0.00618851075959	0.0167633131792	-0.18256762559	-1.92825016469	0.465872332616	0.472821183486	0.0436555485765	0.331528189084	0.338786136707	0.0377392212834	-0.14722213806	-300.0	0.764777307294	0.762142979661	0.0576004179266	0.711376678132	0.699302372705	0.0355025820555	-0.538371260913	-8.00316946158	0.589530643796	0.587170700763	0.05367420993	0.544837660163	0.544040896018	0.0167466982354	-0.623785277859	-14.2423085793
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.111771711907	0.00684763660835	0.222555441994	0.0112450500477	0.00494975369598	0.0141654670183	-0.122717622081	-2.3872759703	0.550219931011	0.557626727268	0.0455753960683	0.40013741584	0.408480588459	0.0322989498518	-0.188122171946	-300.0	0.470206792637	0.456424055243	0.0603609902044	0.477283681468	0.464925278877	0.0779339564758	0.00997876857749	-0.631711522522	0.207562233661	0.206213818221	0.0502489155973	0.192255937639	0.19280476972	0.00702285764102	-0.590030160858	-14.4517380973
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0707623413003	0.00702339273066	0.158098954433	0.0111898428016	0.00451438677571	0.0125506965655	-0.116486161252	-4.91674848601	0.525394458469	0.530756851485	0.0353560400637	0.385855141245	0.390969893901	0.03118361845	-0.178847586078	-300.0	0.506224164796	0.501524867762	0.0605796070757	0.481775233497	0.47793654725	0.0520274254607	-0.188989169675	-7.58123819602	0.295433971967	0.295946632834	0.0232258067527	0.283513990686	0.27955517495	0.0164216123866	-0.691478696742	-45.7204479953
AR	-2.9986960778	6.4303512778	3.4316552	0.148846927172	0.00738669278194	0.263849456205	0.0109114564481	0.00621270767969	0.0132345478514	-0.164209559383	-2.42763775755	0.517036643263	0.524954571418	0.050406352834	0.382269022835	0.392377946182	0.0299124881567	-0.142810001531	-300.0	0.720043315083	0.717509284035	0.0323450115098	0.69415053233	0.697791713881	0.0295593550506	-0.389205031139	-5.56782659714	0.401782143837	0.398190009281	0.0606886885131	0.384246057194	0.381645794717	0.0170584710964	-0.156565656566	-1.50031353588
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.00965312241349	0.00352712450111	0.0118484952102	0.0435628898562	0.00569987539245	0.12900291386	0.0630105330122	-2.38113876728	0.598278733803	0.60465938228	0.0319911441129	0.448335625094	0.454349431938	0.0248362560926	-0.150650589494	-300.0	0.637515562189	0.636062226941	0.0178458526667	0.608341613604	0.609328451605	0.0151246488702	-0.611337001722	-53.4811503223	0.343896077423	0.346534201909	0.0633271810658	0.33641147433	0.33298973164	0.0264646580085	-0.438080056104	-107.326775922
SRY	-2.7415056944	4.77859	2.0370843056	0.011701906481	0.00447573311097	0.0147065800075	0.105628894029	0.00686580916904	0.244565857699	0.0158935693151	-0.772676994276	0.49045056799	0.498153076413	0.0401379763598	0.372551691594	0.379330882696	0.0283346076064	-0.122240431337	-300.0	0.280216640625	0.275748213928	0.0366384823897	0.281197953418	0.277205134726	0.0481257562751	0.0832548461286	-0.0403723631213	0.418228044057	0.426492679531	0.0811416131166	0.414593550091	0.412656439134	0.0249468866891	-0.0603295956507	-0.712997655547
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.077293976282	0.0074122288562	0.17240525151	0.0105219708725	0.00647874402903	0.0123710419993	-0.0773260576021	-4.27546698258	0.576750455073	0.582132838067	0.0380837017515	0.427150706857	0.433482768406	0.0298938282466	-0.136878543176	-300.0	0.550828317537	0.549206996508	0.0373829085644	0.537737893489	0.533539040165	0.0273264447651	-0.159206223926	-5.25832296908	0.284168787309	0.284112245904	0.020794529627	0.271964602374	0.272017791212	0.00588791929518	-0.626676887992	-37.6168808421
BCL6	-2.5050076889	5.507985	3.0029773111	0.076649156352	0.00704503457489	0.195689439601	0.010507154892	0.00616503288381	0.0132674362577	-0.0321532765492	-2.08341899713	0.510720203942	0.516387983561	0.042254978134	0.385599543867	0.393398565662	0.0274566967005	-0.119515407182	-300.0	0.574339198763	0.573323514281	0.0316409207439	0.563348173831	0.557633679936	0.0222565734627	-0.218585858586	-4.72844327728	0.462668341055	0.464442050156	0.0478220316689	0.447601896314	0.446348760207	0.0195040965263	-0.305567226891	-5.91821228737
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0883043012625	0.00611423735662	0.187681008535	0.0107491856123	0.00549391948126	0.0141299774697	-0.0670544955878	-3.62975604087	0.495728838616	0.502515329213	0.0399839965142	0.377336343058	0.384307233501	0.0320916335774	-0.0833010447237	-300.0	0.257815848413	0.248766569571	0.0303381686102	0.259087192218	0.254766229002	0.0426949492084	0.0129407004971	-0.940307197035	0.311556844875	0.312098940936	0.0209331586245	0.30081356909	0.30068224368	0.00740524907314	-0.628133006825	-30.3560726337
