FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Dnase2Tf_H1hesc_protection_mean	Dnase2Tf_H1hesc_protection_median	Dnase2Tf_H1hesc_protection_std	Dnase2Tf_GM12878_protection_mean	Dnase2Tf_GM12878_protection_median	Dnase2Tf_GM12878_protection_std	Dnase2Tf_protection_ks_stat	Dnase2Tf_protection_ks_pvalue	Dnase2Tf_H1hesc_tc_mean	Dnase2Tf_H1hesc_tc_median	Dnase2Tf_H1hesc_tc_std	Dnase2Tf_GM12878_tc_mean	Dnase2Tf_GM12878_tc_median	Dnase2Tf_GM12878_tc_std	Dnase2Tf_tc_ks_stat	Dnase2Tf_tc_ks_pvalue	Dnase2Tf_H1hesc_fos_mean	Dnase2Tf_H1hesc_fos_median	Dnase2Tf_H1hesc_fos_std	Dnase2Tf_GM12878_fos_mean	Dnase2Tf_GM12878_fos_median	Dnase2Tf_GM12878_fos_std	Dnase2Tf_fos_ks_stat	Dnase2Tf_fos_ks_pvalue	Dnase2Tf_H1hesc_flr_mean	Dnase2Tf_H1hesc_flr_median	Dnase2Tf_H1hesc_flr_std	Dnase2Tf_GM12878_flr_mean	Dnase2Tf_GM12878_flr_median	Dnase2Tf_GM12878_flr_std	Dnase2Tf_flr_ks_stat	Dnase2Tf_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.0514705021133	0.036611646034	0.0804654486176	0.0408548271937	0.0310515054257	0.0413602512182	-0.108076440229	-11.967351678	0.442705700388	0.446467983451	0.0334501385878	0.318424394987	0.322383510375	0.032553733862	-0.463232383635	-299.999999999	0.554600788515	0.555819172812	0.0240783629493	0.504527812738	0.505290157102	0.0181185247099	-0.634186265669	-300.0	0.316973162497	0.31626082112	0.0145370566409	0.287383210869	0.287378869404	0.0131619441268	-0.76723571224	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.0429298143837	0.0366234155722	0.051957936479	0.0334065626092	0.0296038185995	0.0186064940471	-0.054347406979	-24.186108153	0.372413821685	0.376738798729	0.0450332652224	0.272113305228	0.279449030434	0.0397070637765	-0.288878505511	-300.0	0.475810905352	0.472517119244	0.0267340656331	0.438405533904	0.433835538114	0.0225982443934	-0.535476097051	-300.0	0.334940682568	0.334074067541	0.0166016157895	0.306816150824	0.306405614599	0.015660298654	-0.756619358974	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.150747384014	0.120792737542	0.100643453233	0.113610473486	0.0980051427487	0.0802476290227	-0.175213738389	-39.0527830122	0.357446646312	0.363658255917	0.0349683282736	0.270678775752	0.275540048798	0.0346800690454	-0.338771893244	-300.0	0.406628131049	0.407463456797	0.024098051248	0.378846067289	0.380613661416	0.0161597112364	-0.463626526957	-300.0	0.331996894573	0.33135175009	0.0133187337851	0.309763505691	0.309580021305	0.012275993695	-0.720845184961	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0935740196718	0.084122013109	0.0399646082448	0.0782024689819	0.0688805896178	0.038878713506	-0.117743145355	-113.852590806	0.37502696059	0.380341531133	0.0361207105521	0.287364641307	0.292442386245	0.0354734316718	-0.322821555587	-300.0	0.522352074343	0.521007071399	0.0185150602626	0.490942145263	0.490513771477	0.016191861663	-0.553369818801	-300.0	0.329369847214	0.329524914729	0.012710940515	0.310277654033	0.310272397496	0.0117751954625	-0.710996350465	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.138359179975	0.100771138122	0.114077859787	0.0895981280945	0.0784105315299	0.0467525166275	-0.133993233283	-22.7413488258	0.333317576805	0.337888167308	0.0378788939508	0.264030301148	0.270445966825	0.0367138932421	-0.178159115613	-167.517753843	0.526400948845	0.527842570389	0.0269889075067	0.502253599637	0.504229793588	0.0164593292161	-0.421855008945	-300.0	0.312145477992	0.312421510029	0.0158779127692	0.298832851781	0.298558236592	0.0121751823939	-0.591231116942	-300.0
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0412577623789	0.0363029032938	0.0333653764239	0.0312995160917	0.0289802418312	0.0144556538414	-0.178128578297	-124.024627574	0.353144539447	0.357637992196	0.0373271233373	0.279880827914	0.285835448341	0.0371190105999	-0.200387610684	-300.0	0.492794878457	0.494417716344	0.0183702339585	0.470719455063	0.472252373269	0.0122909071126	-0.49976336011	-300.0	0.394919989378	0.396202312282	0.0166495939738	0.378138446905	0.378770110619	0.0141853932756	-0.596220911653	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.0423613646518	0.0326644910639	0.0592176841456	0.0261907094475	0.0244590234072	0.0122059366481	-0.209664032996	-36.7854484381	0.341661295383	0.345050091931	0.0360665410622	0.272830557011	0.279346144997	0.0360653431177	-0.164159341758	-145.829249174	0.548722868858	0.550661822218	0.023396227902	0.523277869919	0.52627158244	0.0145146241338	-0.487509496073	-300.0	0.321259903982	0.32077052742	0.0150266917018	0.308018899718	0.307722489951	0.0119856438321	-0.605629719986	-300.0
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0817882625072	0.0709371837664	0.0422997969804	0.0649532159685	0.0565840863158	0.0361380641119	-0.0505638416474	-125.164271725	0.425492290333	0.430883102032	0.0419149550685	0.322756216991	0.330472885384	0.0344082688683	-0.330435426986	-300.0	0.592206835273	0.591588943686	0.0165552991933	0.568627062157	0.567641243566	0.0157591124862	-0.485008842726	-300.0	0.308418331263	0.30833423219	0.0159039193837	0.295822402588	0.295812071558	0.015227679906	-0.586032776071	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.111524973482	0.0918336525998	0.0738529863135	0.0765976365702	0.0707490310371	0.0424816987095	-0.196818520118	-74.2254144445	0.378620132127	0.384282056936	0.0367944891297	0.292887573685	0.298088369889	0.0330548936547	-0.27636791824	-300.0	0.562186247839	0.562015405023	0.0227624959128	0.541098871907	0.54075249354	0.0169397916314	-0.374107944968	-300.0	0.335742801913	0.335885560041	0.0143836518834	0.323234041885	0.323177892479	0.0128232812158	-0.586481317972	-300.0
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0606255240879	0.0507020159325	0.048145620393	0.0461811102018	0.0402910145062	0.0256920522326	-0.120579245537	-55.9600553929	0.454144631949	0.458881584083	0.0357111764614	0.347812294391	0.354375045787	0.0317765177684	-0.361939920736	-300.0	0.536302399979	0.538441547706	0.0221899758798	0.518628612093	0.519937284718	0.0191988492577	-0.286680087958	-300.0	0.334221912405	0.334108660345	0.0147802642119	0.322674853913	0.32257658081	0.0125818117345	-0.554227272718	-300.0
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.056750721058	0.0411693653364	0.0614638525731	0.0392985219086	0.0328394284333	0.0261045403337	-0.0898738153206	-46.795511869	0.392800540596	0.398890007028	0.0393962812624	0.304717310288	0.313081779881	0.0334988448205	-0.255954666604	-300.0	0.609424777888	0.610390934958	0.0185133203478	0.589282464144	0.59087117621	0.0144867772332	-0.427655632597	-300.0	0.313526339738	0.313527954153	0.0137255705979	0.304033504694	0.303589526169	0.0130113989862	-0.515257578127	-300.0
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.0418096225472	0.0322951910457	0.0738238596567	0.0287615502886	0.0246885139493	0.0215685470055	-0.0531567775535	-12.8302012828	0.304611427065	0.312179908387	0.0452041481079	0.243252388741	0.253382257183	0.0413992271131	-0.0172686366979	-57.1262691587	0.325138542351	0.325996405084	0.0269864676098	0.315581240156	0.315872107028	0.0142591196671	-0.275227907034	-300.0	0.288030872206	0.287416390029	0.0142782927205	0.278498292876	0.278472879816	0.0140823963081	-0.505616532156	-300.0
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.0627412282915	0.0436218471863	0.0691408159563	0.0360689044393	0.0327213507376	0.0248709519463	-0.232465878126	-38.7876076153	0.301662236998	0.306024291929	0.042561255781	0.243660971932	0.252228140786	0.0360080292593	-0.027557102813	-119.880038092	0.425317128493	0.426678475159	0.0194773686097	0.411310731272	0.413526046103	0.0124203888235	-0.345667653683	-300.0	0.319531357533	0.319253633531	0.0156583778087	0.309699576679	0.309503936939	0.0129209723014	-0.513772809415	-300.0
E2F3	-0.9704539	7.6233014444	6.6528475444	0.08037619581	0.0709370873059	0.0414831621882	0.102354701375	0.089881061705	0.0517545411565	0.00514170599058	-216.783819376	0.498858424908	0.502067784122	0.039296046827	0.380262455766	0.38613257085	0.030856980459	-0.332520164467	-300.0	0.588486318617	0.585523830996	0.0236436431114	0.576651759851	0.573791362259	0.022428659431	-0.162832638692	-300.0	0.363431398673	0.363057331648	0.0188144021054	0.356910798533	0.356759618251	0.0181814743405	-0.328509586718	-300.0
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.153606171375	0.134062489577	0.0783870782366	0.112267249109	0.105106386631	0.0521874134279	-0.0785914569583	-51.1243853072	0.365230821759	0.369674390856	0.0375166085216	0.292352300967	0.298591211648	0.0330735154814	-0.125268127074	-300.0	0.502414217344	0.50343453502	0.0205761804211	0.493007153997	0.495296841289	0.0151229069748	-0.217963770959	-300.0	0.341766998288	0.341432424446	0.0129517434166	0.336000823297	0.33594096398	0.0107198203608	-0.331141194442	-300.0
