FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	FLR_85_H1hesc_protection_mean	FLR_85_H1hesc_protection_median	FLR_85_H1hesc_protection_std	FLR_85_GM12878_protection_mean	FLR_85_GM12878_protection_median	FLR_85_GM12878_protection_std	FLR_85_protection_ks_stat	FLR_85_protection_ks_pvalue	FLR_85_H1hesc_tc_mean	FLR_85_H1hesc_tc_median	FLR_85_H1hesc_tc_std	FLR_85_GM12878_tc_mean	FLR_85_GM12878_tc_median	FLR_85_GM12878_tc_std	FLR_85_tc_ks_stat	FLR_85_tc_ks_pvalue	FLR_85_H1hesc_fos_mean	FLR_85_H1hesc_fos_median	FLR_85_H1hesc_fos_std	FLR_85_GM12878_fos_mean	FLR_85_GM12878_fos_median	FLR_85_GM12878_fos_std	FLR_85_fos_ks_stat	FLR_85_fos_ks_pvalue	FLR_85_H1hesc_flr_mean	FLR_85_H1hesc_flr_median	FLR_85_H1hesc_flr_std	FLR_85_GM12878_flr_mean	FLR_85_GM12878_flr_median	FLR_85_GM12878_flr_std	FLR_85_flr_ks_stat	FLR_85_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.0107544399883	0.00871930949776	0.00898623794984	0.00919753752151	0.00758076889219	0.00874964267393	-0.0428170038238	-173.203733714	0.423675236443	0.431918183355	0.0465515272841	0.329838732657	0.34830579149	0.0363024413484	-0.428082191781	-6.20919313417	0.430994689863	0.414424111948	0.0786085766188	0.381951919627	0.360064585576	0.0603584691846	-0.399352750809	-3.03057337194	0.241014480941	0.236784798536	0.0555644164867	0.220908231321	0.219371688736	0.0139581977067	-0.317230443975	-1.89348107304
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.0853693627951	0.0622237797285	0.0483062540863	0.079252952461	0.0568326509209	0.0455972800364	-0.1120147773	-300.0	0.381538013654	0.390145380587	0.0334899337685	0.322368830341	0.318090890454	0.0165802176343	-0.363746958637	-11.0627093869	0.558223828894	0.555224116326	0.0483731960914	0.52171054263	0.512405340903	0.0293958242853	-0.492523364486	-8.19577763083	0.588930082859	0.586868712201	0.0510894800864	0.546413759316	0.544378845095	0.0179076957957	-0.577725057707	-15.5904305771
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.0117715859046	0.00872009444451	0.01032406701	0.00969124729842	0.00702760134304	0.0093111352623	-0.257170563464	-300.0	0.382416660245	0.390588177016	0.0336158075515	0.32359973065	0.324130408252	0.0137000123167	-0.377494692144	-19.5746652881	0.478768070691	0.466949221434	0.0631432862733	0.458268594746	0.453601908445	0.044242118029	-0.0719851576994	-1.78672096323	0.207053705061	0.206210835314	0.048379018303	0.191534532612	0.192003762311	0.00677076709147	-0.592834809797	-17.1387655976
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0187034752253	0.0157074850501	0.00823139963811	0.0198693012785	0.0169833614195	0.00878307116784	0.0287132820627	-300.0	0.36638401458	0.375388699999	0.0361733689838	0.31269438243	0.320622681157	0.0327971030635	-0.291817087846	-32.3597030284	0.477258876509	0.470848849882	0.048963271076	0.4562812399	0.452060095256	0.0405503987543	-0.241160593792	-10.6459246126	0.295454554995	0.295923438487	0.0223790528428	0.282756407383	0.279395050265	0.0158412566542	-0.702309960682	-51.77051675
AR	-2.9986960778	6.4303512778	3.4316552	0.0390257358192	0.0312594745059	0.0233313934656	0.0318528001949	0.0234925794061	0.0202841872637	-0.163928427466	-300.0	0.350221560571	0.359593903066	0.034314123525	0.310683035058	0.312777796461	0.0134598297635	-0.242766159701	-9.99241097867	0.644838502992	0.636308670891	0.0567928183991	0.61449485444	0.624270339276	0.0534771527925	-0.20149602618	-2.9585533061	0.400807111449	0.397806346651	0.0594818621342	0.373558643808	0.373990931396	0.0338996625011	-0.255172413793	-3.76675894509
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0152123906061	0.0123564654276	0.00967387800314	0.0127100620877	0.0101483902197	0.00843156211695	-0.0484950907849	-300.0	0.507447994676	0.514788296227	0.031326977175	0.404886901356	0.412321886178	0.0278528650035	-0.41909136979	-75.5127650828	0.518096604667	0.514903478519	0.0240283823208	0.493194743727	0.493993029072	0.0225301639327	-0.41852433281	-36.2541380537	0.344045827091	0.346681289164	0.0566855512478	0.335234358278	0.332454082499	0.0260946669126	-0.458489381027	-142.505181199
SRY	-2.7415056944	4.77859	2.0370843056	0.0081086525622	0.00615539482476	0.00817504608993	0.00988202022604	0.00779765105698	0.00889143430959	0.0197550404332	-259.020049127	0.458247981452	0.468218526471	0.0399684260547	0.376790708521	0.383086560284	0.0183224342997	-0.374720821223	-16.7523309826	0.536293021641	0.531996464541	0.0317834791857	0.520063786933	0.516903248741	0.0216477216252	-0.279836560668	-4.88983446758	0.456256939715	0.463977138887	0.0729477099498	0.449115337178	0.446837487231	0.0242275478751	-0.108849171752	-1.45229251653
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0278547031247	0.0251334864334	0.00935428693157	0.0290947239352	0.0257584078128	0.00981372869739	0.0363698387541	-300.0	0.356828740834	0.365858580563	0.0336626102985	0.32024701732	0.325865926396	0.0203322981582	-0.169264269351	-21.9014947288	0.46191523944	0.458734309185	0.0335719760824	0.444267348909	0.442995245569	0.0248542200226	-0.236691831204	-9.03407415891	0.284082368246	0.2840907565	0.0201913057605	0.270490694058	0.271875181599	0.0132937023256	-0.618260808588	-41.2222157817
BCL6	-2.5050076889	5.507985	3.0029773111	0.0148883250026	0.0121573383112	0.00890884713644	0.0130532261748	0.010631607161	0.00789676902069	-0.132992291052	-300.0	0.419165867924	0.42700156579	0.0293399286551	0.354716670483	0.359593644608	0.016087263147	-0.338752603149	-22.6826587648	0.472417837984	0.4691972841	0.0426318969817	0.465768800546	0.458371240501	0.0307154452732	-0.0999417588818	-2.35943835583	0.463149514484	0.464881779707	0.0472444662921	0.44260107148	0.446348760207	0.0358986326809	-0.325381227407	-7.55998888691
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0172920977735	0.0142120403496	0.00990548719108	0.0153221892367	0.0124983109034	0.00924147886883	-0.0626372607972	-300.0	0.323959130987	0.331000616149	0.0308072448104	0.296450545944	0.299741991116	0.0276732666113	-0.00514835756912	-11.2637083243	0.51233887262	0.508359021404	0.0445335868637	0.499523498545	0.492535072441	0.0289351002277	-0.109718999742	-3.41301592704	0.311591736897	0.312098940936	0.0203369321251	0.301039225517	0.301007777296	0.00719744869839	-0.603712009899	-31.165938955
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.0104846154043	0.00830091123323	0.0084650470106	0.011612351931	0.00934375371379	0.00925328789021	0.0117078097972	-300.0	0.47274916693	0.480514270975	0.0293848461188	0.389010255062	0.395619643135	0.0191881066718	-0.367649465595	-33.5864236606	0.51253726036	0.507953745733	0.0446668489986	0.504548890175	0.499419951605	0.0359223779095	-0.0198571148953	-1.87109162282	0.248800335476	0.248256159979	0.0282033766215	0.241740417176	0.24103085218	0.00589977805991	-0.340150577558	-12.8245455083
