FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	PIQ_99_H1hesc_protection_mean	PIQ_99_H1hesc_protection_median	PIQ_99_H1hesc_protection_std	PIQ_99_GM12878_protection_mean	PIQ_99_GM12878_protection_median	PIQ_99_GM12878_protection_std	PIQ_99_protection_ks_stat	PIQ_99_protection_ks_pvalue	PIQ_99_H1hesc_tc_mean	PIQ_99_H1hesc_tc_median	PIQ_99_H1hesc_tc_std	PIQ_99_GM12878_tc_mean	PIQ_99_GM12878_tc_median	PIQ_99_GM12878_tc_std	PIQ_99_tc_ks_stat	PIQ_99_tc_ks_pvalue	PIQ_99_H1hesc_fos_mean	PIQ_99_H1hesc_fos_median	PIQ_99_H1hesc_fos_std	PIQ_99_GM12878_fos_mean	PIQ_99_GM12878_fos_median	PIQ_99_GM12878_fos_std	PIQ_99_fos_ks_stat	PIQ_99_fos_ks_pvalue	PIQ_99_H1hesc_flr_mean	PIQ_99_H1hesc_flr_median	PIQ_99_H1hesc_flr_std	PIQ_99_GM12878_flr_mean	PIQ_99_GM12878_flr_median	PIQ_99_GM12878_flr_std	PIQ_99_flr_ks_stat	PIQ_99_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.0108390850883	0.00884988106964	0.00948773082664	0.00940904844407	0.00777843252799	0.00927751522369	-0.0414949964527	-144.76937101	0.553023572491	0.560581897563	0.0374303879673	0.393471838976	0.399352198357	0.0294967579596	-0.194228751312	-300.0	0.554248680674	0.555819172812	0.0250840871401	0.504274954816	0.505290157102	0.0206854835281	-0.609208207311	-300.0	0.265070450138	0.265133324437	0.03336082197	0.240667245316	0.240401018603	0.0031355033721	-0.431225134627	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.0830675957631	0.06171668277	0.0468649432283	0.0783135596296	0.0569302456277	0.04518187887	-0.0830886737501	-300.0	0.483889436422	0.490238526243	0.0421725131023	0.348547593413	0.355723730236	0.0364702101886	-0.152317076736	-300.0	0.476233624527	0.473138239348	0.0284021949998	0.438565363807	0.434120300529	0.0244093711087	-0.51292365588	-300.0	0.26786702494	0.267925507968	0.0457487034114	0.248319701164	0.24667369537	0.0025388044705	-0.341500907833	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.0117139670326	0.00875551668991	0.0107503409392	0.00991581734848	0.00725754462805	0.0104003955699	-0.238729235256	-300.0	0.564052760187	0.571765016886	0.0388345424401	0.409198367394	0.414671293569	0.02851827314	-0.193609387591	-300.0	0.406536681511	0.407463456797	0.0249042460752	0.378829855826	0.380613661416	0.0187495460274	-0.420261178137	-300.0	0.304619777411	0.304573034033	0.0406358887075	0.286334613037	0.285364798789	0.00284244687038	-0.306073268826	-279.414452778
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0183994783013	0.0156803094704	0.0080822640304	0.01933652909	0.0165995855514	0.00848558984137	0.0272185626689	-300.0	0.566656561413	0.572481058125	0.0294399713382	0.416273771921	0.419930907897	0.0277793466695	-0.193894387796	-300.0	0.522263627282	0.521007071399	0.0189609797507	0.490711883191	0.490513771477	0.0170604188905	-0.537315437724	-300.0	0.250883720436	0.25090237311	0.0454942711764	0.236707340311	0.235761667721	0.00274058299063	-0.232148025572	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.0377564529989	0.0297246906875	0.0224469145657	0.0315255149132	0.0234270263418	0.0206930596626	-0.159422720186	-300.0	0.523478936976	0.532128795946	0.044204728194	0.38704448898	0.395114608228	0.0288659350148	-0.145970260809	-300.0	0.526145702774	0.527842570389	0.0274013858155	0.502047821332	0.5038488115	0.0188712836828	-0.388894504695	-300.0	0.312515305152	0.312421510029	0.0398692813255	0.300204574054	0.298558236592	0.00240157856361	-0.281608581292	-252.048260835
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0153260527993	0.0121928777586	0.00980455154203	0.0129743776225	0.0102190895925	0.00890211343087	-0.0459963806186	-300.0	0.492509023182	0.501839573685	0.0407637996734	0.370263155773	0.377061005924	0.0317132598315	-0.111475317063	-300.0	0.492503993537	0.494417716344	0.0184975515879	0.470571665002	0.471975392406	0.0133288803258	-0.480352392747	-300.0	0.393769250084	0.394043027878	0.0502044532334	0.371467235066	0.372041168233	0.00320662811297	-0.304601539234	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.00806613484525	0.00611070200198	0.00874177921599	0.00970094840428	0.00751228627525	0.00901487136158	0.0269728529491	-210.133814356	0.485129316907	0.495291516491	0.0440035130935	0.364454993942	0.371768660959	0.0291450169027	-0.115182342354	-300.0	0.548407124084	0.550661822218	0.0232932490679	0.523200879949	0.526088722265	0.0159457168776	-0.467122892411	-300.0	0.245055563089	0.24502431769	0.033265188412	0.23626491639	0.235673744418	0.00290542238865	-0.170328828955	-180.950653558
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0278383112765	0.0249950639892	0.00920453931765	0.0289169976504	0.0256459439051	0.00963962205813	0.0338412085479	-300.0	0.561715676371	0.567085648472	0.0345613020724	0.419806915414	0.425417104473	0.0286933307218	-0.138372708236	-300.0	0.592111008843	0.591588943686	0.0170199121228	0.568428352293	0.567641243566	0.016063576261	-0.472671744665	-300.0	0.284235856415	0.284188786067	0.060072549104	0.273428106745	0.271877751544	0.00253163253759	-0.186462566559	-287.856790523
BCL6	-2.5050076889	5.507985	3.0029773111	0.0148478775514	0.0122393236937	0.00907848191171	0.0131581009064	0.0108024021835	0.00837442219347	-0.140008474659	-300.0	0.53108429598	0.537430509409	0.0377776088568	0.398506336288	0.404407463315	0.0267511987152	-0.130089796713	-300.0	0.562168291286	0.562015405023	0.0234984769194	0.541118922028	0.54075249354	0.0186086387656	-0.341807263643	-300.0	0.273723743034	0.273606649442	0.0451333958208	0.263916131571	0.26268842714	0.00266782567205	-0.170717946793	-210.796999377
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0169218983528	0.0137074400883	0.0096975418638	0.0150746899338	0.0122343379576	0.00914478135801	-0.0801561030629	-300.0	0.51729759989	0.523313421543	0.0358819751315	0.394669696635	0.399713276839	0.0291279424284	-0.102936974704	-300.0	0.535852606845	0.537992846416	0.0227943718831	0.518230967191	0.519937284718	0.0201878108579	-0.266035197067	-300.0	0.322398871758	0.322381597423	0.0393755591557	0.312525303853	0.312223830728	0.00233647335786	-0.187706744546	-218.591468898
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.0114581581959	0.00944934740142	0.00949303736605	0.0104039921544	0.00843892539723	0.0088222374719	-0.024683387748	-300.0	0.564131892986	0.570466273189	0.0402201839096	0.425248524224	0.432396695615	0.0260885090494	-0.118290518972	-300.0	0.609232520035	0.610390934958	0.0188419741162	0.589009753776	0.59087117621	0.0151332532055	-0.414937247474	-300.0	0.281409802635	0.281459314668	0.045371962602	0.276158314624	0.274109319556	0.00235972849026	-0.130905877872	-176.427280279
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.0321318602412	0.0257450704346	0.0215750972446	0.0259448750875	0.0216567553935	0.0188799204165	-0.0527651308504	-194.969963386	0.509245061954	0.519042289709	0.0415084845782	0.391589558333	0.399149283157	0.0347456296912	-0.069664537228	-300.0	0.360892984894	0.361985632186	0.0265016749086	0.350704860447	0.350743635724	0.016279076708	-0.252606527765	-300.0	0.245317040608	0.245319274011	0.0286536998008	0.237911953675	0.237494021386	0.00301007265165	-0.165623376623	-161.32161275
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.063793655702	0.0518013211519	0.0369378454233	0.0522242724744	0.0397146330165	0.0297415834685	-0.141749422443	-300.0	0.570193049111	0.578162499512	0.04391995606	0.428788250021	0.43625215137	0.0262071385798	-0.114932013878	-300.0	0.425034669624	0.426678475159	0.0201392034103	0.411109744509	0.412957038816	0.0140917118375	-0.309803027474	-300.0	0.319395103114	0.319253633531	0.0433201952886	0.311306608787	0.309519028679	0.00504405156109	-0.1929937696	-166.172984693
E2F3	-0.9704539	7.6233014444	6.6528475444	0.00814826695944	0.00700833817467	0.00535153734017	0.0086014618026	0.00731728862449	0.00633288534093	0.178400498614	-221.048106156	0.5777414099	0.582170968846	0.0359225352476	0.438965112416	0.444701536775	0.0293195435604	-0.0712897190435	-300.0	0.588616721582	0.5860031792	0.0246403283841	0.576480401584	0.573791362259	0.0232348344755	-0.144772015963	-300.0	0.301666259648	0.301707491336	0.0687978782402	0.298916795307	0.29574089109	0.00250273642103	-0.0913031762375	-300.0
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.0138578936891	0.0113405780003	0.0106097109697	0.0123681257867	0.0101109998953	0.0100788094531	-0.0475731553532	-300.0	0.499719254597	0.50716275105	0.0365208087702	0.387091693109	0.391701985823	0.0289395862623	-0.0393374048822	-300.0	0.502240818705	0.50343453502	0.0208980053409	0.492823257711	0.495143213236	0.0175079388399	-0.167790763884	-300.0	0.499369725512	0.499626716349	0.0574347615246	0.491789129846	0.491550573545	0.009089653263	-0.0639945080548	-140.257564981
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.0101340947691	0.00746737134815	0.00851811706117	0.0127271877906	0.00963638141367	0.00965081476956	0.034206890022	-300.0	0.496208428815	0.506469224148	0.0497645520001	0.381541467215	0.389804222854	0.0323345217139	-0.0223428634445	-300.0	0.385744809055	0.38786854843	0.0191771137464	0.377577709586	0.379352067824	0.013420487956	-0.216772518356	-300.0	0.328220342249	0.328466587057	0.0461082762089	0.32384166683	0.323177314542	0.0026827525242	-0.0760059706998	-185.745770097
GABPA	-0.7648685556	8.661842	7.8969734444	0.0466724571395	0.0406309146671	0.0180392950459	0.0414912158045	0.0358059120331	0.0157489372396	-0.023718339546	-300.0	0.541971218117	0.54699907092	0.0371035355345	0.413249445565	0.417150834842	0.0322257904999	-0.0352086465671	-300.0	0.576861160026	0.573289453487	0.0296377269095	0.573521618558	0.568366092562	0.0197859385468	-0.0425456780881	-300.0	0.258123041077	0.258186130943	0.057019531655	0.255138156076	0.25389763459	0.00258161856016	-0.0552756298999	-183.512838286
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.00854439474233	0.00759078722473	0.00426817776954	0.00913486187822	0.00809183057171	0.00497227447329	0.118101702104	-300.0	0.588993725166	0.593545016378	0.0355078663699	0.445865329009	0.451568123431	0.0297156287606	-0.0627527073387	-300.0	0.506438298646	0.503749198576	0.0222321366857	0.499537342954	0.495646663105	0.0197731084421	-0.0890279022254	-300.0	0.28867737873	0.288762713595	0.0700594924711	0.287906502908	0.285080060196	0.00250119134391	-0.0568216257151	-298.06251382
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.0156214253698	0.0102093666947	0.0175218697465	0.0196975637154	0.0134957420971	0.0185831036678	0.0644962142296	-260.069848511	0.353740186481	0.361230368246	0.0289211792514	0.455361760614	0.465049308288	0.0445390964639	0.00842721541339	-300.0	0.539512250664	0.541371604576	0.0259968546108	0.529270083148	0.532407063229	0.0171361531193	-0.194301501328	-300.0	0.327569725831	0.327718627157	0.0337711641562	0.321558542303	0.321713190731	0.00259767053115	-0.122558693251	-145.175976386
REST	-0.6212560778	8.5147308333	7.8934747556	0.045013121073	0.0397937098215	0.0189581121787	0.0486468681196	0.0423350921111	0.019616858432	0.102612448803	-300.0	0.492276904622	0.497982118556	0.0369407549477	0.383841929462	0.390015660585	0.029999724913	-0.00659830366973	-300.0	0.555230363411	0.555531985378	0.0276170608704	0.548765164962	0.548604162834	0.0246456716122	-0.0182598448	-300.0	0.277115526427	0.277313158659	0.0485948893198	0.273992826579	0.273198146635	0.00260170057868	-0.0441460135252	-124.293343895
ERG	-0.5708799333	3.9203937778	3.3495138444	0.00640827985148	0.0050064298467	0.00533446831261	0.0054406963728	0.00416254820936	0.0047352181379	-0.0217542216328	-300.0	0.508886020566	0.514927734223	0.0336662219537	0.394310112156	0.398970672899	0.029775862167	-0.0253127603252	-300.0	0.451661801002	0.450907602633	0.0222680930921	0.44763912649	0.445594403384	0.0164063046284	-0.0455683864661	-300.0	0.294282532536	0.294395975004	0.0490628924055	0.292033348544	0.290927006053	0.00239788423359	-0.043750284733	-258.494555019
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.0180029414631	0.0125682200262	0.0169262069563	0.0135046916088	0.007848236376	0.0145795317612	-0.140408085842	-300.0	0.355163584297	0.360671246392	0.0285568218115	0.448251940906	0.456734282281	0.0394088719085	0.0277500086921	-300.0	0.524820134199	0.526437893966	0.0295249826528	0.517369683931	0.520276907478	0.0186532499595	-0.138829637896	-300.0	0.292078162005	0.292108503735	0.0246239024194	0.288963417757	0.288691981111	0.00229828116034	-0.05361407071	-120.824369579
TP53	-0.5304638611	9.9692148611	9.438751	0.0334121848011	0.0272693776805	0.0179470435217	0.0285928912789	0.0230962727598	0.0163296106608	-0.0394119287632	-300.0	0.287482389457	0.293814395137	0.0363792039648	0.353322869834	0.36194320633	0.0436547233046	0.283072022822	-300.0	0.493961411106	0.495294244004	0.027334656729	0.488172841185	0.489731289189	0.0212669783282	-0.017138070649	-283.304306428	0.268536087529	0.268686557083	0.0454772495016	0.267002901083	0.265564125427	0.00255843589459	-0.0170480373014	-86.2322345365
KLF4	-0.5264230167	4.3891591111	3.8627360944	0.0252448924395	0.0224887552417	0.010430720999	0.0267403928614	0.0234423939537	0.0116023440506	0.0814136528116	-300.0	0.570082023546	0.575668756203	0.0392917145394	0.431051604366	0.436891893297	0.0331608945603	-0.0379194182695	-300.0	0.526954374602	0.523473111145	0.0234809064777	0.521699472178	0.516825659669	0.0201331981215	-0.0634890681473	-300.0	0.293975314425	0.292658261923	0.0751405989408	0.292499444309	0.288192070366	0.00223395948565	-0.0684240644744	-268.327532296
HLTF	-0.5141725	8.3729281667	7.8587556667	0.0568097715122	0.0475959014922	0.0267209948817	0.0629107347562	0.0535639442433	0.0293112506816	0.0775871815597	-300.0	0.576548018594	0.582219695752	0.0340886396097	0.443455927564	0.448510363983	0.0276231462399	-0.0555242210974	-300.0	0.569995471813	0.569008214593	0.0244294210968	0.563186853289	0.562743927467	0.0214856915074	-0.0394423070114	-300.0	0.275500626543	0.275437498357	0.0504549590039	0.273492992719	0.2718815452	0.00303887902103	-0.0298860273849	-103.87252649
CEBPB	-0.5116559222	6.3966905556	5.8850346333	0.0127355601157	0.00923316710599	0.0114005386966	0.0105401504313	0.00712462858584	0.0102108989309	-0.110433752563	-300.0	0.487265011318	0.495372469205	0.0423012963409	0.381905872352	0.389757814109	0.0307076069418	-0.00378543192388	-300.0	0.51934797474	0.519838438386	0.0223924721938	0.512921429027	0.514133335808	0.0173497963811	-0.0943198844126	-300.0	0.598964547568	0.59850693606	0.0550834312327	0.595018483297	0.593996364176	0.0042957259633	-0.0369911146714	-95.7573159053
MAFB	-0.3975071222	5.0393535	4.6418463778	0.0117008800239	0.00950909540797	0.00893115541857	0.0135063451274	0.0111966811531	0.0101766419599	0.0504412239337	-300.0	0.568968438734	0.574656676913	0.0372700616301	0.436799953525	0.442775490856	0.0278142116504	-0.0488449918198	-300.0	0.410323388905	0.408090366443	0.020232790783	0.411262212777	0.41196882038	0.025431011988	0.0574679513024	-196.428871331	0.305648953653	0.305756931348	0.0504009087126	0.300700359163	0.3008811604	0.00199394542682	-0.0901425356339	-165.487259716
E2F1	-0.3927608556	7.4081001111	7.0153392556	0.0232102852239	0.0202181543302	0.0116238378078	0.0243668612098	0.0207053237801	0.0132657456554	0.160531273433	-228.379952436	0.565651029527	0.569777662249	0.038762728464	0.431550100772	0.43772622863	0.0296857212277	-0.0409297636961	-300.0	0.416971858332	0.414006422525	0.0207965930524	0.421747959833	0.419741179529	0.0235611060166	0.0257402821396	-300.0	0.299683991862	0.29930273293	0.0669430794582	0.299237487407	0.297369476547	0.00237166171149	-0.0467392160319	-181.904568414
GFI1B	-0.3699532556	5.525732	5.1557787444	0.0151924130397	0.0128055615489	0.0090750767123	0.0129231164738	0.0106541582715	0.00804159274794	-0.100427330381	-300.0	0.370618261143	0.377986053891	0.0330564657459	0.470898336347	0.480129924984	0.0423822497229	0.0386222263648	-300.0	0.453222177275	0.453837160831	0.0159459508731	0.44943178235	0.449735639782	0.0110841249342	-0.0896123204594	-300.0	0.317826308195	0.317931258795	0.0505142316588	0.311996161457	0.312788112432	0.00371631779358	-0.0868732417455	-143.737885965
INSM1	-0.3575675111	6.7003285	6.3427609889	0.0199504040106	0.0168934016276	0.0116287990221	0.0219552898782	0.0185031635733	0.0130236776648	0.0940083256023	-300.0	0.625281709693	0.630334544745	0.0350519725307	0.476940630711	0.482981330302	0.0260319856584	-0.0584564646922	-300.0	0.472165109737	0.472416875324	0.0189663698389	0.468253103798	0.468227523139	0.0173407547587	-0.0017149198639	-300.0	0.280572873205	0.280335318791	0.0510026954874	0.280175345906	0.27852146784	0.00220069888899	-0.0275509033095	-116.999556738
