FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Protection_H1hesc_protection_mean	Protection_H1hesc_protection_median	Protection_H1hesc_protection_std	Protection_GM12878_protection_mean	Protection_GM12878_protection_median	Protection_GM12878_protection_std	Protection_protection_ks_stat	Protection_protection_ks_pvalue	Protection_H1hesc_tc_mean	Protection_H1hesc_tc_median	Protection_H1hesc_tc_std	Protection_GM12878_tc_mean	Protection_GM12878_tc_median	Protection_GM12878_tc_std	Protection_tc_ks_stat	Protection_tc_ks_pvalue	Protection_H1hesc_fos_mean	Protection_H1hesc_fos_median	Protection_H1hesc_fos_std	Protection_GM12878_fos_mean	Protection_GM12878_fos_median	Protection_GM12878_fos_std	Protection_fos_ks_stat	Protection_fos_ks_pvalue	Protection_H1hesc_flr_mean	Protection_H1hesc_flr_median	Protection_H1hesc_flr_std	Protection_GM12878_flr_mean	Protection_GM12878_flr_median	Protection_GM12878_flr_std	Protection_flr_ks_stat	Protection_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.00991072391651	0.00870877954428	0.00805974695161	0.0108410385544	0.00949319586391	0.00902407866843	0.0203358105962	-66.6622062701	0.55028076772	0.555083432273	0.0333601345063	0.388712455026	0.39137177911	0.0279704554983	-0.145593500413	-300.0	0.477656969919	0.475530804037	0.0533030396328	0.426323704981	0.419248172642	0.04548843617	-0.394725750582	-98.4646153286	0.296040583448	0.295246676881	0.0234233043669	0.267718096258	0.267927712824	0.016967201248	-0.751230732546	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.0703774277113	0.0567460233815	0.0422525287901	0.0563857052229	0.0420579467729	0.0366521820751	-0.247173254055	-300.0	0.488399310515	0.49202586553	0.0385659460684	0.34584335875	0.355451539813	0.0376380603318	-0.106335281114	-300.0	0.402956636901	0.395999375022	0.0780097478181	0.38086992318	0.36478393783	0.0594110376803	-0.138617401022	-52.0327361836	0.319125124571	0.317609491049	0.0313469618145	0.291742925766	0.290988924905	0.0258479736197	-0.647974979001	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.0107011261511	0.0093928407437	0.0118603199074	0.00977180710987	0.00798561686349	0.0114236508972	-0.0207709650059	-162.060888729	0.568925170199	0.57306391496	0.0346518335624	0.409941225414	0.413229359468	0.0251126959961	-0.146386238797	-300.0	0.414620314249	0.412440903894	0.064368753545	0.373563007708	0.367279562991	0.0550090665408	-0.235326892781	-88.5483184491	0.332958233158	0.331964601868	0.0279799930548	0.310284659351	0.309581879228	0.0231658338028	-0.611723049568	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0166272957829	0.0147672099935	0.00670388535318	0.0171046211256	0.0154815185221	0.00720293926514	0.00864268059231	-300.0	0.553230465502	0.556055461644	0.0287508940338	0.402917233911	0.408864921071	0.0286361582201	-0.139825251532	-300.0	0.386260960653	0.383780646946	0.0625680553661	0.367563378737	0.355593486441	0.0443078033005	-0.170298071554	-271.659831939	0.312510139027	0.312537155842	0.029111563995	0.295171498538	0.294433469601	0.0247495034294	-0.497575683985	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.0310410805852	0.0257338212246	0.0171616822403	0.025839286899	0.0218509420932	0.0160128669035	-0.202637241417	-300.0	0.53708660512	0.543069147732	0.0367471564273	0.400372491804	0.40623718768	0.0256984129212	-0.0988871829446	-300.0	0.357294091944	0.353949156572	0.0618821524701	0.336055995224	0.330349495317	0.0492230467559	-0.103824712935	-20.8064612642	0.312688271933	0.312421510029	0.0260914261323	0.299177955294	0.298274953662	0.0215704799439	-0.518964538709	-300.0
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.012691009455	0.010922737558	0.00882429990216	0.0103020310717	0.00953769414953	0.00728847806001	-0.0765359981476	-300.0	0.61279343108	0.616113673004	0.0225691272965	0.466191311186	0.470371689666	0.0175153749598	-0.104888034728	-300.0	0.416460342162	0.412903920234	0.0428920752983	0.389215933768	0.38558246612	0.0405180902159	-0.214744762167	-125.544038782	0.383569261969	0.384357336554	0.0358783977126	0.367808773931	0.367591882862	0.0271510032622	-0.388548596383	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.00740259510734	0.00567620979393	0.00748236841009	0.00610300471911	0.00483461297869	0.00732749021636	-0.12205039889	-300.0	0.496403150386	0.500462242968	0.0299505534913	0.386234980734	0.391931359799	0.0221758325313	-0.0861348340629	-300.0	0.483774502101	0.482895132744	0.0542339613704	0.451083648031	0.447591010128	0.0432685817619	-0.228132827241	-40.9902923784	0.321908588769	0.321185872458	0.0229681915506	0.308304729749	0.308045897513	0.0197680189732	-0.520327417781	-300.0
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0258973886184	0.0235045455752	0.0076332245525	0.026025507374	0.0243914933494	0.00814034789123	0.0862931501827	-300.0	0.590476148564	0.59358107778	0.0297304100335	0.438926435615	0.44597391232	0.0276490804783	-0.0938639361117	-300.0	0.384683036559	0.381237115223	0.063327679721	0.375861957274	0.361109904465	0.0394153813702	-0.129085848842	-223.94583554	0.292525623238	0.29161147652	0.0440290404456	0.280344534502	0.279252762048	0.0347277951801	-0.343000182349	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.0119528211407	0.0109279675837	0.00951358355	0.0106069882079	0.00926969091361	0.0089905977771	-0.0208352009127	-300.0	0.529280804194	0.53286692228	0.0329148996263	0.397695025245	0.401719512961	0.0256390359711	-0.0779659149033	-300.0	0.548657487372	0.547062443047	0.0487468203744	0.524381069351	0.517964660584	0.0347361623434	-0.232170613611	-119.664196581	0.330706077477	0.330538541742	0.0270845978881	0.318867419383	0.318345173875	0.0257913379468	-0.380395981922	-300.0
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0159804598525	0.0141834700729	0.0086392205635	0.0143073679655	0.0124930842031	0.00806050507777	-0.135386149969	-300.0	0.527401654217	0.53005763504	0.0310974011064	0.395104125013	0.400521878883	0.028525624368	-0.0606760327505	-300.0	0.398921705447	0.395196641242	0.0632633844394	0.382959923746	0.371073324975	0.0457138328182	-0.142487793298	-82.0498284816	0.312551635958	0.312201285056	0.0223785895246	0.301783382303	0.301188520086	0.0205262219689	-0.376923658516	-300.0
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.00921003020341	0.00839316115972	0.00753683254814	0.00959159347839	0.00882027692276	0.00798287895709	0.0176921124447	-300.0	0.544016026222	0.549004818609	0.038531882613	0.402862517521	0.40939870364	0.0255480063466	-0.0627569977085	-300.0	0.383454239512	0.380580011441	0.0574561054034	0.372923746779	0.363722620327	0.0381273938622	-0.104415029163	-44.9460722746	0.30523058131	0.305126747157	0.0288407140471	0.297442884974	0.296002003116	0.017235335362	-0.349893138438	-300.0
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.0247415209392	0.0218967388508	0.01410657745	0.0233114957948	0.017969465618	0.0129438168282	-0.0347504707791	-203.014173285	0.363362514589	0.368593358287	0.0301201957215	0.465695986912	0.473231080581	0.0373943827641	0.00126264705518	-300.0	0.230473334726	0.210641297752	0.0615403542492	0.233308151117	0.223444994859	0.0864701026908	0.00598795718109	-3.0929503772	0.288687359574	0.287541651193	0.0176706856646	0.278547081152	0.278325127699	0.0168788270355	-0.436004536664	-300.0
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.0625317828279	0.0527914220933	0.0231481729315	0.0560143946879	0.0467742828275	0.0194012271003	-0.314693643619	-300.0	0.581184167057	0.586081472108	0.0324231559508	0.44134557319	0.445404469172	0.0229729917833	-0.0688672554522	-300.0	0.566104118294	0.563119253317	0.0483837603642	0.543279458918	0.537992428825	0.0337408722751	-0.201536825143	-40.3749710405	0.319355361586	0.319030962828	0.0302132232825	0.310496937733	0.309398654209	0.0207800956045	-0.393402521502	-300.0
E2F3	-0.9704539	7.6233014444	6.6528475444	0.00730251676589	0.00618482454969	0.00564748465842	0.00634641280126	0.00521402609998	0.00483559851493	-0.00212841193763	-300.0	0.556899092999	0.562217631773	0.0340095827035	0.426470127515	0.434961058262	0.0301047178694	-0.00449277596743	-300.0	0.488760513409	0.485398390225	0.0616940966295	0.487768153422	0.475303024832	0.0409417090224	-0.00361474259075	-88.7953170349	0.312947583724	0.311747031228	0.0561930702238	0.308499130746	0.306109313346	0.0385232001592	-0.0482806975974	-83.7734975221
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.0111336690587	0.00932695568607	0.00943682039704	0.0114528319764	0.00965264666849	0.0106578614115	0.0137939796373	-300.0	0.549950894414	0.553553007133	0.0313834459267	0.42593858638	0.427603911602	0.0276061685023	-0.0184501178842	-300.0	0.476667637172	0.47411934357	0.0596514436373	0.458321695674	0.452314930502	0.0428803114981	-0.112895907669	-50.2933995186	0.286058789865	0.285376546902	0.0215021817327	0.280236205323	0.280354546116	0.0192173348415	-0.16319260968	-153.103157825
