METHOD	protection	tc	fos	flr
Boyle	37	59	50	23
Centipede_80	57	62	43	56
Centipede_85	53	59	62	39
Cuellar_90	69	82	46	46
Cuellar_80	61	84	69	60
Cuellar_95	61	90	48	65
Cuellar_99	65	60	66	73
Centipede_90	67	59	37	25
Dnase2Tf	34	50	39	37
Cuellar_85	63	67	62	62
HINT	38	45	44	39
Centipede_99	52	56	51	52
FS	101	80	77	68
Centipede_95	41	52	50	19
Neph	39	47	41	15
FLR_99	43	45	55	51
FLR_90	33	55	42	36
FLR_95	44	40	54	44
FLR_85	49	50	49	21
HINTBCN	38	52	45	36
HINTBC	19	35	35	34
FLR_80	51	53	53	46
Wellington	43	45	44	41
PIQ_85	43	52	38	35
Protection	72	94	67	58
TC	56	56	45	46
PWM	69	97	54	38
PIQ_80	49	56	39	52
PIQ_99	47	52	50	44
PIQ_95	52	59	47	36
PIQ_90	46	61	35	45
