"","FACTOR","EXPR_FOLDCHANGE","EXPR_H1hesc","EXPR_K562","Boyle_flr_ks_stat","Boyle_fos_ks_stat","Boyle_tc_ks_stat","Centipede_90_flr_ks_stat","Centipede_90_fos_ks_stat","Centipede_90_tc_ks_stat","Cuellar_90_flr_ks_stat","Cuellar_90_fos_ks_stat","Cuellar_90_tc_ks_stat","Dnase2Tf_flr_ks_stat","Dnase2Tf_fos_ks_stat","Dnase2Tf_tc_ks_stat","FLR_90_flr_ks_stat","FLR_90_fos_ks_stat","FLR_90_tc_ks_stat","FS_flr_ks_stat","FS_fos_ks_stat","FS_tc_ks_stat","HINTBCN_flr_ks_stat","HINTBCN_fos_ks_stat","HINTBCN_tc_ks_stat","HINTBC_flr_ks_stat","HINTBC_fos_ks_stat","HINTBC_tc_ks_stat","HINT_flr_ks_stat","HINT_fos_ks_stat","HINT_tc_ks_stat","Neph_flr_ks_stat","Neph_fos_ks_stat","Neph_tc_ks_stat","PIQ_90_flr_ks_stat","PIQ_90_fos_ks_stat","PIQ_90_tc_ks_stat","PWM_flr_ks_stat","PWM_fos_ks_stat","PWM_tc_ks_stat","TC_flr_ks_stat","TC_fos_ks_stat","TC_tc_ks_stat","Wellington_flr_ks_stat","Wellington_fos_ks_stat","Wellington_tc_ks_stat"
"1","MYCN",-5.5083089259,9.2460594444,3.7377505185,-0.642773893117,-0.481013695356,-0.586394557823,-0.450634408037,-0.416190822512,0.0068322274029,-0.200104206319,-0.302116864213,-0.163044850302,-0.720596566121,-0.347026140941,0.134126455205,-0.707313135729,-0.259892572659,-0.17654917672,-0.336041540291,0.00520317809188,0.0275313115215,-0.714749944922,-0.32086364285,-0.553771289538,-0.746399364422,-0.290207288931,-0.290207288931,-0.718418590057,-0.451452735423,-0.078269700913,-0.714458549709,-0.45656316709,-0.136126700974,-0.683810829313,-0.49039619131,-0.117895413915,-0.63121422911,-0.187494599041,0.0379665097953,-0.533187900343,-0.0890029325513,-0.0305029124621,-0.423935435296,-0.429152805143,-0.150588714132
"2","PBX1",-5.4704016931,10.0427314444,4.5723297513,-0.714600372114,-0.456386934855,-0.574193548387,-0.436999666323,-0.573037570547,-0.600008273783,-0.141827311914,-0.331204561654,-0.333131868132,-0.713582812927,-0.595751242293,-0.401071347497,-0.700582873788,-0.555517128397,-0.429233033938,-0.438837471179,0.000175070028011,-0.286537095438,-0.734317886639,-0.586285051162,-0.57602739726,-0.740783410138,-0.57143326719,-0.57143326719,-0.711070597011,-0.573571805025,-0.475191870301,-0.707662977967,-0.580888704802,-0.489271218373,-0.693317789415,-0.520845258538,-0.486102396339,-0.282266878195,-0.446949486712,-0.217763785537,-0.622379206199,-0.0733050847458,-0.502363021558,-0.430725981868,-0.547346113682,-0.484529924834
"3","TCF7L1",-3.9938700212,9.0248868889,5.0310168677,-0.671547493612,-0.411143894374,-0.376208884212,-0.412867127521,-0.402979459548,-0.37278670171,-0.243325349962,-0.261021745174,-0.394565322651,-0.701573440885,-0.458780140824,-0.428560511251,-0.693058775006,-0.386934583635,-0.398838684763,-0.226873733217,0.00134901095096,-0.206952471651,-0.699029146848,-0.439307327769,-0.460501745866,-0.733308973885,-0.416925381352,-0.416925381352,-0.699812359657,-0.505511717024,-0.444410816191,-0.69723329837,-0.509453997401,-0.474021884523,-0.668064036193,-0.362869283691,-0.464821912627,-0.720963058481,-0.247344376738,0.057736956358,-0.44545339286,-0.0860177865613,-0.509666711554,-0.388098843772,-0.492004453202,-0.485070839659
"4","TP53",-3.9536696865,9.9692148611,6.0155451746,-0.589313141744,-0.338591577729,-0.595718083982,-0.29322776304,-0.426418162092,-0.0503005647538,-0.0862167033449,-0.19890144523,0.102318500558,-0.629482977769,-0.38781355725,-0.061311221205,-0.615008596432,-0.327660760125,-0.0826812751073,-0.209661440919,0.000220264317181,0.353029575274,-0.589689199127,-0.369747244813,-0.585474889459,-0.732611102723,-0.353920478113,-0.353920478113,-0.626370033303,-0.434615907719,-0.0101375047897,-0.621495730469,-0.442305096689,-0.0464792167612,-0.596423291333,-0.465096481271,-0.0440473776155,-0.290351065351,-0.356793748245,-0.204732533789,-0.501588441522,-0.0361076188081,-0.31410108897,-0.275443771058,-0.411348071141,0.00198737164741
"5","ETS1",-3.5009108624,6.8488314444,3.347920582,-0.542484406785,-0.315871920547,-0.551923190155,-0.305704263829,-0.364333908069,-0.199174942352,-0.130192456474,-0.171363944958,-0.138366448832,-0.633603937438,-0.391214335979,-0.125582865824,-0.621457739072,-0.325282673455,-0.258241111844,-0.136812840199,0.00149981544856,0.294416568898,-0.582823777322,-0.374045377442,-0.550501395687,-0.737871090983,-0.352551387669,-0.352551387669,-0.6315160898,-0.409388071053,-0.113891051218,-0.627949695641,-0.413970655695,-0.161676893863,-0.601002657889,-0.381808369313,-0.143380936731,-0.384246856019,-0.319796582392,0.103720824394,-0.31755317298,-0.118205340314,-0.18656808903,-0.292784029131,-0.385761562885,-0.157836344127
"6","TCF7L2",-3.3969730503,8.5839345,5.1869614497,-0.526354873968,-0.409010873876,-0.461015680708,-0.302548519061,-0.39484040167,-0.402777797846,-0.105079435282,-0.2996841095,-0.396270633438,-0.640079067371,-0.509505070513,-0.439616142438,-0.62157449005,-0.480021334241,-0.439590277448,-0.215185335646,0.00137749423889,-0.347413520711,-0.530767358978,-0.50182346581,-0.47335251911,-0.723410781882,-0.492581114276,-0.492581114276,-0.636531979519,-0.413625121113,-0.450251636639,-0.631201631234,-0.419612703647,-0.463890808612,-0.594787188029,-0.379861751152,-0.464366816557,-0.487396474835,-0.374683085719,-0.130105383395,-0.474843017034,-0.103685897436,-0.434893763329,-0.30972431857,-0.374281719903,-0.462652013598
"7","AR",-2.8208135212,6.4303512778,3.6095377566,-0.459142980798,-0.25310268057,-0.410791168026,-0.213476953319,-0.413134983918,0.126770416661,-0.0649775784753,-0.140921846141,-0.153782207725,-0.564497824725,-0.337633254622,-0.450503112938,-0.542262446434,-0.310907535896,-0.461341025133,-0.213278418606,0.0012482168331,-0.196398373047,-0.518540437076,-0.331143174973,-0.254156377115,-0.713989980846,-0.32410649822,-0.32410649822,-0.560424245799,-0.406253216316,-0.269524772549,-0.553105826451,-0.417875044908,-0.271458702644,-0.54377594022,-0.410224197913,-0.276080459762,-0.296388745926,-0.26019701504,0.204405036055,-0.439007761766,-0.181821954762,-0.154698256713,-0.207472160643,-0.370553141659,-0.224133948532
"8","SRY",-2.631585418,4.77859,2.147004582,-0.567516322189,-0.331991363852,-0.52813650797,-0.216926676935,-0.493416472648,0.0222657431955,-0.0223019624864,-0.218483220701,0.0810763105033,-0.57150041309,-0.442547737036,0.24836898607,-0.560819435558,-0.428046320954,0.0399433868484,-0.215428479572,0.000484261501211,-0.22124277763,-0.503305277947,-0.439403278099,-0.528533319674,-0.665756808727,-0.432844422734,-0.432844422734,-0.568679470118,-0.484373007021,0.156302288677,-0.565560225836,-0.489718932518,0.224450326861,-0.55980714055,-0.511787743818,0.194493314146,-0.145815941165,-0.293506216424,-0.0838096259595,-0.445026311231,-0.117713526088,0.225973380299,-0.190246686041,-0.462237150729,0.285689057941
"9","TFAP2C",-2.4588811349,5.9932067222,3.5343255873,-0.365346582598,-0.112895049105,-0.363136973728,-0.172136947356,-0.323896669704,-0.499086084168,-0.0292752784113,-0.0147783783089,-0.470596774423,-0.501309461184,-0.357572128909,-0.506924847707,-0.492103398241,-0.287989570044,-0.43799784625,-0.00817140418216,0.00265620801134,-0.324624841722,-0.52191338056,-0.338768254648,-0.261545059133,-0.684073893956,-0.315808322828,-0.315808322828,-0.499025645667,-0.358317140055,-0.4564407981,-0.496453585675,-0.361809216597,-0.482820817556,-0.464850592263,-0.158932413384,-0.470592279272,-0.508149736437,-0.238129203456,-0.147542266166,-0.188190284853,-0.0463835004639,-0.366305327667,-0.155487331054,-0.347178602148,-0.493310267761
"10","ZNF354C",-2.2219494577,4.5824435,2.3604940423,-0.363340863146,-0.172062620176,-0.529064160882,-0.211514064034,-0.367128447151,-0.173328229249,-0.0576527711404,-0.0904689515449,0.00842975987473,-0.527470401634,-0.331751374094,-0.338589053795,-0.510985678207,-0.291933845519,-0.207305458577,-0.113075904921,0.00177019435182,-0.294306207582,-0.492939896912,-0.319849164713,-0.527073104664,-0.678257910381,-0.305309451636,-0.305309451636,-0.524287869478,-0.382779123316,-0.271901065552,-0.519562544271,-0.386652124711,-0.285982603129,-0.486144860021,-0.216269218701,-0.290936856871,-0.347124263357,-0.250606768462,-0.180452066069,-0.307231829859,-0.0105118326912,-0.352238837513,-0.191843314133,-0.365468581936,-0.253861059451
"11","FOXO1",-2.201485627,8.8310241667,6.6295385397,-0.447766257388,-0.234610419911,-0.516383204274,-0.186292864519,-0.345255327929,-0.0339828886182,-0.0810790356373,-0.149666084436,0.14010007293,-0.50312331539,-0.410684428868,0.205775290482,-0.484316480201,-0.390117701204,-0.0432254447952,-0.143761036733,0.000783689956675,0.0626240099091,-0.486888715929,-0.405667803241,-0.519549930666,-0.692297544968,-0.400853844568,-0.400853844568,-0.499907159837,-0.370357153745,0.195061422614,-0.495204548918,-0.37580946021,0.154846312703,-0.474107391542,-0.417306953515,0.169714286257,-0.408263331179,-0.304373866754,0.0986555287658,-0.329186249645,-0.0681487876826,-0.194773931307,-0.176350836748,-0.339910260886,0.149809032531
"12","NR5A2",-2.0764958254,5.4651116667,3.3886158413,-0.369971774933,-0.0941320633886,-0.116809119198,-0.189427713746,-0.200992668963,-0.479802574987,-0.0324447236486,-4.15388458375e-05,0.0390724880649,-0.492593371863,-0.219918340264,-0.416394629209,-0.479420481914,-0.176459922618,-0.354802951402,-0.0794952268388,0.00313938712411,-0.188737678277,-0.443839107171,-0.208259102175,0.107263257319,-0.68745561837,-0.192385671525,-0.192385671525,-0.489600050612,-0.236267634887,-0.0345216697541,-0.485918814626,-0.242653140362,-0.0997494607762,-0.455197251918,-0.211505283589,-0.0845190539541,-0.43950135201,-0.282423618921,-0.190020847065,-0.254771740588,-0.0421522415004,0.0828172332758,-0.183515103125,-0.214826995335,-0.0974149982507
