FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Centipede_85_H1hesc_protection_mean	Centipede_85_H1hesc_protection_median	Centipede_85_H1hesc_protection_std	Centipede_85_K562_protection_mean	Centipede_85_K562_protection_median	Centipede_85_K562_protection_std	Centipede_85_protection_ks_stat	Centipede_85_protection_ks_pvalue	Centipede_85_H1hesc_tc_mean	Centipede_85_H1hesc_tc_median	Centipede_85_H1hesc_tc_std	Centipede_85_K562_tc_mean	Centipede_85_K562_tc_median	Centipede_85_K562_tc_std	Centipede_85_tc_ks_stat	Centipede_85_tc_ks_pvalue	Centipede_85_H1hesc_fos_mean	Centipede_85_H1hesc_fos_median	Centipede_85_H1hesc_fos_std	Centipede_85_K562_fos_mean	Centipede_85_K562_fos_median	Centipede_85_K562_fos_std	Centipede_85_fos_ks_stat	Centipede_85_fos_ks_pvalue	Centipede_85_H1hesc_flr_mean	Centipede_85_H1hesc_flr_median	Centipede_85_H1hesc_flr_std	Centipede_85_K562_flr_mean	Centipede_85_K562_flr_median	Centipede_85_K562_flr_std	Centipede_85_flr_ks_stat	Centipede_85_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.418040402221	0.428655834564	0.0585281842509	0.328849914537	0.337474150664	0.0362151879435	-0.13470504542	-300.0	0.649125668777	0.657819695018	0.0727927183312	0.581973212647	0.600345463651	0.0369780599971	-0.0763185601385	-300.0	0.391216744573	0.386861732645	0.0493713068321	0.373080569105	0.364314400459	0.0247636188437	-0.267307077868	-300.0	0.591348923744	0.589279086669	0.0512993136929	0.534972411391	0.536302625293	0.048377249774	-0.633173963804	-143.602347782
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.45357558306	0.464528808191	0.0881974174	0.310180355245	0.316733121397	0.0566466404147	-0.187445144056	-300.0	0.695591202003	0.703328013001	0.0549301040768	0.610735098808	0.624491545777	0.0291432401109	-0.430415152828	-300.0	0.305241370917	0.302222001293	0.0440432195076	0.284891559838	0.277607189372	0.0211400123992	-0.32451720911	-279.130426296	0.240935348391	0.236707054722	0.0693831230569	0.219905682471	0.215477392657	0.0555461729606	-0.324442829457	-21.7600227218
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.399701776108	0.373027666108	0.0889578352162	0.261002673959	0.244640747648	0.0528492385325	-0.225508693177	-300.0	0.703752303993	0.71110033168	0.056907027008	0.617115314011	0.6303589475	0.0286450143603	-0.382520012171	-300.0	0.246564656194	0.244314567465	0.0371115301261	0.240705168319	0.234011176751	0.0156802567305	-0.178501467155	-300.0	0.296524697102	0.2969952789	0.0254191895433	0.277172933314	0.277591475911	0.0158986339918	-0.725466340318	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.449882504831	0.481420723004	0.094611098515	0.272303899506	0.296463802846	0.0576620939706	-0.245027652971	-300.0	0.611433196026	0.628691498471	0.031436548757	0.655023377602	0.663169683959	0.0656250513005	0.0249973959315	-170.669313603	0.277704364959	0.272533391992	0.0764901782507	0.276799348739	0.265099801519	0.0328987833236	-0.0536265697488	-80.1564879782	0.341211314866	0.340372208619	0.0569181219343	0.326881125974	0.319791280668	0.0539116553118	-0.298830784338	-32.5769654501
ETS1	-3.5009108624	6.8488314444	3.347920582	0.300202439658	0.284135589153	0.0647664212531	0.422516678313	0.402070736274	0.104250791449	0.00372082439364	-300.0	0.665712178865	0.673887644255	0.0619104582159	0.610580216467	0.626002977037	0.0307938329949	-0.0549210029571	-300.0	0.362255202565	0.358694591507	0.0501584934233	0.35261518855	0.344074885904	0.0229854795307	-0.168707939732	-300.0	0.43962216733	0.438833233082	0.0497996774485	0.413904812181	0.41362190873	0.04384766338	-0.36416233247	-116.205685422
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.388366334591	0.403980689599	0.106934391563	0.207184483435	0.218715651928	0.0660722101272	-0.19379201934	-300.0	0.720154733945	0.727020776408	0.0505522919211	0.630296766698	0.640558808139	0.0266006971296	-0.449972205318	-300.0	0.309721446143	0.30701052155	0.0428349648083	0.29825072846	0.292975321704	0.0205484098687	-0.176395983682	-245.113420654	0.205930608085	0.205092310217	0.064906579245	0.197299280119	0.193743904554	0.0481166017037	-0.504290429043	-70.5252416367
AR	-2.8208135212	6.4303512778	3.6095377566	0.377030982552	0.368721629536	0.0752795836214	0.23532911933	0.227363806721	0.0458694231112	-0.238463151034	-300.0	0.689351156259	0.696839489013	0.0526482370363	0.625610792253	0.637486175763	0.0269396411016	-0.241054974173	-300.0	0.181804660994	0.17869707755	0.0428878453181	0.181005093442	0.175861632104	0.0206885476365	-0.0111349606483	-41.1975160331	0.40101983721	0.398017479776	0.0595134317447	0.374958105553	0.378549337193	0.0456152004758	-0.300649350649	-30.9942568281
SRY	-2.631585418	4.77859	2.147004582	0.213194311071	0.200290460721	0.0649354301036	0.339894449151	0.31998175131	0.102927947323	0.0548633889383	-300.0	0.631104825463	0.643428726536	0.0250765516415	0.662497091772	0.669308605202	0.0511881603879	0.0648216622625	-201.750976046	0.484208985467	0.480536966013	0.0701673135019	0.466883823368	0.461052993888	0.0303255687399	-0.150761182625	-110.815531213	0.456525803683	0.464250552229	0.072990696717	0.438397236912	0.44530717625	0.0606615450192	-0.180633705378	-15.5390067455
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.455046469714	0.473331182836	0.0888361628449	0.303979842634	0.315562253301	0.0525410510766	-0.163856532803	-300.0	0.749313972707	0.755752503969	0.0569191784816	0.630904626996	0.645117878409	0.0278418098608	-0.464263931506	-300.0	0.28342107908	0.280962861751	0.0366039795205	0.279878192905	0.273204639778	0.0156973101307	-0.131427254203	-300.0	0.2838849215	0.283893303924	0.0383589035459	0.274583222348	0.272918743971	0.0201772721278	-0.527312378134	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.227228900737	0.240757852836	0.0726134501251	0.336691115226	0.35264603433	0.118670075553	0.191308210052	-300.0	0.700046570715	0.707224160346	0.0572773402261	0.628917372575	0.642996961179	0.0259083042972	-0.250759135058	-300.0	0.258707423795	0.256099033717	0.0457035368024	0.257854679636	0.252176817488	0.0198674605313	-0.0289568792436	-97.9464934118	0.249179716904	0.248634711625	0.0282463823405	0.238998309439	0.239730777093	0.0148164786471	-0.467641572726	-192.482778313
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.399161595751	0.386203677663	0.094425373433	0.270327371482	0.258261576858	0.0576726133317	-0.0381701119784	-300.0	0.629841897893	0.642188811027	0.0257002169184	0.657212716632	0.664624978798	0.0545936465939	0.16454270618	-243.104351241	0.352321054208	0.347093241099	0.0786808199214	0.351063836648	0.341969012097	0.0363884581365	-0.00556568239944	-84.9132863144	0.265273799259	0.265117355015	0.0373767001017	0.25765269038	0.256032044705	0.0205862057664	-0.424119241192	-83.251670649
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.42690559047	0.432714535881	0.087693181639	0.287559475164	0.2937338458	0.0520629209749	-0.12806268446	-300.0	0.629380128365	0.642762958724	0.0283340213217	0.669413561504	0.6771820237	0.0566195974779	0.0681895810111	-300.0	0.360274263882	0.357588073783	0.0460505345795	0.3588833939	0.35160791179	0.0202545965426	-0.0578737751037	-199.059817516	0.311284144132	0.311790847477	0.0309264354688	0.302446885491	0.301681337417	0.0203168561975	-0.543084603457	-153.143208788
FLII	-1.1177311693	8.8445722222	7.7268410529	0.384683771672	0.33426052761	0.108503330881	0.200615545675	0.171364074707	0.0556635459172	-0.148937532619	-300.0	0.589158531515	0.596590805165	0.0283776885699	0.610622832831	0.621923851802	0.0561068669103	0.0473544404788	-300.0	0.41056196427	0.402746578381	0.057079902422	0.39767598224	0.394429153578	0.0260463180975	-0.00561950928345	-87.1860285373	0.577953659949	0.575161503624	0.069007295194	0.568102894409	0.568465731601	0.033146281218	-0.0527481571602	-5.77517438801
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.364583732938	0.365835652637	0.0951792936893	0.220653632697	0.219076242205	0.0567216429725	-0.115660640749	-300.0	0.727421461077	0.734205938274	0.0525474815927	0.645446911549	0.657672873347	0.0237095805759	-0.338917683532	-300.0	0.20598718514	0.202649297327	0.0233679334419	0.210293291134	0.204776640904	0.050163444602	0.0499764782514	-23.3882397934	0.566164922965	0.56318637688	0.0473827264319	0.556910839057	0.555030538308	0.0461533251899	-0.16693881566	-18.1228946775
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.282151834555	0.269661222551	0.0663739245382	0.165797937536	0.157824760516	0.0397818653532	-0.156785262145	-300.0	0.597135085312	0.618354210691	0.0836657548588	0.548711178667	0.556923950842	0.0365794818273	-0.0834504157141	-189.58589799	0.582598545444	0.577750806392	0.0403162538652	0.595508271565	0.585301950523	0.0888153776451	0.0227903770925	-16.8355028856	0.75579557653	0.755877690352	0.0786040265029	0.740391722031	0.743969168997	0.052189070793	-0.0505695301376	-3.3747585845
EGR2	-0.9853411587	4.5985511111	3.6132099524	0.468471403935	0.464966113195	0.0998648321712	0.339446174941	0.336174005397	0.0572746887074	-0.0312158751483	-300.0	0.748656041876	0.754781519431	0.068668604535	0.62341875281	0.64041868183	0.0306332152099	-0.364344083825	-300.0	0.379216708132	0.373527834021	0.0270051309946	0.390983396666	0.374058119543	0.0661421569442	0.0446039909169	-300.0	0.221709674329	0.221379657822	0.0236072735779	0.218800236643	0.218443632744	0.0193425188939	-0.108420576683	-71.3142594523
REST	-0.9317503519	8.5147308333	7.5829804815	0.235604473563	0.224319309166	0.0892821426239	0.427610166011	0.404099236157	0.157811333776	0.151597264795	-300.0	0.611960176051	0.61954193449	0.0312115630897	0.626794942065	0.643192587	0.0657118070973	0.0834314201069	-300.0	0.473784353156	0.469723734447	0.024444002458	0.482330564773	0.471399015522	0.0589747789161	0.0378037180267	-143.252924128	0.630729535721	0.62937483196	0.0548384778743	0.617721118517	0.621763383329	0.0414050489461	-0.0887766803865	-23.3999944388
RFX5	-0.9070030291	7.3384705	6.4314674709	0.484332904891	0.480606177853	0.103078775894	0.315801142299	0.315241037318	0.0578381803451	-0.0117303374338	-300.0	0.724693848872	0.731906188896	0.0635233127427	0.635483579375	0.652441162035	0.028784308131	-0.258243776264	-300.0	0.312544505168	0.308620006778	0.0237412110374	0.324296879378	0.313052921863	0.0580075926831	0.0290419027859	-115.621083912	0.165254723357	0.163922495954	0.0198246736233	0.165336029717	0.165498757621	0.0388477305912	0.0016263289741	-6.57379740243
SOX3	-0.8815224709	7.0991445556	6.2176220847	0.327195425421	0.302045035147	0.0977926456304	0.196958620852	0.18347978879	0.0579224062935	-0.0194257158074	-300.0	0.695266826638	0.702669355423	0.0533915222492	0.643637378521	0.655633003722	0.0258253510906	-0.0469759007579	-300.0	0.301814810248	0.297694728815	0.0261288608806	0.302522376542	0.298428471916	0.0567779372246	0.028913579062	-62.795125972	0.725046760534	0.72710646748	0.061980945075	0.71354364386	0.718146024353	0.0599645735089	-0.0662410482311	-8.81393660051
FOXD3	-0.6445018836	6.6675806667	6.0230787831	0.424300984827	0.405266816114	0.123163316471	0.29051967718	0.276289891481	0.0738987674981	-0.0513231570163	-300.0	0.651482283545	0.662339443311	0.0244250158801	0.66914089175	0.675740901401	0.0503522599639	0.285334325101	-157.215639064	0.441498174418	0.437506946404	0.0224491955952	0.443176629029	0.438726590007	0.0434597196218	0.0119893984485	-44.9955682646	0.311425103855	0.312926326196	0.0205643111801	0.313261417257	0.313459966525	0.0294036498742	0.0269355107837	-10.6091504264
HNF4G	-0.6026098016	2.9244216111	2.3218118095	0.307522438945	0.290838081387	0.0747491722892	0.150012132914	0.136372097945	0.043328708488	-0.190596765024	-300.0	0.638575285407	0.65169959249	0.0254888803449	0.658194619828	0.664861076733	0.0560789846226	0.298885572179	-52.4885430368	0.382417465887	0.37862394823	0.0224792404277	0.389082242375	0.381850336694	0.051846816391	0.0350542115478	-20.6014910176	0.560626146998	0.559615057415	0.072796877028	0.548014819617	0.549829674839	0.0623280502715	-0.0893593976426	-6.27712595962
SOX9	-0.5931329762	6.5152251667	5.9220921905	0.310978007423	0.295026567807	0.0775879519818	0.186303583456	0.174291654623	0.046212577057	-0.122433046561	-300.0	0.6457392759	0.6578566267	0.0267884229414	0.69397323725	0.701961738862	0.0549704176956	0.00498603056947	-252.830161438	0.354601524166	0.351344742664	0.0235094985959	0.359088623619	0.351376401173	0.0602703903587	0.0289916575776	-23.7993856076	0.436698236591	0.429428091938	0.0794812254973	0.438166742043	0.438090260204	0.0799176167298	0.0245028722934	-1.11105646196
NKX3-1	-0.5837772725	5.3454291667	4.7616518942	0.135668041734	0.109391565087	0.0678623554947	0.263004983516	0.215826924993	0.112502361533	0.0427776384633	-300.0	0.631605478825	0.645003713406	0.0570104794478	0.59735800768	0.604609613455	0.0271604493342	-0.0872810138886	-264.986230158	0.34065577873	0.337381426461	0.0247683063204	0.344402766763	0.338171535207	0.0505869795583	0.0509421281496	-13.9631302749	0.560520545376	0.558012291943	0.0389769586458	0.560644726911	0.559658799693	0.0671860977775	0.0383856729045	-0.846089338814
INSM1	-0.5296980979	6.7003285	6.1706304021	0.40839028191	0.385245107834	0.107578980275	0.244270693415	0.231523544869	0.062047992044	-0.0878006883891	-300.0	0.775448364836	0.781738116338	0.0588041825816	0.642652026723	0.657906487308	0.0266909126479	-0.422893847998	-300.0	0.304380437218	0.299730089738	0.0270627189727	0.317687658349	0.301641751002	0.0697987805663	0.0486032383893	-118.098930609	0.146793767329	0.144425658001	0.0215366742243	0.147122154409	0.145275576149	0.0345969340822	0.0318372638597	-7.04878752868
ERG	-0.4811139683	3.9203937778	3.4392798095	0.292325436359	0.275830021933	0.0668576493886	0.433776936699	0.410760248172	0.113126901232	0.144078391935	-300.0	0.630565808625	0.645315779031	0.0288231039579	0.649563111187	0.657264790014	0.0616150821219	0.346671333315	-300.0	0.352170901116	0.349146645009	0.0219480834982	0.361398198535	0.353904716902	0.0492304342595	0.0269295829543	-212.769020342	0.186380202216	0.185550448157	0.0162461811317	0.186962806041	0.185982033171	0.0408758755495	0.039783657687	-5.50282787729
STAT1	-0.4733130873	8.6787737222	8.2054606349	0.344601570325	0.322608465526	0.0906960141157	0.185800644979	0.167348949897	0.0532248808721	-0.113712459764	-300.0	0.744563884918	0.750868285145	0.0505828712801	0.64484633291	0.657266095961	0.0235609028309	-0.3633183561	-300.0	0.327502348672	0.318648581903	0.0637362894404	0.310234118376	0.305743824461	0.0282273422005	-0.0295272103449	-119.509158882	0.119717823551	0.118876266587	0.0179571177015	0.122074652344	0.120053373684	0.0412144557472	0.00576733162157	-4.56633587553
USF1	-0.4081315146	7.4895785833	7.0814470688	0.433528679846	0.43330621372	0.0704235863538	0.308080757559	0.310501306312	0.0393504064845	-0.0882871008043	-300.0	0.574681323908	0.585946232013	0.0385249266689	0.602034983301	0.624868818814	0.0818936853924	0.0241317292168	-300.0	0.325514981837	0.307505572779	0.0843533873709	0.298987359527	0.292757219685	0.0341616820799	-0.0262463641057	-124.444035175	0.538200185691	0.534588456028	0.0492538319664	0.531998491616	0.531323119101	0.0433497227331	-0.00261455253115	-6.75431896761
EGR1	-0.3866965344	8.4510034444	8.0643069101	0.394630549023	0.386795674466	0.068322577596	0.545619715277	0.535121643649	0.117666754973	0.0455983911332	-300.0	0.743125352084	0.748293868975	0.0693207329088	0.623728885941	0.639775328657	0.0301735193941	-0.312182675774	-300.0	0.329357365946	0.323838125895	0.0278573822251	0.347032079796	0.330216654388	0.068869805273	0.028027023249	-300.0	0.24904527442	0.249557711302	0.0174331622461	0.2504560823	0.25019327956	0.0259552593962	0.0232824706334	-17.6632662605
CTCF	-0.3682107037	8.924475	8.5562642963	0.324042886325	0.316409521491	0.0825972876192	0.488454855078	0.473240869549	0.138731343661	0.212561105655	-300.0	0.74047467214	0.747055064089	0.056281983272	0.648235706346	0.663257777508	0.0252997697284	-0.309353559063	-300.0	0.356805271933	0.353255418221	0.0216484489752	0.364998503523	0.357037611092	0.0475745795916	0.0427869776552	-300.0	0.264858835357	0.26365035569	0.0198345303632	0.265027335877	0.264089575639	0.0332740709286	0.0414542143352	-16.35008513
MAFB	-0.3502367328	5.0393535	4.6891167672	0.436358956574	0.441503843454	0.102708087896	0.247246102403	0.259274490385	0.0522508807558	-0.092334469634	-300.0	0.696039718272	0.70357072313	0.0635763226643	0.635694101338	0.651664179694	0.0291360880567	-0.0247084286642	-300.0	0.371193876797	0.353199473796	0.0710003393442	0.335451165986	0.332196402255	0.0231293361748	-0.161704581219	-300.0	0.625274781301	0.630058307177	0.0394433571315	0.630834969926	0.631687206724	0.0526995037473	0.032901033714	-3.54091598966
E2F1	-0.3329436296	7.4081001111	7.0751564815	0.484794612343	0.462900502838	0.0749956019384	0.342900680017	0.330561079411	0.0425634782197	-0.120601550307	-300.0	0.715164407697	0.719276909889	0.0725171148564	0.613393891109	0.62786565373	0.0302506561133	-0.19374731626	-300.0	0.280791000315	0.266150497422	0.071463124201	0.258867316518	0.254392886192	0.0290646783792	-0.0174778655531	-279.130328863	0.425818690843	0.426641321976	0.0361520556915	0.428232326532	0.427203469451	0.0473679859808	0.0458265447599	-2.3663817512
STAT4	-0.3171848783	2.786079	2.4688941217	0.454492963112	0.480431806547	0.109471074688	0.272229073347	0.291173056343	0.0640812006069	-0.0919196377252	-300.0	0.745323697567	0.751483354212	0.0479968686185	0.653172134189	0.663907839315	0.0225637200797	-0.36457397216	-300.0	0.323161558104	0.315716647698	0.0539689858951	0.310549176539	0.30738750322	0.0221854895298	-0.0136983432216	-69.0258014865	0.366125722101	0.363200563082	0.0617380281413	0.36391252852	0.361094241727	0.046488364	-0.00179744210162	-4.57322275622
MAFK	-0.2998918466	6.9924892222	6.6925973757	0.421772806333	0.419849445183	0.106680094201	0.20369527535	0.208284354327	0.0579358330877	-0.126679008273	-300.0	0.694390741225	0.70138668255	0.0513898538637	0.64054834864	0.65169905516	0.0243310125457	-0.071476139405	-300.0	0.301863112299	0.29399776874	0.0492626685338	0.285303729443	0.28277946257	0.0199070860312	-0.0773073777553	-141.230461706	0.457872700732	0.459204797988	0.0420808939386	0.461163051774	0.459554247772	0.0532896735262	0.0298302434666	-2.24955188154
NFYA	-0.2796747566	8.3467323333	8.0670575767	0.316362594602	0.328838991029	0.0679932741643	0.507429018989	0.516952552398	0.135543176441	0.0486031057184	-300.0	0.717212693705	0.724726841601	0.0967817698276	0.590079175653	0.621966698737	0.0382576092536	-0.117703750301	-300.0	0.357958980314	0.33293482027	0.104474477539	0.299628853072	0.292439039226	0.0348292249597	-0.172969996648	-300.0	0.659260117598	0.670705918196	0.0783623919243	0.66497613503	0.671587723353	0.0787147684255	0.00552113085153	-1.57846269867
GABPA	-0.261986254	8.661842	8.399855746	0.468101036726	0.449254449934	0.0710354929084	0.311342603557	0.298757222582	0.0399187702282	-0.180599016852	-300.0	0.58757108432	0.599659291495	0.0363053484646	0.607394441757	0.613352588854	0.080578024647	0.317338819883	-197.125510382	0.313923681318	0.298766155802	0.0709997655708	0.292557510603	0.28734023563	0.0286539747866	-0.0208859897554	-190.353898628	0.559866997099	0.567220070443	0.0585781684184	0.562432009483	0.567236534604	0.0634365313845	0.0517413915373	-1.28934625618
YY1	-0.2405441005	9.2155432222	8.9749991217	0.502062173999	0.495445349712	0.0873335057847	0.357679186378	0.354598079985	0.0483389237345	-0.0722624129012	-300.0	0.746103553261	0.753125323792	0.0597142710878	0.639816136327	0.654527333431	0.0277514943238	-0.321060353852	-300.0	0.266228290365	0.262367478591	0.0227062233251	0.279612849674	0.270137963867	0.0525655499802	0.00374476714258	-98.158587688	0.543481524409	0.544039208851	0.0392415669706	0.543847894541	0.544191157545	0.0494079582017	0.0734888073923	-1.67068731
KLF4	-0.2292124233	4.3891591111	4.1599466878	0.496230029836	0.473378977676	0.113191483776	0.354133016173	0.338895286082	0.0632273366329	-0.0138708689687	-300.0	0.737225647278	0.74228875662	0.0750421844438	0.612729279497	0.628764529107	0.0327717861518	-0.267776902624	-300.0	0.452203767813	0.426933891186	0.0792016789646	0.420309770567	0.413390713773	0.0293490507188	-0.0282565697055	-300.0	0.216028781819	0.215935494263	0.0198128704989	0.216561530481	0.216247421352	0.0227938888497	0.0556562872583	-8.80947912416
SRF	-0.2054848492	8.3513662778	8.1458814286	0.458884669661	0.471400052701	0.131618136708	0.254321135492	0.259280425779	0.0778113088852	-0.00165694381193	-300.0	0.754610168413	0.76195191329	0.0519674892227	0.651949955427	0.665264916306	0.024985543054	-0.361858763547	-300.0	0.313182654901	0.305734707623	0.0445600279278	0.300179306913	0.297315728587	0.0188315375769	-0.0532423344285	-83.8688715454	0.629364928781	0.633533641856	0.0685087329901	0.639197409527	0.63448976918	0.0707076914958	0.0233551506863	-1.96577774623
STAT3	-0.2035441402	10.0107785	9.8072343598	0.277611900531	0.277084733073	0.0738514015501	0.467008996488	0.459807996567	0.141593642182	0.0354855616415	-300.0	0.615576482556	0.630046503185	0.0269780091429	0.632359322972	0.639622554449	0.0623258468723	0.312523582055	-79.2253006071	0.362838943632	0.346088365075	0.0731580240351	0.335934377344	0.331664211438	0.0283287837644	-0.062824280301	-109.876298579	0.559808588404	0.558120193006	0.0674724782306	0.554251369489	0.555526892173	0.0511358736355	-0.0227267830209	-2.23922829674
HOXA5	-0.2024921587	3.5496091111	3.3471169524	0.486513828139	0.5067663046	0.104303828536	0.309303490771	0.320074681823	0.0612480351135	-0.0245808726796	-300.0	0.72732308479	0.733919782732	0.0536470704166	0.648349751181	0.661593595476	0.0258877881709	-0.249259227091	-300.0	0.201066636307	0.197404933407	0.0257080420279	0.211531359319	0.202346490035	0.0557451339377	0.0354700367933	-80.2157351977	0.147423249377	0.1468520902	0.0394383702133	0.148580838027	0.146876032078	0.041797690364	0.0406660197371	-2.79083449033
SREBF2	-0.1732940608	9.1103612778	8.9370672169	0.460287181711	0.445302969916	0.0758362081349	0.342605548149	0.3327052349	0.0430955475451	-0.0810331202225	-300.0	0.708557939116	0.715729953679	0.0601495197117	0.640076578874	0.655374266804	0.0261502931923	-0.132387568456	-300.0	0.404454582102	0.400976375562	0.0250955865752	0.417513033056	0.408897360769	0.0574067267371	0.000305837131085	-64.9680145447	0.550384310402	0.549260568718	0.044421296055	0.551505035818	0.550802900979	0.0481918064931	0.0323791198722	-3.8169864716
HOXA9	-0.1727359074	3.0796356111	2.9068997037	0.330974035869	0.31102859802	0.0783415570024	0.154861642573	0.138251548562	0.0444999281306	-0.186532080403	-300.0	0.640452238747	0.653690558255	0.025262565908	0.655674444121	0.662833194009	0.0566153265811	0.350513498361	-35.0812089962	0.427029962641	0.418763676773	0.0560847208689	0.415621706211	0.412146000708	0.0246725882524	-0.00251378833743	-29.4020049234	0.675749629395	0.678127134485	0.0640448909778	0.680554649595	0.67913097637	0.0657803686773	0.0120270073668	-2.02248549224
FOSL2	-0.1563748122	5.7409766111	5.5846017989	0.371805743913	0.324069230764	0.108264233023	0.190105718393	0.164368409214	0.0547736105472	-0.109863136129	-300.0	0.761629575794	0.767660224104	0.0456260448761	0.644829504199	0.6540568208	0.0236302841406	-0.402986204247	-300.0	0.333338549636	0.326776501605	0.0470937272739	0.317921037691	0.314755142425	0.0240694348018	-0.0558759335266	-169.594598884	0.442175938123	0.438477546152	0.0540605580005	0.433990564794	0.435003599438	0.0527113607995	-0.0248992395335	-11.2713528903
