FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Cuellar_85_H1hesc_protection_mean	Cuellar_85_H1hesc_protection_median	Cuellar_85_H1hesc_protection_std	Cuellar_85_K562_protection_mean	Cuellar_85_K562_protection_median	Cuellar_85_K562_protection_std	Cuellar_85_protection_ks_stat	Cuellar_85_protection_ks_pvalue	Cuellar_85_H1hesc_tc_mean	Cuellar_85_H1hesc_tc_median	Cuellar_85_H1hesc_tc_std	Cuellar_85_K562_tc_mean	Cuellar_85_K562_tc_median	Cuellar_85_K562_tc_std	Cuellar_85_tc_ks_stat	Cuellar_85_tc_ks_pvalue	Cuellar_85_H1hesc_fos_mean	Cuellar_85_H1hesc_fos_median	Cuellar_85_H1hesc_fos_std	Cuellar_85_K562_fos_mean	Cuellar_85_K562_fos_median	Cuellar_85_K562_fos_std	Cuellar_85_fos_ks_stat	Cuellar_85_fos_ks_pvalue	Cuellar_85_H1hesc_flr_mean	Cuellar_85_H1hesc_flr_median	Cuellar_85_H1hesc_flr_std	Cuellar_85_K562_flr_mean	Cuellar_85_K562_flr_median	Cuellar_85_K562_flr_std	Cuellar_85_flr_ks_stat	Cuellar_85_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.175749964184	0.162401146698	0.0486710566625	0.217854346228	0.190515025702	0.082238730986	0.0594659470015	-165.093808561	0.633908009091	0.654762179673	0.0679836796994	0.597819003972	0.606442392962	0.0333671803964	-0.076387033264	-300.0	0.130266739438	0.104002039256	0.0877349112669	0.0658429183386	0.0518735661484	0.0435495083888	-0.0363931024178	-300.0	0.272295869696	0.275298048442	0.1245479276	0.257642148903	0.24887531239	0.0450782015988	-0.353958065896	-15.021269469
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.176001464512	0.143448211209	0.0853567442372	0.10553140116	0.0879688322973	0.0492024262359	-0.114994060347	-179.228068242	0.725123585447	0.729176603641	0.0430560909768	0.658194049192	0.66667872114	0.0220915821075	-0.303047374865	-300.0	0.111060104772	0.0834537482604	0.0892659685911	0.0489572652263	0.0371311777343	0.0410652908618	-0.0308153039383	-300.0	0.271927703587	0.26765812569	0.0610069354566	0.250383150009	0.242886792969	0.0579411566305	-0.403921568627	-8.13520251872
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.191677154109	0.16209294387	0.0803617003321	0.139541310686	0.124538357961	0.0424028699612	-0.0387815433892	-300.0	0.715878476995	0.720738654923	0.0449096810683	0.663652847358	0.674365442739	0.0237432551511	-0.135992815423	-300.0	0.135986925811	0.113085194915	0.0901328284569	0.0745578881724	0.0714379482388	0.0431912060259	-0.00160562398369	-300.0	0.308339680773	0.310075545496	0.105783395463	0.297051446706	0.288038889804	0.037456678165	-0.317159194414	-37.3775038786
TP53	-3.9536696865	9.9692148611	6.0155451746	0.281295615208	0.243923053859	0.11286782164	0.179606674868	0.16809956606	0.0554381416912	-0.19145652617	-283.86753935	0.661315663156	0.672969615443	0.0253249260142	0.675922573792	0.680777207525	0.0497100281751	0.413234411385	-219.086892478	0.113878139088	0.0840877098589	0.0936506492643	0.0533776404349	0.0437277817907	0.0355675977013	-0.0211490996652	-300.0	0.286347390094	0.279973205344	0.103068376102	0.255327129158	0.256531386416	0.0510623062974	-0.355952380952	-10.0704015971
ETS1	-3.5009108624	6.8488314444	3.347920582	0.0830312665426	0.0738467804923	0.0351154748271	0.115592164497	0.0979404795817	0.0505609147438	0.0722154859099	-300.0	0.664008130968	0.676197916841	0.0251362920513	0.695944037207	0.701127889012	0.0501151927479	0.201777601683	-300.0	0.0688824800557	0.0614480954541	0.044877730101	0.148266478609	0.126530520274	0.0962567732655	0.00950217886095	-300.0	0.324706370795	0.324392166421	0.132089251931	0.320013735815	0.304292137409	0.0430432447866	-0.252696390658	-34.4205502183
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.19262900914	0.162302177206	0.0846605226771	0.130381005624	0.11410511891	0.0469085269431	-0.100106584702	-300.0	0.751950189238	0.756873785999	0.0400459413956	0.672759317497	0.680985151754	0.0190344395759	-0.345586969475	-300.0	0.0589638327604	0.0481042714284	0.0421896794785	0.120188485252	0.0901680857489	0.0913942511767	0.0153973213499	-300.0	0.275778685824	0.261214588385	0.126123130398	0.258283876228	0.244169362838	0.100301406562	-0.269287696577	-7.08500608436
AR	-2.8208135212	6.4303512778	3.6095377566	0.141317910537	0.119757533195	0.0585802352781	0.0963008859542	0.0837789289815	0.0342022354742	-0.116888987744	-215.746943934	0.791773640766	0.796961324719	0.03919332594	0.679934737206	0.688534074522	0.0177864150643	-0.348584971888	-300.0	0.109410742888	0.0755858372208	0.101531369468	0.0412643121675	0.0282084275721	0.041914267382	-0.0389155054686	-300.0	0.257195235977	0.256170747233	0.14015611338	0.25177106311	0.241920563732	0.0554227619241	-0.148171275647	-2.3892088451
SRY	-2.631585418	4.77859	2.147004582	0.0748165442906	0.0637137439154	0.0405440020699	0.118124707063	0.0999516889532	0.0712327191079	0.152392386964	-97.3868315455	0.677651689192	0.687158965154	0.0451320514737	0.619473051093	0.625837566946	0.0198626008511	-0.219786786373	-300.0	0.035856290063	0.02458663118	0.0362502261621	0.0771169585205	0.0559333985121	0.0709618880798	0.00992507467192	-300.0	0.303498922407	0.291765606395	0.151806638354	0.296807883021	0.275076503369	0.11291777784	-0.264973262032	-3.87758115037
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.212110402975	0.187753465238	0.0827264448017	0.14621255802	0.133818470682	0.0455206224992	-0.0444446214964	-300.0	0.787983938834	0.793954877982	0.0426137651548	0.673913716624	0.684922466559	0.022507014766	-0.326915872736	-300.0	0.0832543525454	0.0753843036337	0.0565960022606	0.164667204336	0.13140946974	0.11875074784	0.0331978633903	-300.0	0.288095733552	0.272872052539	0.149394088728	0.277387943669	0.264206345255	0.0631007312692	-0.0960935101615	-15.8831915695
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.102060343533	0.0886728501042	0.0563625599162	0.158764107038	0.13152892539	0.0976241491	0.150911303941	-171.965409063	0.763831272463	0.767229833666	0.0411056145593	0.675720992874	0.684257557983	0.019927341147	-0.299732460657	-300.0	0.0909585765855	0.0687446208581	0.0739796245623	0.042646322198	0.0329008141594	0.0317664699955	-0.12239909485	-300.0	0.297704163105	0.277044259716	0.178179236349	0.27728703335	0.263982410866	0.0430281772509	-0.251113913409	-9.57700926062
