FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	FS_H1hesc_protection_mean	FS_H1hesc_protection_median	FS_H1hesc_protection_std	FS_K562_protection_mean	FS_K562_protection_median	FS_K562_protection_std	FS_protection_ks_stat	FS_protection_ks_pvalue	FS_H1hesc_tc_mean	FS_H1hesc_tc_median	FS_H1hesc_tc_std	FS_K562_tc_mean	FS_K562_tc_median	FS_K562_tc_std	FS_tc_ks_stat	FS_tc_ks_pvalue	FS_H1hesc_fos_mean	FS_H1hesc_fos_median	FS_H1hesc_fos_std	FS_K562_fos_mean	FS_K562_fos_median	FS_K562_fos_std	FS_fos_ks_stat	FS_fos_ks_pvalue	FS_H1hesc_flr_mean	FS_H1hesc_flr_median	FS_H1hesc_flr_std	FS_K562_flr_mean	FS_K562_flr_median	FS_K562_flr_std	FS_flr_ks_stat	FS_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.0795784584714	0.0570660727542	0.0457845561977	0.122418434964	0.0917594654788	0.0727518718131	0.0519687798599	-300.0	0.593768008058	0.602065201709	0.0334278438588	0.615243199497	0.639165141217	0.0766963302494	0.0275313115215	-300.0	0.485673342539	0.485777887707	0.00333424672348	0.534397971803	0.534355676478	0.0038750547848	0.00520317809188	-300.0	0.33832212501	0.336440112383	0.0953696737833	0.312800158163	0.303906688451	0.0301468157905	-0.336041540291	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.00919451768388	0.00757827988999	0.00874676989411	0.0161324950332	0.0132220730609	0.0130596121241	0.101776556057	-300.0	0.722577714577	0.729420578769	0.0455450104352	0.654077451252	0.663142902442	0.0229622152452	-0.286537095438	-300.0	0.574101651923	0.574073026556	0.000397013605568	0.631056380422	0.63104508368	0.00128488425615	0.000175070028011	-300.0	0.317694907157	0.316827850301	0.0554917393297	0.290722174844	0.288169626915	0.0202991085832	-0.438837471179	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.018771219574	0.0157643778644	0.00826121392665	0.0265901180339	0.022056127355	0.0131970240435	0.116490542905	-300.0	0.725534192852	0.731968979289	0.0461646324538	0.660417996449	0.671951898417	0.0256432859825	-0.206952471651	-300.0	0.49542565375	0.49541878395	0.00148056662455	0.530208008723	0.530162611399	0.00156187159546	0.00134901095096	-300.0	0.344314527721	0.344555001508	0.104469445244	0.325804102307	0.318892944907	0.0323107978894	-0.226873733217	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.0294667867114	0.0238393005843	0.0167211608345	0.0460512436358	0.0378012391472	0.0259770929686	0.0643910562091	-300.0	0.654181003307	0.667099374033	0.0268724521439	0.675915543062	0.681084363695	0.0535686120349	0.353029575274	-299.985110618	0.55674236667	0.556775205269	0.00105396106262	0.595366122086	0.595386956894	0.00133576567036	0.000220264317181	-300.0	0.304750358427	0.304659949459	0.0830872143224	0.290988925984	0.285628753819	0.0257312237897	-0.209661440919	-218.049304029
ETS1	-3.5009108624	6.8488314444	3.347920582	0.00568984731428	0.0043540702768	0.00487839512932	0.0086687977881	0.00687677279574	0.00757724122784	0.135511346852	-300.0	0.661960998762	0.674887597081	0.0276927134409	0.689173257636	0.695864940468	0.051722000563	0.294416568898	-300.0	0.581748427316	0.581725065018	0.00106152190829	0.616994483104	0.616971720387	0.00154402500079	0.00149981544856	-300.0	0.33464283091	0.334349488472	0.105414156803	0.323149178946	0.315056080217	0.0334178834457	-0.136812840199	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.0170309056792	0.0124590557125	0.0147002253295	0.00963868020946	0.00698948235448	0.00926062997021	-0.000608467531896	-300.0	0.762757375033	0.767200794752	0.0436128003518	0.669445364004	0.67841387434	0.0214903060971	-0.347413520711	-300.0	0.550821281336	0.550812524284	0.00115903867004	0.58309994379	0.583084394178	0.00198722106657	0.00137749423889	-300.0	0.332414411999	0.331239366476	0.070395150725	0.313352240338	0.310073976475	0.0340560602317	-0.215185335646	-231.299650209
AR	-2.8208135212	6.4303512778	3.6095377566	0.0318697058609	0.0235050479394	0.0202949529638	0.0559795572823	0.0439987879132	0.0353710091755	0.0248704910916	-300.0	0.731795487601	0.73849312452	0.0453728366072	0.673038157533	0.682559780567	0.0203530330046	-0.196398373047	-300.0	0.694974166156	0.695031491951	0.00186771864561	0.728133674953	0.728095018926	0.003082039656	0.0012482168331	-300.0	0.312918581541	0.312828217628	0.0609222531944	0.300415337917	0.298342223424	0.0250818554105	-0.213278418606	-217.914110874
SRY	-2.631585418	4.77859	2.147004582	0.0081134308446	0.00615902208768	0.00817986349684	0.014915884739	0.0119240661913	0.0128930680978	0.170957784829	-300.0	0.671378192593	0.680621233363	0.0474379572586	0.610326315437	0.617555023715	0.0205629246908	-0.22124277763	-300.0	0.562588748976	0.562569398758	0.00053786121815	0.587321515468	0.58731019185	0.00100685225183	0.000484261501211	-300.0	0.322231764441	0.321796488323	0.0595857826031	0.309156686088	0.307459740892	0.0270224211715	-0.215428479572	-245.347060546
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.0278353431745	0.0251160178198	0.00934778538933	0.0369702645067	0.0327205457432	0.0146819745683	0.177578914844	-300.0	0.786002376047	0.792277862935	0.0453936694505	0.668616388093	0.681136226331	0.0230636252782	-0.324624841722	-300.0	0.587198714756	0.587198287223	0.00147656350724	0.61113465259	0.611103065404	0.00160335025782	0.00265620801134	-300.0	0.318525960686	0.308336773261	0.133726674851	0.30950038277	0.299889153417	0.0428867708216	-0.00817140418216	-136.036796113
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0105006027958	0.0083135688189	0.00847795487755	0.0159048177708	0.0126097172727	0.0131261640119	0.296565788637	-300.0	0.76717365664	0.770801265671	0.0459728922091	0.671529760242	0.681963321546	0.0205988212113	-0.294306207582	-300.0	0.527300407026	0.527290831382	0.00167455621521	0.546439403176	0.54640147631	0.0018055222002	0.00177019435182	-300.0	0.313517552903	0.313431532432	0.0827871976415	0.309254035386	0.302730376593	0.0269175200241	-0.113075904921	-158.441800111
