FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	HINTBCN_H1hesc_protection_mean	HINTBCN_H1hesc_protection_median	HINTBCN_H1hesc_protection_std	HINTBCN_K562_protection_mean	HINTBCN_K562_protection_median	HINTBCN_K562_protection_std	HINTBCN_protection_ks_stat	HINTBCN_protection_ks_pvalue	HINTBCN_H1hesc_tc_mean	HINTBCN_H1hesc_tc_median	HINTBCN_H1hesc_tc_std	HINTBCN_K562_tc_mean	HINTBCN_K562_tc_median	HINTBCN_K562_tc_std	HINTBCN_tc_ks_stat	HINTBCN_tc_ks_pvalue	HINTBCN_H1hesc_fos_mean	HINTBCN_H1hesc_fos_median	HINTBCN_H1hesc_fos_std	HINTBCN_K562_fos_mean	HINTBCN_K562_fos_median	HINTBCN_K562_fos_std	HINTBCN_fos_ks_stat	HINTBCN_fos_ks_pvalue	HINTBCN_H1hesc_flr_mean	HINTBCN_H1hesc_flr_median	HINTBCN_H1hesc_flr_std	HINTBCN_K562_flr_mean	HINTBCN_K562_flr_median	HINTBCN_K562_flr_std	HINTBCN_flr_ks_stat	HINTBCN_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.114075277445	0.0913459327723	0.0941693634927	0.0757498079932	0.0578654527062	0.068908481542	-0.159968917876	-75.9143963012	0.658105058323	0.666747777247	0.0652236987369	0.550109615544	0.560484237567	0.0336274828994	-0.553771289538	-153.005596109	0.481466867352	0.47703841211	0.0637373999092	0.45273378018	0.444095387691	0.031608793866	-0.32086364285	-300.0	0.336208625918	0.335454741782	0.0445004992544	0.305929771714	0.304754005555	0.0164360631742	-0.714749944922	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.0506064870515	0.0399143683631	0.0486855703753	0.0380401306518	0.028492114662	0.0387620482161	-0.10272648816	-30.0011376753	0.698445839633	0.706686080129	0.0896868725504	0.549699730418	0.564911544769	0.0362905221278	-0.57602739726	-100.569523135	0.440505669329	0.442195945898	0.0348856241463	0.400475359128	0.401090738741	0.0156979160594	-0.586285051162	-300.0	0.316442301724	0.316156982856	0.0335214419164	0.288446287355	0.287648451873	0.0110627082081	-0.734317886639	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.0947881210545	0.0769157765647	0.0778529469011	0.0619920691775	0.0476489614824	0.0558823843654	-0.164464498929	-300.0	0.639103829919	0.648141130483	0.0485978513714	0.559656591671	0.568819001997	0.0329158948045	-0.460501745866	-300.0	0.471379027491	0.470225947688	0.0368757222864	0.441604019822	0.439513465888	0.0183547720075	-0.439307327769	-300.0	0.314511885569	0.314807087712	0.0313106893886	0.293936085247	0.293870934847	0.012236738003	-0.699029146848	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.150035758706	0.116827631765	0.126029128838	0.0991187483358	0.0752042715452	0.0936354754583	-0.151193414678	-61.8598694009	0.71149672354	0.717863333403	0.0529610964384	0.562234765734	0.57213606973	0.0317422487145	-0.585474889459	-147.603538811	0.563276117432	0.56394913095	0.0633019700219	0.526845739081	0.527376170254	0.0267825410242	-0.369747244813	-300.0	0.247667570911	0.247864536103	0.041035845105	0.234300176461	0.232212785776	0.0124728153717	-0.589689199127	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.127951105762	0.102454843118	0.1102889333	0.0882575648699	0.0670601623232	0.0811727563739	-0.120744151971	-300.0	0.684148500591	0.691687204921	0.0643938101317	0.563849639977	0.575519911923	0.0309533291171	-0.550501395687	-300.0	0.567136151649	0.565981353398	0.046198715002	0.539975766694	0.536452521182	0.0217069189393	-0.374045377442	-300.0	0.323164016539	0.32286916788	0.054192741421	0.30643006097	0.304411745621	0.0173798922962	-0.582823777322	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.136858973469	0.10640125408	0.120133785839	0.100584784187	0.0746273168597	0.0951838396309	-0.0854341949944	-54.6129515396	0.650313382063	0.65844057504	0.0634375828889	0.56575077092	0.577066553629	0.0334334692939	-0.47335251911	-144.976909203	0.557182393819	0.558275229551	0.0345983584168	0.523257023384	0.524272793078	0.0161084182006	-0.50182346581	-300.0	0.235909472	0.235237627755	0.0324147477219	0.22246469586	0.222080465984	0.0126684730847	-0.530767358978	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.132017511963	0.104712814939	0.108648212338	0.104004850117	0.0820302486896	0.0863853101772	-0.0165979915289	-15.6300113573	0.619006106183	0.628383422988	0.0787969444206	0.558834551893	0.571856620837	0.0343323355223	-0.254156377115	-77.1147708456	0.472830430116	0.474844073437	0.0446330036673	0.450550699954	0.451070570251	0.0197216639625	-0.331143174973	-300.0	0.280168072256	0.280258560625	0.0366074731639	0.268399424412	0.267604065211	0.0133631113652	-0.518540437076	-300.0
SRY	-2.631585418	4.77859	2.147004582	0.0683919003621	0.054534497455	0.0592271885427	0.0524025376347	0.0391019567056	0.0452321926806	-0.0385111123404	-22.7693200615	0.726665965011	0.736642385493	0.102732837055	0.563819859864	0.583261698732	0.0399919787258	-0.528533319674	-137.045453976	0.48281622522	0.485400360844	0.0381652141825	0.455021508572	0.458989583635	0.0166356809483	-0.439403278099	-300.0	0.274648327507	0.273936286293	0.030465783032	0.263151126654	0.262403305605	0.0206173993606	-0.503305277947	-300.0
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.0871286769976	0.0680071871268	0.0787905623258	0.0559066127831	0.0416624598309	0.0547381511525	-0.088678822682	-300.0	0.624317315743	0.633340879432	0.0536171420091	0.56646003449	0.577231087662	0.0336392136586	-0.261545059133	-300.0	0.641508462208	0.641214312086	0.0365486240987	0.619407959688	0.61766702128	0.0188318567691	-0.338768254648	-300.0	0.307362253312	0.307464859868	0.0477328745127	0.298265620742	0.295735877166	0.0163328353027	-0.52191338056	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.152544889168	0.123968264334	0.118067312739	0.103543720576	0.0780966122673	0.0900248997721	-0.0973284770632	-102.326972095	0.740642271557	0.748419216166	0.0502292468715	0.576160211007	0.584508669314	0.0294296533932	-0.527073104664	-300.0	0.462076086253	0.462913290618	0.0304688591117	0.446506236793	0.446722683687	0.0138305784176	-0.319849164713	-300.0	0.277239538486	0.277210612992	0.0362302469592	0.268547757193	0.267290431218	0.0125799763195	-0.492939896912	-300.0
