FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	HINTBC_H1hesc_protection_mean	HINTBC_H1hesc_protection_median	HINTBC_H1hesc_protection_std	HINTBC_K562_protection_mean	HINTBC_K562_protection_median	HINTBC_K562_protection_std	HINTBC_protection_ks_stat	HINTBC_protection_ks_pvalue	HINTBC_H1hesc_tc_mean	HINTBC_H1hesc_tc_median	HINTBC_H1hesc_tc_std	HINTBC_K562_tc_mean	HINTBC_K562_tc_median	HINTBC_K562_tc_std	HINTBC_tc_ks_stat	HINTBC_tc_ks_pvalue	HINTBC_H1hesc_fos_mean	HINTBC_H1hesc_fos_median	HINTBC_H1hesc_fos_std	HINTBC_K562_fos_mean	HINTBC_K562_fos_median	HINTBC_K562_fos_std	HINTBC_fos_ks_stat	HINTBC_fos_ks_pvalue	HINTBC_H1hesc_flr_mean	HINTBC_H1hesc_flr_median	HINTBC_H1hesc_flr_std	HINTBC_K562_flr_mean	HINTBC_K562_flr_median	HINTBC_K562_flr_std	HINTBC_flr_ks_stat	HINTBC_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.156101041301	0.121155661549	0.132978867207	0.087182544261	0.0658568092612	0.081813453194	-0.148536150862	-138.972997498	0.482099267986	0.477352563188	0.0665523058464	0.454316340213	0.446380122805	0.0330258905344	-0.290207288931	-300.0	0.482099267986	0.477352563188	0.0665523058464	0.454316340213	0.446380122805	0.0330258905344	-0.290207288931	-300.0	0.268967202585	0.269025925814	0.00323688951211	0.244729857821	0.244602860629	0.00254923179323	-0.746399364422	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.069372644702	0.0530137417587	0.0623349747355	0.0386674428272	0.0284661454256	0.0397528108295	-0.127721472194	-71.0502342241	0.440323186612	0.442077743292	0.0361918464775	0.400420010595	0.400875676683	0.0163780999503	-0.57143326719	-300.0	0.440323186612	0.442077743292	0.0361918464775	0.400420010595	0.400875676683	0.0163780999503	-0.57143326719	-300.0	0.264983419266	0.265046272921	0.00335263321992	0.241302612969	0.241173168264	0.00313447388881	-0.740783410138	-268.103328088
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.0935233375923	0.0723449712454	0.0802939053957	0.0504521615892	0.0381927351633	0.0457873653095	-0.151470847206	-300.0	0.471371362105	0.470225947688	0.0388894677764	0.441852661382	0.439823783703	0.0191288663494	-0.416925381352	-300.0	0.471371362105	0.470225947688	0.0388894677764	0.441852661382	0.439823783703	0.0191288663494	-0.416925381352	-300.0	0.251792426119	0.251811146353	0.00393115961268	0.235016257075	0.235222714288	0.00275050943518	-0.733308973885	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.128399280879	0.097216043373	0.112632490507	0.0697690699994	0.0523721189112	0.0665381593079	-0.14086945989	-109.040163817	0.563288696255	0.56394913095	0.0661909825034	0.526826194935	0.527050126254	0.0279358060709	-0.353920478113	-300.0	0.563288696255	0.56394913095	0.0661909825034	0.526826194935	0.527050126254	0.0279358060709	-0.353920478113	-300.0	0.27597679841	0.276131437238	0.00341512605585	0.258467698413	0.258289368043	0.00262932611262	-0.732611102723	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.119104778664	0.0891185486632	0.108395356785	0.0636253051851	0.0480017294609	0.0604503301889	-0.126812113998	-300.0	0.567160857157	0.565981353398	0.0482812295633	0.540539792227	0.537184213641	0.0224273742801	-0.352551387669	-300.0	0.567160857157	0.565981353398	0.0482812295633	0.540539792227	0.537184213641	0.0224273742801	-0.352551387669	-300.0	0.31851086364	0.318587274388	0.00390618810689	0.300495859185	0.300412759698	0.00241097054168	-0.737871090983	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.134052930156	0.101436384919	0.117316644389	0.0724457293991	0.0544130983624	0.0674625145313	-0.107431761982	-124.716953858	0.581916463824	0.583038581751	0.037207041204	0.546317271368	0.547138941656	0.0173911538024	-0.492581114276	-300.0	0.581916463824	0.583038581751	0.037207041204	0.546317271368	0.547138941656	0.0173911538024	-0.492581114276	-300.0	0.302967464304	0.30292097447	0.00330626480201	0.2862568211	0.286155260324	0.00282702892129	-0.723410781882	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.183281571573	0.147666532721	0.144935007468	0.100401026191	0.0772752428431	0.0868707041542	-0.11636475592	-77.4264256208	0.472793240722	0.474844073437	0.0456987655959	0.450367253584	0.450439039877	0.0205939166958	-0.32410649822	-300.0	0.472793240722	0.474844073437	0.0456987655959	0.450367253584	0.450439039877	0.0205939166958	-0.32410649822	-300.0	0.312681170613	0.312587325708	0.00331135218965	0.298229556283	0.298231862467	0.00240285318578	-0.713989980846	-279.951456796
SRY	-2.631585418	4.77859	2.147004582	0.17083291703	0.138380697212	0.135788910187	0.0925995040945	0.0727015914129	0.0783527891765	-0.122798590472	-70.105476462	0.482705784399	0.485400360844	0.0388228809029	0.454718866503	0.45866725949	0.0169071795658	-0.432844422734	-300.0	0.482705784399	0.485400360844	0.0388228809029	0.454718866503	0.45866725949	0.0169071795658	-0.432844422734	-300.0	0.245199969904	0.245168706092	0.00346275402772	0.235043221916	0.235091518603	0.00290713450158	-0.665756808727	-272.826587231
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.0876312525396	0.0644227747544	0.0821623259836	0.0441798275427	0.0324423134495	0.0439596306499	-0.0904452191009	-300.0	0.64153207006	0.641214312086	0.0389209806579	0.619597637973	0.61802828288	0.0194790334367	-0.315808322828	-300.0	0.64153207006	0.641214312086	0.0389209806579	0.619597637973	0.61802828288	0.0194790334367	-0.315808322828	-300.0	0.28403830299	0.283991265357	0.00432440031195	0.273133886653	0.272971117419	0.00252987296831	-0.684073893956	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.104206877223	0.0837832017811	0.0838472985413	0.0567702178403	0.0435771351081	0.0489534348864	-0.0742218574413	-162.481997103	0.461952698201	0.462913290618	0.0316973660661	0.446501165225	0.44661752298	0.0144985870782	-0.305309451636	-300.0	0.461952698201	0.462913290618	0.0316973660661	0.446501165225	0.44661752298	0.0144985870782	-0.305309451636	-300.0	0.281838908378	0.281888495909	0.0030460724658	0.271956900556	0.271975771868	0.00236332670552	-0.678257910381	-300.0
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.156541065068	0.124102311684	0.131918058614	0.0830471004399	0.0625616090656	0.0750564490523	-0.0794798713668	-156.109795904	0.643712157768	0.645843218458	0.0393550931451	0.616800322018	0.618932990173	0.0175985877899	-0.400853844568	-300.0	0.643712157768	0.645843218458	0.0393550931451	0.616800322018	0.618932990173	0.0175985877899	-0.400853844568	-300.0	0.317859908845	0.317845506557	0.00430532719251	0.306621999328	0.306700889548	0.00264464266032	-0.692297544968	-300.0
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.0725271052877	0.0550655172995	0.0646704716789	0.0366670224676	0.0273866763	0.0353615170013	-0.0883294028585	-299.986243421	0.580397677337	0.583284507931	0.0529580462544	0.561647874405	0.562713496794	0.0256967237988	-0.192385671525	-300.0	0.580397677337	0.583284507931	0.0529580462544	0.561647874405	0.562713496794	0.0256967237988	-0.192385671525	-300.0	0.322080610558	0.322063353275	0.00347415169	0.311697045939	0.311634447373	0.00233416687081	-0.68745561837	-300.0
FLII	-1.1177311693	8.8445722222	7.7268410529	0.126992918581	0.0950193686523	0.110893970278	0.0650899613668	0.049214316663	0.0580535679165	-0.0452543158132	-173.094399198	0.550048404607	0.543840978951	0.0665579973469	0.540146737711	0.542177660531	0.0239509243846	-0.0767462029444	-300.0	0.550048404607	0.543840978951	0.0665579973469	0.540146737711	0.542177660531	0.0239509243846	-0.0767462029444	-300.0	0.209636723908	0.209696399329	0.00388514738208	0.206390633567	0.206524565996	0.00229257266098	-0.339244243912	-140.614709468
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.0734322569016	0.0559335097626	0.0644527221724	0.0404001818257	0.0298997398499	0.0364159675967	-0.0449913626966	-85.9716050644	0.423983062234	0.425448088029	0.0334312623689	0.415944960114	0.416893288419	0.013368754163	-0.166031966973	-285.942981643	0.423983062234	0.425448088029	0.0334312623689	0.415944960114	0.416893288419	0.013368754163	-0.166031966973	-285.942981643	0.316919272283	0.316778899319	0.00500495196861	0.31184131203	0.311943445021	0.00328356402214	-0.491694659776	-164.730904485
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.140681160996	0.113861061691	0.11306294331	0.071226175215	0.0537626257556	0.0613903625671	-0.0759397020771	-65.667179517	0.477582014595	0.47506816533	0.0284040680499	0.479778424332	0.479889574615	0.06154016342	0.0227879608332	-18.4215218445	0.477582014595	0.47506816533	0.0284040680499	0.479778424332	0.479889574615	0.06154016342	0.0227879608332	-18.4215218445	0.476853108011	0.476777851912	0.00637248060931	0.470153038411	0.470167634505	0.00617351176332	-0.280763409878	-183.346341188
EGR2	-0.9853411587	4.5985511111	3.6132099524	0.0817472152921	0.0611126503797	0.0766401385151	0.0445712822624	0.0340458365404	0.0420226732968	-0.0146352644462	-300.0	0.462283735203	0.458062183638	0.0298898328616	0.474325909887	0.462649353682	0.067379180731	0.00470800320873	-300.0	0.462283735203	0.458062183638	0.0298898328616	0.474325909887	0.462649353682	0.067379180731	0.00470800320873	-300.0	0.29908223691	0.299102531216	0.00412774186911	0.294879071326	0.294948334718	0.00256676915692	-0.414915870609	-300.0
REST	-0.9317503519	8.5147308333	7.5829804815	0.0860228327687	0.0638665549536	0.0808118707486	0.0430821117298	0.0322121518687	0.0430045279186	-0.0417199491051	-300.0	0.533224281674	0.53354789366	0.0533676270591	0.529400331204	0.527341332338	0.0250893445405	-0.00252065377803	-221.628098365	0.533224281674	0.53354789366	0.0533676270591	0.529400331204	0.527341332338	0.0250893445405	-0.00252065377803	-221.628098365	0.277065253923	0.277262850301	0.00384114039898	0.273849720726	0.27390520286	0.00260122859501	-0.280083063073	-142.913738858
RFX5	-0.9070030291	7.3384705	6.4314674709	0.120167381991	0.0877508327996	0.110668519699	0.0609440315095	0.046162176866	0.0585770122064	-0.0443431496806	-300.0	0.53124772416	0.526964923749	0.0267479189828	0.531294054134	0.529692392725	0.0603890439437	0.0209908033266	-132.082259112	0.53124772416	0.526964923749	0.0267479189828	0.531294054134	0.529692392725	0.0603890439437	0.0209908033266	-132.082259112	0.307251466665	0.307493562949	0.00347747412419	0.30412400109	0.304003637579	0.00319309100737	-0.321291802051	-170.223721922
SOX3	-0.8815224709	7.0991445556	6.2176220847	0.130953469504	0.106477529291	0.10777425743	0.0672483503945	0.0511260643016	0.0587961397037	-0.0505640593676	-187.907551063	0.39150498509	0.392883048375	0.0332818479133	0.383055714807	0.384941139763	0.0151591433695	-0.153468813115	-300.0	0.39150498509	0.392883048375	0.0332818479133	0.383055714807	0.384941139763	0.0151591433695	-0.153468813115	-300.0	0.4981254885	0.498381839015	0.00906700534816	0.49264567667	0.492755431348	0.00645550355247	-0.341004348123	-158.426728344
FOXD3	-0.6445018836	6.6675806667	6.0230787831	0.0786385528304	0.0585003427537	0.0705701356988	0.133862475628	0.108128042999	0.109965722009	0.0141995707748	-72.2392638681	0.474414352596	0.476070428363	0.0234134234271	0.46689318821	0.468747279323	0.00962733428358	-0.166975543799	-300.0	0.474414352596	0.476070428363	0.0234134234271	0.46689318821	0.468747279323	0.00962733428358	-0.166975543799	-300.0	0.326712462341	0.326957575874	0.00501290339315	0.324589733626	0.324635225867	0.00267042766771	-0.242856963896	-104.579859248
HNF4G	-0.6026098016	2.9244216111	2.3218118095	0.156857750627	0.123033202609	0.132754175126	0.0831390876907	0.0601319751096	0.0785029311967	-0.0490678469544	-73.9381090302	0.343978475312	0.345664661473	0.0371202241235	0.340499695526	0.340746020506	0.0141870234764	-0.0552236427125	-107.33481734	0.343978475312	0.345664661473	0.0371202241235	0.340499695526	0.340746020506	0.0141870234764	-0.0552236427125	-107.33481734	0.323833724633	0.323662599642	0.00339610945001	0.321280946542	0.321254541367	0.00259873602614	-0.280493749803	-79.0096359702
SOX9	-0.5931329762	6.5152251667	5.9220921905	0.163188179467	0.132935095847	0.132153595899	0.0841544561915	0.064020402108	0.0740115626685	-0.0529418897851	-75.4982089527	0.523017735395	0.522977084603	0.0511437202133	0.512718221446	0.515109690845	0.022873336575	-0.0960684675204	-133.138730616	0.523017735395	0.522977084603	0.0511437202133	0.512718221446	0.515109690845	0.022873336575	-0.0960684675204	-133.138730616	0.318414312142	0.318458590196	0.0033996642976	0.316292673231	0.316285208319	0.00246117686105	-0.263207516233	-80.2765283624
