FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Neph_H1hesc_protection_mean	Neph_H1hesc_protection_median	Neph_H1hesc_protection_std	Neph_K562_protection_mean	Neph_K562_protection_median	Neph_K562_protection_std	Neph_protection_ks_stat	Neph_protection_ks_pvalue	Neph_H1hesc_tc_mean	Neph_H1hesc_tc_median	Neph_H1hesc_tc_std	Neph_K562_tc_mean	Neph_K562_tc_median	Neph_K562_tc_std	Neph_tc_ks_stat	Neph_tc_ks_pvalue	Neph_H1hesc_fos_mean	Neph_H1hesc_fos_median	Neph_H1hesc_fos_std	Neph_K562_fos_mean	Neph_K562_fos_median	Neph_K562_fos_std	Neph_fos_ks_stat	Neph_fos_ks_pvalue	Neph_H1hesc_flr_mean	Neph_H1hesc_flr_median	Neph_H1hesc_flr_std	Neph_K562_flr_mean	Neph_K562_flr_median	Neph_K562_flr_std	Neph_flr_ks_stat	Neph_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.0323959010174	0.0224785754847	0.0352984101784	0.0215839532325	0.0139122334075	0.022909578745	-0.0921833011812	-5.21011489839	0.655405253589	0.659046703512	0.0706357015874	0.581181259407	0.600800063462	0.0377926465582	-0.136126700974	-300.0	0.477662328856	0.474457831326	0.0438744617424	0.440095883579	0.431325301205	0.0223278473676	-0.45656316709	-300.0	0.336348456381	0.335488056084	0.0451757643655	0.306597776474	0.304738036659	0.0159784396062	-0.714458549709	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.130221891168	0.0854051003506	0.132065609523	0.0803994320764	0.0516484200821	0.0861598372374	-0.133934305494	-4.91829068047	0.715045918798	0.719847006486	0.0496452834905	0.621478588124	0.633920758117	0.0279612719278	-0.489271218373	-300.0	0.554546332636	0.555636680091	0.0341004630996	0.504197672438	0.505472649823	0.0173518616245	-0.580888704802	-300.0	0.316928945268	0.316156982856	0.0309661288212	0.288888732021	0.287888132795	0.0135262946715	-0.707662977967	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.0311335193041	0.0209049233142	0.0315467119107	0.0211651173047	0.0146396318105	0.0216571753515	-0.0739599386174	-15.8308266828	0.718069936153	0.720905164486	0.0521692407497	0.620954609031	0.634113898934	0.0287398789385	-0.474021884523	-300.0	0.524263047249	0.522894169079	0.0287954538051	0.489549740536	0.488626673798	0.0159918111115	-0.509453997401	-300.0	0.330556298535	0.330698293865	0.0321899273858	0.308639403887	0.308647056717	0.0129351575561	-0.69723329837	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.0322737651199	0.0212525208273	0.0333058227468	0.0208323146405	0.0137271242139	0.0229264903768	-0.107337680796	-5.31063622487	0.663049607125	0.667997189597	0.0581661633432	0.618061403908	0.633637434259	0.0303471672666	-0.0464792167612	-300.0	0.508162245684	0.509018065278	0.0394147007333	0.474124715786	0.476007467915	0.0195657402094	-0.442305096689	-300.0	0.304307387988	0.304185313241	0.0395613084698	0.286256381222	0.284647549908	0.0152193892185	-0.621495730469	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.0330344815231	0.0220543365171	0.0338141692538	0.0204470650647	0.013682622296	0.0215938505266	-0.0872409554117	-16.0424677409	0.679088455428	0.681198120368	0.0587876142689	0.615233043935	0.630989850532	0.0328098246893	-0.161676893863	-300.0	0.462232613975	0.461431440976	0.032254866874	0.437576295106	0.435070565041	0.0162303844686	-0.413970655695	-300.0	0.334392272874	0.334313450569	0.038836868621	0.316194833995	0.315196727718	0.0142841840847	-0.627949695641	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.0354503301915	0.0218376565485	0.0408917768707	0.0211359923192	0.0130028764291	0.0235452538463	-0.0937446184367	-7.23004659445	0.727821828168	0.731938123624	0.0457324499008	0.639661637341	0.649788108863	0.024976480163	-0.463890808612	-300.0	0.404408441412	0.405253300858	0.0327016695359	0.37914434405	0.382823817356	0.0154928128748	-0.419612703647	-300.0	0.33025403768	0.329554437898	0.0282152836033	0.311377884124	0.311160777664	0.0136759795408	-0.631201631234	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.0359266132972	0.0240101481565	0.0373365246857	0.0210844228634	0.0141963727048	0.0228107425078	-0.108896524324	-9.28403310889	0.698530861015	0.704516578823	0.0489500818273	0.637429995917	0.64915330876	0.0257120521863	-0.271458702644	-300.0	0.526752909074	0.528122719392	0.0379646914303	0.502098580986	0.504140135629	0.015842193954	-0.417875044908	-300.0	0.312298399605	0.312587325708	0.0316931318559	0.29879066449	0.298392420913	0.0125538650794	-0.553105826451	-300.0
SRY	-2.631585418	4.77859	2.147004582	0.0355247793404	0.0253942088804	0.0342876165603	0.0214297067373	0.0149674922288	0.0217286496038	-0.121321833115	-10.1252591931	0.650978475801	0.659949776983	0.0221889003486	0.657584439575	0.661645924107	0.0472890862115	0.224450326861	-166.223550681	0.549129035951	0.550986317277	0.0318168092324	0.52126525699	0.527775689126	0.014158816533	-0.489718932518	-300.0	0.321480898836	0.320959551694	0.0296939996537	0.308026130559	0.307514825448	0.0153913461886	-0.565560225836	-300.0
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.0323184273126	0.0220707845179	0.0332592645936	0.0204271405327	0.013780510718	0.0220559909777	-0.0485954478347	-24.7070372991	0.750707697584	0.753810468771	0.0538196487083	0.632692301931	0.647000670428	0.0276298634427	-0.482820817556	-300.0	0.591817845144	0.591177769587	0.0263807060103	0.570628806393	0.568052417665	0.0156236146467	-0.361809216597	-300.0	0.308206436669	0.308111338394	0.040356821538	0.298503115191	0.296525972247	0.0159830320224	-0.496453585675	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0337258583284	0.0228411943706	0.0346183006057	0.0199703034811	0.013895507747	0.020182479005	-0.0736553543229	-22.4905691968	0.705148907051	0.710145306563	0.051381766766	0.637347679937	0.650730270712	0.025586963043	-0.285982603129	-300.0	0.610396364785	0.61132168525	0.0280615097765	0.588208792752	0.589940425919	0.0143335051117	-0.386652124711	-300.0	0.314002909326	0.314006035032	0.03251558273	0.303504027052	0.302815845546	0.0132259782647	-0.519562544271	-300.0
