FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	PIQ_99_H1hesc_protection_mean	PIQ_99_H1hesc_protection_median	PIQ_99_H1hesc_protection_std	PIQ_99_K562_protection_mean	PIQ_99_K562_protection_median	PIQ_99_K562_protection_std	PIQ_99_protection_ks_stat	PIQ_99_protection_ks_pvalue	PIQ_99_H1hesc_tc_mean	PIQ_99_H1hesc_tc_median	PIQ_99_H1hesc_tc_std	PIQ_99_K562_tc_mean	PIQ_99_K562_tc_median	PIQ_99_K562_tc_std	PIQ_99_tc_ks_stat	PIQ_99_tc_ks_pvalue	PIQ_99_H1hesc_fos_mean	PIQ_99_H1hesc_fos_median	PIQ_99_H1hesc_fos_std	PIQ_99_K562_fos_mean	PIQ_99_K562_fos_median	PIQ_99_K562_fos_std	PIQ_99_fos_ks_stat	PIQ_99_fos_ks_pvalue	PIQ_99_H1hesc_flr_mean	PIQ_99_H1hesc_flr_median	PIQ_99_H1hesc_flr_std	PIQ_99_K562_flr_mean	PIQ_99_K562_flr_median	PIQ_99_K562_flr_std	PIQ_99_flr_ks_stat	PIQ_99_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.0956886375746	0.0745735392881	0.0516640325934	0.0682533119728	0.0526581598388	0.0398330461261	-0.153257575188	-300.0	0.641131456881	0.642088029228	0.0785064740573	0.555632495469	0.565986809364	0.0400454897257	-0.170979624345	-100.610835662	0.543101095517	0.540082252451	0.0478281981534	0.493834261629	0.489085732363	0.0465600947706	-0.598746041652	-102.659931143	0.345144270828	0.344287014305	0.0745710312127	0.310927158796	0.304684171219	0.0278996492943	-0.527555154925	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.0720307249243	0.0606302615544	0.0285992073231	0.0546824723421	0.0468024217697	0.0201419970481	-0.128199719481	-300.0	0.69324688574	0.707326924565	0.068229023416	0.595610138443	0.608714712997	0.055919184154	-0.305942971033	-49.1004599975	0.264438076021	0.25129339272	0.080935760174	0.239240533685	0.225254811085	0.068749937932	-0.27031641317	-19.4726757943	0.325910942887	0.32608827243	0.0499051584855	0.302593633736	0.297726632125	0.021206153169	-0.472504857799	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.0870894890264	0.0725524229008	0.0417891223183	0.0635697939765	0.0504210260768	0.0333672737376	-0.143879576662	-300.0	0.760940655089	0.765596232177	0.0584274121788	0.599898042808	0.610243157174	0.036025796656	-0.561943287273	-300.0	0.490391369863	0.482422046993	0.0587244742728	0.45433026564	0.448763931873	0.0586863028168	-0.338958983592	-156.978087435	0.32096208148	0.324397456774	0.0619504348126	0.304246969547	0.305105600549	0.0236219081947	-0.279077462319	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.0637040215303	0.053306756349	0.0270494116854	0.0465621996365	0.0375625315257	0.0215210260375	-0.179353546708	-300.0	0.571886556	0.588988656122	0.0422285848829	0.631531237046	0.638491825546	0.0787313960825	0.00880684832633	-27.1244389664	0.742272821715	0.733114106095	0.0713986587038	0.692327271831	0.686687558132	0.0578606183634	-0.39835946132	-46.4723231303	0.28917094724	0.290861118184	0.0736261695686	0.283143773583	0.274223905365	0.0254375171844	-0.250028884744	-216.408397413
ETS1	-3.5009108624	6.8488314444	3.347920582	0.0739905506688	0.0605978575863	0.0355960101135	0.058712901973	0.0478911248217	0.030593988956	-0.0277999927874	-300.0	0.75575300971	0.758850448038	0.0606043492665	0.599557916238	0.609442906195	0.0341315957874	-0.536577925382	-300.0	0.441230842439	0.434951846273	0.0527127366106	0.415149561257	0.40859389351	0.0474377353744	-0.358806618154	-119.182944368	0.33617375401	0.338694382613	0.0623481014286	0.318153283808	0.313814589433	0.0238674608602	-0.270440194131	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.104302156357	0.0825294352218	0.0533528062031	0.0730007516014	0.0586941595114	0.0402744633374	-0.177196329842	-300.0	0.672535384325	0.680149335652	0.0704556657882	0.6073701189	0.620869884159	0.0469176992353	-0.116422665239	-65.7571375083	0.44789189579	0.434666442842	0.0902238606228	0.420211547847	0.408279338665	0.067802209937	-0.335097201144	-45.112517942	0.339740196066	0.339312108024	0.0504851485334	0.325828565064	0.321551831456	0.0296256977128	-0.374911966676	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.0564623025729	0.043679363173	0.0279079793398	0.0401592980179	0.0315458945713	0.0213764235452	-0.1437508351	-300.0	0.60857657183	0.622630398956	0.0399093467327	0.660127055527	0.661108169426	0.0698587213453	0.0362313042846	-20.2132922948	0.407430079397	0.393710800795	0.0911236346398	0.390325795017	0.37177752465	0.0842004088486	-0.150193505173	-15.5247569937	0.285439672565	0.28824762091	0.0612611472077	0.276596609643	0.275740298288	0.0311035575873	-0.233399521362	-142.625596519
SRY	-2.631585418	4.77859	2.147004582	0.0724180569323	0.0587558051137	0.0483589284912	0.110687113706	0.0943054433208	0.0667124642831	0.000370385272306	-300.0	0.590692617439	0.594058934548	0.0348847733964	0.610647186736	0.624515808107	0.0685621976537	0.0837000795855	-21.3717380764	0.394437209914	0.384514036213	0.0723367748743	0.378763858224	0.367823311941	0.0445700253445	-0.311961451247	-34.7225742349	0.328497683716	0.329501194005	0.0516968604871	0.312175263248	0.315009777589	0.0293531937043	-0.319762572353	-297.99393145
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.109931790549	0.0980357235556	0.0303254076778	0.0923289354226	0.0839462695086	0.022855249168	-0.0560707234405	-300.0	0.745311548553	0.749751089068	0.0681625807162	0.602163383047	0.61553517631	0.0354819566466	-0.450604060688	-300.0	0.603770690716	0.597178532584	0.0577273569444	0.572590543177	0.570487456835	0.0534291615965	-0.297215777262	-138.242156777	0.312543990733	0.315473412384	0.0727240962027	0.307512727892	0.304165212278	0.0277647484584	-0.153198559902	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0330008380154	0.0240694006426	0.0320147568208	0.0486435223055	0.036810398804	0.0411740678761	0.0517610258514	-300.0	0.766288917077	0.773101403601	0.0652532122265	0.61374112035	0.627418784696	0.0388145930746	-0.479316605022	-265.644323139	0.446706416932	0.440916740568	0.0553886949536	0.42806739169	0.424370815533	0.0423411497427	-0.241394486584	-70.8955033348	0.322828370699	0.32332651853	0.0649184839772	0.32147892589	0.313278517138	0.0229744089869	-0.257864880877	-300.0
