FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	PWM_H1hesc_protection_mean	PWM_H1hesc_protection_median	PWM_H1hesc_protection_std	PWM_K562_protection_mean	PWM_K562_protection_median	PWM_K562_protection_std	PWM_protection_ks_stat	PWM_protection_ks_pvalue	PWM_H1hesc_tc_mean	PWM_H1hesc_tc_median	PWM_H1hesc_tc_std	PWM_K562_tc_mean	PWM_K562_tc_median	PWM_K562_tc_std	PWM_tc_ks_stat	PWM_tc_ks_pvalue	PWM_H1hesc_fos_mean	PWM_H1hesc_fos_median	PWM_H1hesc_fos_std	PWM_K562_fos_mean	PWM_K562_fos_median	PWM_K562_fos_std	PWM_fos_ks_stat	PWM_fos_ks_pvalue	PWM_H1hesc_flr_mean	PWM_H1hesc_flr_median	PWM_H1hesc_flr_std	PWM_K562_flr_mean	PWM_K562_flr_median	PWM_K562_flr_std	PWM_flr_ks_stat	PWM_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.0670440119415	0.0445997239476	0.0448799600357	0.109532481676	0.0801127214171	0.0709790684123	0.0539690436203	-300.0	0.593860912047	0.603414960787	0.0360735630848	0.627621908898	0.651577218832	0.072846049776	0.0379665097953	-300.0	0.411733748235	0.404309851088	0.103360442478	0.369915731646	0.351088201604	0.0406371765042	-0.187494599041	-234.077054455	0.590250117652	0.587497515987	0.062256353726	0.533289369688	0.536463083639	0.0596063299999	-0.63121422911	-80.990765973
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.00907718885114	0.00740461136383	0.00829033618955	0.0158786462129	0.0130706712944	0.0128534193039	0.114724396337	-300.0	0.724991727706	0.732298855156	0.0439619059703	0.660015754382	0.669626491382	0.0197732043372	-0.217763785537	-300.0	0.477955011723	0.473736032257	0.0619882540013	0.403408419021	0.398561568485	0.0307012928519	-0.446949486712	-300.0	0.212568137093	0.207061506973	0.0783146991011	0.19349224543	0.188312024328	0.0608059595877	-0.282266878195	-12.0688704042
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.0189655954078	0.0159171123212	0.00832896401665	0.026857491224	0.0222855070016	0.0133895395615	0.127852000036	-300.0	0.66384599557	0.675325694978	0.02369708511	0.709999755594	0.713842820309	0.0473201399675	0.057736956358	-300.0	0.474732015216	0.469827998456	0.0977114668391	0.431198275075	0.412228866766	0.032986769756	-0.247344376738	-300.0	0.296593879329	0.297047484757	0.0308790207689	0.277096992974	0.277401077525	0.0173584053622	-0.720963058481	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.0295327764433	0.0240660470662	0.0166321317582	0.0463429358578	0.0381385780994	0.026181642199	0.0713346202314	-300.0	0.657222211974	0.672105413525	0.0605817774758	0.560394568965	0.567305974478	0.0261952927381	-0.204732533789	-300.0	0.370270253621	0.365816687123	0.0804857100565	0.322179505224	0.310750326082	0.0304585563432	-0.356793748245	-300.0	0.318463266667	0.316403673834	0.0653427998785	0.308909629115	0.298359797079	0.0589355304914	-0.290351065351	-20.0143942103
ETS1	-3.5009108624	6.8488314444	3.347920582	0.00573294498977	0.00441034678664	0.00480157881096	0.00876435574966	0.00704983497911	0.00756468105673	0.139196441669	-300.0	0.631747196003	0.641611907529	0.0334698666597	0.649559755713	0.671295556878	0.0692173482208	0.103720824394	-300.0	0.4660623987	0.461135057021	0.0716327709933	0.410810309365	0.402275832038	0.0303621928003	-0.319796582392	-300.0	0.440143760605	0.438833233082	0.0547248389489	0.41287997398	0.413731854855	0.0490457781364	-0.384246856019	-82.5299564596
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.00959043204275	0.00686469142632	0.00863949131893	0.0168381231197	0.0125224248694	0.0143714366922	0.0181154742637	-300.0	0.724669354962	0.732348558234	0.0419819899703	0.673953578571	0.683754958706	0.0188847277006	-0.130105383395	-300.0	0.472048741261	0.468942909499	0.0525156019127	0.411802140762	0.409753049587	0.029329755064	-0.374683085719	-300.0	0.206131013822	0.20508934349	0.060401560424	0.195936836255	0.193599013885	0.0574711668279	-0.487396474835	-42.1576078993
AR	-2.8208135212	6.4303512778	3.6095377566	0.0324020989199	0.0241691249827	0.0202617611575	0.0567295304901	0.0446248823695	0.0356987696283	0.03887559644	-300.0	0.674406089043	0.683072339248	0.0201139103049	0.678999810799	0.690121310278	0.0450226705782	0.204405036055	-300.0	0.345374153507	0.34194057949	0.0601743309646	0.300676615052	0.294017096502	0.0313597636836	-0.26019701504	-263.561364576	0.403138252826	0.397096797335	0.066113649062	0.372670285258	0.379243243552	0.054511323829	-0.296388745926	-18.4267399124
SRY	-2.631585418	4.77859	2.147004582	0.0081330173156	0.00641991617218	0.00787300909741	0.01484981085	0.0116760021294	0.0127389562819	0.184504043306	-300.0	0.678605940107	0.688755195776	0.0461920298861	0.630952254989	0.639217002236	0.0197686611066	-0.0838096259595	-300.0	0.41910780973	0.414596700794	0.0729605685238	0.352963730293	0.351945122509	0.0420106590668	-0.293506216424	-272.547366141	0.544445227018	0.554782816987	0.0963254647882	0.528164355826	0.533023409695	0.0811583459335	-0.145815941165	-7.43349227462
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.0280408777155	0.0253945894461	0.00948071373134	0.0372492196928	0.033116704183	0.0148321281508	0.187336135116	-300.0	0.651136010551	0.670621384065	0.0694796753734	0.530017440674	0.538430735855	0.034247853241	-0.147542266166	-300.0	0.47865101068	0.474928519445	0.0789937162324	0.446869855578	0.433446485454	0.0250437690161	-0.238129203456	-300.0	0.28358600313	0.283891205394	0.0336157291108	0.274325983825	0.273052484487	0.0226475456612	-0.508149736437	-223.187137668
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0105105088465	0.00835492987541	0.00825846066667	0.0157173618727	0.0125321678064	0.0129039480149	0.307313718507	-300.0	0.659119875588	0.670533630645	0.0576575655262	0.533296914653	0.537758475176	0.0250843264449	-0.180452066069	-300.0	0.391151889987	0.386910200055	0.0793423913294	0.346733788621	0.338672373904	0.0310550907889	-0.250606768462	-300.0	0.1801145274	0.179196040326	0.0362577338232	0.172152641835	0.172680597404	0.015306237908	-0.347124263357	-71.2085744837
