FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	TC_H1hesc_protection_mean	TC_H1hesc_protection_median	TC_H1hesc_protection_std	TC_K562_protection_mean	TC_K562_protection_median	TC_K562_protection_std	TC_protection_ks_stat	TC_protection_ks_pvalue	TC_H1hesc_tc_mean	TC_H1hesc_tc_median	TC_H1hesc_tc_std	TC_K562_tc_mean	TC_K562_tc_median	TC_K562_tc_std	TC_tc_ks_stat	TC_tc_ks_pvalue	TC_H1hesc_fos_mean	TC_H1hesc_fos_median	TC_H1hesc_fos_std	TC_K562_fos_mean	TC_K562_fos_median	TC_K562_fos_std	TC_fos_ks_stat	TC_fos_ks_pvalue	TC_H1hesc_flr_mean	TC_H1hesc_flr_median	TC_H1hesc_flr_std	TC_K562_flr_mean	TC_K562_flr_median	TC_K562_flr_std	TC_flr_ks_stat	TC_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.176174435199	0.161911822855	0.046800773965	0.215784274941	0.189501779359	0.0779358921066	0.0286576281027	-300.0	0.650876856639	0.657252023304	0.0704397748087	0.589711259454	0.607198819511	0.0366199998462	-0.0305029124621	-289.318913472	0.502587248561	0.456082877247	0.182862442839	0.47761318066	0.450586395621	0.0759981465166	-0.0890029325513	-4.07797452635	0.320435828374	0.318913969874	0.0786254338998	0.294796792863	0.288602521275	0.0259541358573	-0.533187900343	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.177942250715	0.144224166193	0.0835654292522	0.107490444369	0.089504164212	0.0467111391487	-0.119336047326	-300.0	0.717787823021	0.725343666459	0.0529711629847	0.616927656037	0.628630621184	0.0294870732566	-0.502363021558	-300.0	0.336897152897	0.318526831711	0.160246166258	0.329379883615	0.298459109975	0.0834123884695	-0.0733050847458	-1.90706269322	0.295943384117	0.295149738215	0.0390702208675	0.269660902909	0.268572353813	0.0169616303882	-0.622379206199	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.15085815929	0.128563760071	0.0596014119377	0.111104728355	0.0983582947328	0.0348945954867	-0.0837471891139	-300.0	0.731544661643	0.737390254794	0.0510275817651	0.623375140753	0.634890521764	0.0278799639998	-0.509666711554	-300.0	0.429667075522	0.418687418475	0.122922580762	0.426773128671	0.400728501086	0.0489219633472	-0.0860177865613	-14.125762362	0.313642056789	0.313669171459	0.0767671354503	0.295436391936	0.292223055621	0.0248391466091	-0.44545339286	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.208368835266	0.180423988896	0.0806493593655	0.137102470671	0.125275134704	0.0445140640402	-0.194223319825	-300.0	0.596042425245	0.6155680319	0.0756482492163	0.525891095975	0.53475028838	0.0373872142523	-0.31410108897	-300.0	0.312826337646	0.204548278745	0.247875193266	0.214452685279	0.201568827831	0.0681197357796	-0.0361076188081	-1.93961746364	0.304614683546	0.304450733719	0.0599687898118	0.287551077985	0.284595592549	0.0188641214175	-0.501588441522	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.0843571197058	0.0733784076772	0.0385258347557	0.116159026872	0.0973516590631	0.0501724736267	0.0543097522536	-300.0	0.679875632887	0.686198275108	0.0606030588089	0.607390761144	0.622193845075	0.0313278115178	-0.18656808903	-300.0	0.492732242672	0.479615834066	0.132404517524	0.490235877032	0.461473876577	0.0519558612246	-0.118205340314	-22.6635888175	0.325235844048	0.325102246343	0.0836478371469	0.311390170047	0.306339437991	0.0268791751135	-0.31755317298	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.195644596003	0.163561459989	0.0833296750596	0.133953478144	0.114899829915	0.0499363861411	-0.090235169613	-300.0	0.722975846995	0.73064627101	0.049506774491	0.631726560569	0.64211345946	0.0283635848368	-0.434893763329	-300.0	0.453612485519	0.434178877678	0.149053884728	0.407774082838	0.399154785403	0.104740215167	-0.103685897436	-3.85277844368	0.33115220711	0.330163965457	0.0443589294761	0.311791797669	0.310875320615	0.0230401781045	-0.474843017034	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.124511805736	0.104085552844	0.0516156111885	0.0869164204031	0.0737180702123	0.0365192792144	-0.109287834975	-300.0	0.68491597069	0.693570420516	0.0555433075355	0.624268420411	0.636886618967	0.0288812554217	-0.154698256713	-288.733657252	0.549846823729	0.533319854321	0.151702321584	0.527660476059	0.500217901131	0.0682512104739	-0.181821954762	-4.26635106396	0.312854229194	0.312587325708	0.0473535088178	0.299686704871	0.29839236501	0.0215819283355	-0.439007761766	-300.0
SRY	-2.631585418	4.77859	2.147004582	0.07662225916	0.0657442623175	0.0405084431319	0.117549719363	0.0979657881856	0.0697110156965	0.191689370139	-216.548966558	0.625142954824	0.637942612731	0.0291621915344	0.64630396263	0.656472150614	0.057302283434	0.225973380299	-33.7320909452	0.21659940807	0.194642328059	0.157181141503	0.208126457063	0.168035282631	0.0912933869694	-0.117713526088	-2.22842301443	0.322098283682	0.321375141488	0.0375699113769	0.308596831054	0.307550982384	0.0229817262909	-0.445026311231	-300.0
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.164090012909	0.14623433538	0.0581980267142	0.115783092774	0.105136437832	0.0356790813698	-0.0684941408785	-300.0	0.721967214881	0.727333454672	0.0586346467128	0.627814496019	0.642062586175	0.0286733878974	-0.366305327667	-300.0	0.560505133433	0.519086248731	0.143312045391	0.53571996272	0.512116747185	0.0560772440046	-0.0463835004639	-17.0111386178	0.292327005021	0.291408796792	0.10064562216	0.292322308148	0.280999677797	0.0347036582012	-0.188190284853	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0862309585929	0.0733013285795	0.0498389255569	0.131802203562	0.108935874174	0.0821081316362	0.111536197511	-300.0	0.725295447351	0.73163948649	0.0523156184719	0.643074919016	0.655344536602	0.0261282899276	-0.352238837513	-300.0	0.45642211652	0.435117875215	0.132832063444	0.441133765622	0.427631284939	0.0463901150863	-0.0105118326912	-2.62278737876	0.305696009999	0.305592017515	0.0584822294416	0.298184980263	0.294839854563	0.017261616541	-0.307231829859	-300.0
