METHOD	protection	tc	fos	flr
Boyle	51	59	55	28
Centipede_80	62	60	76	29
Centipede_85	30	54	37	38
Centipede_90	58	35	29	18
Cuellar_85	72	59	34	31
Cuellar_80	76	58	48	21
Centipede_99	55	61	35	38
Centipede_95	30	45	32	25
Cuellar_90	65	65	60	21
Cuellar_95	91	61	37	53
Cuellar_99	112	62	65	40
Dnase2Tf	22	59	20	24
FLR_90	11	46	16	29
HINTBC	17	15	15	19
FLR_80	39	61	37	25
FLR_99	33	59	33	25
FLR_95	25	47	23	24
FLR_85	32	52	47	21
HINTBCN	33	47	16	21
FS	134	65	143	47
Neph	41	49	16	26
HINT	30	48	20	25
Wellington	20	55	31	17
Protection	132	60	39	36
TC	63	63	27	41
PIQ_85	35	53	34	22
PIQ_90	17	46	16	27
PWM	137	66	39	36
PIQ_99	33	59	37	22
PIQ_80	29	56	54	37
PIQ_95	32	55	20	24
