ks_pvalue_flr_method	ks_pvalue_flr_corr	ks_pvalue_fos_method	ks_pvalue_fos_corr	ks_pvalue_protection_method	ks_pvalue_protection_corr	ks_pvalue_tc_method	ks_pvalue_tc_corr	ks_stat_flr_method	ks_stat_flr_corr	ks_stat_fos_method	ks_stat_fos_corr	ks_stat_protection_method	ks_stat_protection_corr	ks_stat_tc_method	ks_stat_tc_corr
HINTBC	0.94924982066	Centipede_95	0.891125048349	PIQ_85	0.836791897015	HINTBC	0.841569446554	HINTBC	0.976467317201	HINTBC	0.934288715979	HINTBC	0.901794215174	HINTBC	0.934288715979
TC	0.945767869143	Centipede_99	0.888235915735	PIQ_99	0.833329372462	PWM	0.818173374405	HINTBCN	0.943177714304	HINTBCN	0.932606126268	FLR_90	0.895888735677	Centipede_90	0.521688991759
HINTBCN	0.93982945688	Centipede_80	0.876797278183	Centipede_80	0.832495807358	FLR_80	0.812513188543	Dnase2Tf	0.940501986277	Dnase2Tf	0.931654026724	PIQ_90	0.864847007453	Centipede_95	0.443838438557
FS	0.903446978019	Boyle	0.869633488665	FLR_99	0.828697095082	Protection	0.810760192885	HINT	0.938105321908	FLR_90	0.922096096392	HINTBCN	0.783085459142	HINTBCN	0.399853081191
Centipede_85	0.894077669812	PIQ_80	0.868112297375	Cuellar_80	0.825387457788	Cuellar_85	0.810686249717	Neph	0.930775796973	Neph	0.913962211497	HINT	0.7759200893	HINT	0.373235332742
Centipede_99	0.893732936687	PIQ_99	0.867904396073	Cuellar_99	0.825387457788	Cuellar_80	0.810686249717	FLR_90	0.922293082504	HINT	0.904794149512	Dnase2Tf	0.746946715257	FLR_90	0.366312091664
Cuellar_95	0.893007302462	FLR_85	0.861957100912	FS	0.825387457788	FS	0.809934716459	FLR_95	0.919830756098	FLR_95	0.895137726124	Neph	0.746905676483	FLR_95	0.36248727798
PIQ_80	0.892645385759	FLR_99	0.858646048787	PWM	0.825387457788	HINT	0.802111825905	PIQ_90	0.915176959191	PIQ_95	0.884566138087	PIQ_95	0.742990577498	PIQ_90	0.347462983026
FLR_90	0.888348153883	PIQ_85	0.857218136446	Protection	0.824553463717	PIQ_85	0.793064318945	PIQ_95	0.915037427361	PIQ_90	0.87629682524	FLR_95	0.737236941462	PIQ_95	0.341619061689
PIQ_90	0.887090951003	FLR_80	0.855457336091	Centipede_85	0.822047997868	FLR_95	0.778329295518	Wellington	0.914808548796	Wellington	0.871671755475	Wellington	0.712683443317	Dnase2Tf	0.336636954595
