XXXXX	HINTBC	HINTBCN	HINT	DNase2TF_TC	PIQ_90	Wellington_TC	Neph	Boyle	BinDNase_80	Centipede_90	FLR_90	Cuellar_90	TC	PWM	FS
HINTBC	XXXXX	7.898e-13	1.0259e-13	1.5341e-12	2.3857e-13	2.4608e-13	1.9191e-13	2.2919e-14	1.3643e-14	1.159e-14	1.2949e-15	6.4224e-15	3.7967e-16	5.3503e-16	3.7967e-16
HINTBCN	7.898e-13	XXXXX	9.9405e-14	1.5808e-12	2.7005e-13	1.495e-13	1.0259e-13	3.9101e-15	5.8174e-15	5.8174e-15	4.9962e-16	8.355e-15	3.7967e-16	5.729e-16	3.7967e-16
HINT	1.0259e-13	9.9405e-14	XXXXX	1.334e-08	1.7138e-09	7.9609e-11	8.4135e-11	4.0785e-11	2.008e-12	2.3128e-13	1.7692e-14	3.2659e-14	1.0218e-15	6.1342e-16	3.7967e-16
DNase2TF_TC	1.5341e-12	1.5808e-12	1.334e-08	XXXXX	1.0587e-13	1.0218e-15	1.6395e-15	3.7967e-16	5.8042e-14	5.8042e-14	3.7967e-16	3.2659e-14	3.7967e-16	6.5675e-16	3.7967e-16
PIQ_90	2.3857e-13	2.7005e-13	1.7138e-09	1.0587e-13	XXXXX	7.9443e-06	0.002242	8.1723e-09	7.7717e-07	3.2446e-08	1.8117e-10	3.4108e-09	2.0692e-11	8.6235e-16	3.7967e-16
Wellington_TC	2.4608e-13	1.495e-13	7.9609e-11	1.0218e-15	7.9443e-06	XXXXX	0.14938	3.7824e-15	9.95e-09	8.1415e-13	4.508e-16	8.3923e-13	3.7967e-16	9.2296e-16	3.7967e-16
Neph	1.9191e-13	1.0259e-13	8.4135e-11	1.6395e-15	0.002242	0.14938	XXXXX	0.0018174	1.4005e-08	9.7644e-13	9.8775e-16	1.1356e-12	3.7967e-16	9.5481e-16	3.7967e-16
Boyle	2.2919e-14	3.9101e-15	4.0785e-11	3.7967e-16	8.1723e-09	3.7824e-15	0.0018174	XXXXX	2.2125e-06	1.0064e-12	6.7954e-16	1.8916e-12	3.7967e-16	9.5481e-16	3.7967e-16
BinDNase_80	1.3643e-14	5.8174e-15	2.008e-12	5.8042e-14	7.7717e-07	9.95e-09	1.4005e-08	2.2125e-06	XXXXX	7.3262e-15	0.090763	1.7125e-07	1.1082e-10	2.0057e-15	3.7967e-16
Centipede_90	1.159e-14	5.8174e-15	2.3128e-13	5.8042e-14	3.2446e-08	8.1415e-13	9.7644e-13	1.0064e-12	7.3262e-15	XXXXX	0.011079	1.6236e-06	2.5158e-09	2.0741e-15	3.7967e-16
FLR_90	1.2949e-15	4.9962e-16	1.7692e-14	3.7967e-16	1.8117e-10	4.508e-16	9.8775e-16	6.7954e-16	0.090763	0.011079	XXXXX	1.1042e-09	2.3723e-14	1.6956e-15	3.7967e-16
Cuellar_90	6.4224e-15	8.355e-15	3.2659e-14	3.2659e-14	3.4108e-09	8.3923e-13	1.1356e-12	1.8916e-12	1.7125e-07	1.6236e-06	1.1042e-09	XXXXX	0.034509	1.057e-15	3.7967e-16
TC	3.7967e-16	3.7967e-16	1.0218e-15	3.7967e-16	2.0692e-11	3.7967e-16	3.7967e-16	3.7967e-16	1.1082e-10	2.5158e-09	2.3723e-14	0.034509	XXXXX	3.5391e-15	3.7967e-16
PWM	5.3503e-16	5.729e-16	6.1342e-16	6.5675e-16	8.6235e-16	9.2296e-16	9.5481e-16	9.5481e-16	2.0057e-15	2.0741e-15	1.6956e-15	1.057e-15	3.5391e-15	XXXXX	6.098e-05
FS	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	6.098e-05	XXXXX
