ATF1_TP	ATF1_FP	ATF1_TN	ATF1_FN
4.547	1.2051285519	0.207708563961	0.691
4.537	1.066	0.189	0.649
4.432	1.033	0.199454936837	0.731
4.352	1.062	0.215708563961	0.777
4.33463703586	1.006	0.229	0.707
4.19963703586	0.971	0.223	0.672
4.486	1.03	0.226	0.664
4.523	1.055	0.238708563961	0.727
4.455	1.15	0.219	0.817
4.525	1.091	0.217874391074	0.891
4.628	1.069	0.228	0.916
4.074	1.123	0.258	0.878
4.13	1.475	0.249	0.912
4.492	1.504	0.20773613814	0.952
5.003	1.214	0.23173613814	0.772
5.484	1.177	0.242	0.709
5.357	1.167	0.252992072045	0.79
4.446	1.188	0.245992072045	0.93
4.059	1.323	0.239	1.19092258203
4.413	1.273	0.238	1.09403635781
4.725	1.066	0.239	0.724
4.825	1.194	0.23635674523	0.923
4.725	1.484	0.21535674523	0.887
4.693	1.577	0.221	1.059
4.765	1.46	0.214	1.0
4.737	1.41224652563	0.194708563961	0.893
4.957	1.58424652563	0.249778079963	0.91
5.467	1.494	0.257069516002	0.848
5.748	1.63074813281	0.232	0.715
5.482	1.62827456135	0.252	0.796
5.157	1.321	0.252	0.87
5.474	1.23759338675	0.216	0.811
5.358	1.47759454984	0.23073613814	0.919
5.413	1.508	0.230585048143	1.039
5.542	1.298	0.253585048143	1.077
5.77	1.363	0.238	0.992
5.88	1.455	0.246	0.897
6.984	1.664	0.243	0.897
7.596	1.71664271705	0.224	1.001
6.89226262838	1.58464271705	0.213	0.96
6.87927568516	1.673	0.232	0.886
6.768	1.86082661846	0.228	0.839
7.462	1.599	0.212	0.819
7.528	1.406	0.206356770082	0.894
6.857	1.49576798546	0.223	0.95
6.743	1.33276798546	0.26	0.909
6.723	1.198	0.276	0.947
6.625	1.348	0.227	1.031
6.946	1.484	0.236	1.055
6.689	1.557	0.23	1.018
6.795	1.542	0.23	1.046
6.496	1.446	0.252	1.004
6.606	1.462	0.22	0.999
6.737	1.498	0.229	1.27
6.849	1.493	0.239989815073	1.204
6.967	1.595	0.260989815073	1.08
6.642	1.521	0.271	1.241
6.765	1.463	0.257	1.244
7.058	1.383	0.264	1.294
6.72	1.219	0.273	1.315
6.456	1.374	0.258	1.284
7.038	1.647	0.247	1.333
7.358	1.63	0.269	1.515
7.433	1.637	0.288	1.495
8.064	1.641	0.277585048143	1.427
8.781	1.598	0.275585048143	1.392
9.0	1.479	0.284	1.63826786526
8.669	1.553	0.247	1.77423871251
8.115	2.02910655038	0.258	1.554
8.003	1.85210655038	0.252	1.353
8.45706922853	1.37	0.24073613814	1.33374873219
8.43737222134	1.65	0.25773613814	1.16874969451
8.50185914391	1.853	0.261	1.162
8.26986768681	1.853	0.292	1.222
7.534	2.02568483316	0.277	1.157
7.147	2.02868483316	0.247	1.147
6.703	1.56585447909	0.266	1.23021471334
6.67	1.322	0.241	1.30590080328
6.28	1.356	0.207	1.16068521081
7.5273181991	1.674	0.258977795758	1.286
9.64535422552	2.086	0.340977795758	1.87341081397
7.529	1.646	0.258	1.50353023107
5.621	1.297	0.202	1.016
7.33	1.32799037047	0.253	1.236
9.396	1.62399037047	0.287	1.456
10.541	1.906	0.269	1.506
10.7670924149	2.02	0.284	1.509
10.0602413463	1.906	0.29304104207	1.379
10.372	1.839	0.255	1.324
13.4865552315	2.132	0.271	1.52769292286
14.2795779137	2.34	0.272	1.97924153686
10.415835974	2.064	0.237	1.73547545977
6.18377248519	1.556	0.243	1.241
4.51	1.40013307787	0.264	1.137
4.435	1.46300626108	0.253	1.128
3.399	1.146	0.22	0.996
2.282	0.788	0.186	0.795
2.413	0.889	0.238	0.853
2.535	0.99	0.263	0.921
2.105	0.880320791471	0.195	0.813
2.398	0.839333790341	0.196	0.726
2.443	0.834	0.195874391074	0.738
2.55	1.013	0.231	0.897
2.551	0.941	0.21	0.847
2.558	0.927	0.228	0.782
3.41	1.421	0.243	1.006
4.023	1.53574872538	0.248824811907	1.151
3.929	1.36274872538	0.238	1.122
5.505	1.479	0.215	1.238
9.935	1.693	0.234	1.36
14.5138285932	2.239	0.243	1.71481363031
13.8579483905	2.163	0.242	1.68880499171
10.737	1.902	0.262946580941	1.511
10.5764859154	1.937	0.244946580941	1.55
11.0265873348	1.954	0.245	1.558
11.1263030808	2.253	0.225	1.442
10.2062112633	2.435	0.245	1.294
7.639	1.977	0.276605821017	1.154
5.894	1.34	0.231	1.121
7.93858012262	1.722	0.268	1.406
10.3545790064	2.07191838824	0.295	1.519
8.012	1.45288616323	0.216	1.276
6.348	1.205	0.211	1.111
6.869	1.472	0.203	1.16
7.457	1.563	0.228	1.2245225528
7.844	1.69238571969	0.247	1.2635225528
7.75548087456	1.97736727441	0.27	1.321
7.5015063574	1.94937932237	0.247	1.406
