BACH1_TP	BACH1_FP	BACH1_TN	BACH1_FN
1.595	0.905	0.192	0.719
1.828	0.966	0.214708563961	0.692
1.866	1.12	0.216	0.658
1.819	1.244	0.195	0.582
1.872	1.091	0.205417127923	0.818
1.916	1.35546315676	0.209	0.753
2.0	1.363	0.215	0.713
2.15	1.264	0.2	0.793
2.02	1.195	0.242	0.75
2.139	1.091	0.234	0.798
2.259	1.117	0.201672242187	0.855
2.093	0.977	0.19	0.756
2.124	1.329	0.191	0.679
2.125	1.084	0.194	0.855
2.19	1.026	0.235708563961	0.927
2.249	1.46841484598	0.227708563961	0.845867412008
1.94	1.217	0.181	0.817
2.252	1.162	0.226985392354	0.776
2.366	1.153	0.178	0.829876148712
2.119	1.204	0.203417127923	0.889
2.445	1.085	0.206708563961	0.859
2.396	1.089	0.204	0.801
2.66700640129	1.239	0.209	0.861463210224
2.35	1.281	0.175	1.067
2.297	1.467	0.212	0.903
2.713	1.318	0.195963480167	0.902
2.673	1.337	0.206462390172	0.861
2.827	1.18340732294	0.219874391074	0.964
2.572	1.134	0.228	0.855
2.371	1.269	0.21534361302	0.856
2.644	1.386	0.211	1.051
2.542	1.452	0.226989429394	1.084
2.754	1.397	0.208	1.0617396224
2.721	1.377	0.203	1.148
2.701	1.326	0.187	1.163
2.862	1.604	0.191	0.96
3.018	2.01741947163	0.202918314244	1.18
2.713	1.462	0.206	1.103
2.838	1.26	0.217	1.053
3.018	1.366	0.176	1.041
3.083	1.795	0.194417127923	1.261
3.10069019321	1.77339159441	0.202	1.127
3.21231222435	1.372	0.188	1.28621872121
3.34268666717	1.664	0.236	1.238
3.038	1.433	0.234173519088	1.28
2.901	1.474	0.21	1.058
3.062	1.891	0.234	1.208
3.274	1.666	0.228	1.242
3.873	1.888	0.197	1.26456429151
3.42802963111	1.72	0.238	1.248
3.315	1.61	0.226	1.244
3.654	1.71	0.282	1.22356314916
3.409	1.477	0.28673613814	1.223
3.241	1.50182928283	0.316860041839	1.196
3.303	1.662	0.235	1.352
3.394	1.565	0.234	1.287
3.465	1.642	0.304	1.259
3.421	1.556	0.287	1.443
3.582	1.729	0.23	1.413
3.431	1.639	0.250245249919	1.541
3.46201793006	1.486	0.25	1.581
3.138	1.642	0.239	1.387
3.677	1.719	0.192	1.472
3.673	1.783	0.204	1.43982586803
3.742	1.591	0.209	1.447
3.761	1.657	0.208	1.486
3.601	1.679	0.181	1.509
3.709	1.757	0.202	1.389
3.638	1.74	0.223	1.467
3.97928633519	1.948	0.256	1.391
