CTCF_TP	CTCF_FP	CTCF_TN	CTCF_FN
1.709	1.72	0.319918314244	0.57
1.773	1.636	0.31573613814	0.632
1.568	1.741	0.3	0.725
1.505	1.898	0.314	0.677
1.471	1.89886716532	0.365708563961	0.568
1.681	1.869	0.3	0.584
1.807	1.974	0.294	0.685
1.754	1.972	0.275	0.668
1.97	1.715	0.287	0.585
1.865	1.967	0.286708563961	0.595
1.95	1.978	0.275435407198	0.501
1.845	1.713	0.329	0.62
1.914	1.929	0.309708563961	0.6
2.103	2.107	0.338125691884	0.654
2.139	1.611	0.332	0.63
2.033	2.071	0.297089288936	0.705
1.948	2.96254940876	0.331	0.629
2.185	2.478	0.3	0.647
2.202	2.265	0.306644494119	0.805
2.202	2.176	0.308874391074	0.756
2.381	2.447	0.35	0.784
2.209	2.04	0.341008650003	0.685
2.148	2.19470597875	0.303	0.815
2.32	1.928	0.338	0.868
2.366	2.047	0.358241503837	0.766
2.472	1.878	0.293708563961	0.704
2.614	1.771	0.328874391074	0.812
2.779	2.106	0.416	0.783
2.667	2.099	0.444825803091	0.789
2.94	2.115	0.307834255846	0.872
2.756	2.077	0.297	0.839
3.093	2.079	0.348	0.967
3.219	2.019	0.309241503837	0.946
3.134	2.046	0.324	0.922
2.869	2.092	0.328	0.955
2.985	2.378	0.269	0.979
3.125	2.315	0.361	1.012
3.986	2.216	0.333	1.16893905111
3.511	2.012	0.334	1.224
3.429	2.403	0.324	1.097
3.644	2.177	0.325	1.023
3.507	2.15743827325	0.348125691884	1.32515712296
3.214	2.176	0.301	1.266
3.516	2.041	0.329	1.156
4.17449975682	2.258	0.276	1.207
3.632	2.044	0.308	1.291
3.891	2.093	0.302	1.452
4.039	1.84	0.291	1.57584951083
3.942	2.003	0.348168992078	1.318
4.298	2.307	0.291	1.336
3.995	2.246	0.332	1.305
4.564	2.263	0.351626878206	1.368
4.59786818198	2.231	0.295	1.42
4.339	2.309	0.354943731972	1.38
4.492	2.131	0.292321936465	1.357
4.733	2.002	0.309874391074	1.497
4.604	1.787	0.291	1.532
4.638	2.079	0.317	1.366
4.367	1.957	0.376	1.468
4.568	1.591	0.313	1.494
4.865	1.876	0.27	1.349
5.092	2.093	0.334	1.533
5.278	2.312	0.359	1.788
5.299	2.36	0.40673613814	1.63292248524
5.66742824737	2.035	0.316	1.688
5.589	2.022	0.31417576911	1.88643316136
5.18	2.212	0.354	1.814
5.268	2.578	0.336	1.601
5.696	2.277	0.344	1.635
5.123	2.25370856396	0.38922490184	1.479
5.78728779994	2.22141712792	0.348	1.525
5.216	2.029	0.328	1.727
4.7613039796	2.065	0.285	1.383
4.807	2.635	0.337412371555	1.508
6.38819426533	2.217	0.326	2.17
6.51765495361	2.206	0.337	1.889
5.44	2.215	0.37953191114	1.47
5.278	2.36	0.426	1.348
4.776	2.303	0.333	1.649
4.332	1.959	0.298	1.367
4.166	1.963	0.311	1.237
3.603	1.816	0.311525904892	1.226
3.642	1.939	0.306	1.16208885434
4.548	2.07	0.307708563961	1.434
5.017	2.043	0.308	1.794
4.138	2.817	0.295	1.389
4.14	2.41	0.309	1.338
6.66468575347	2.799	0.33253191114	2.08625372134
5.36136393937	2.700298222	0.392845830894	1.71756654614
3.35907174205	2.546	0.286	1.066
2.579	2.405	0.243	0.974
2.641	3.17520319811	0.357708563961	1.048
2.595	2.931	0.31	1.022
2.403	2.394	0.318	1.061
2.67	2.072	0.28	1.119
3.754	2.839	0.429	1.693
3.238	2.527	0.379	1.31767464903
3.2	3.15242445419	0.311125691884	1.357
4.399	2.93853905045	0.395	1.881
3.506	2.78571563966	0.345	1.494
3.756	2.773	0.304	1.525
3.597	2.511	0.359	1.534
4.386	2.879	0.54	1.87792404287
3.52	2.246	0.498	1.434
3.19	2.502	0.372	1.282
3.758	2.729	0.499	1.56
2.644	2.712	0.316	1.075
2.493	2.41974197115	0.369	1.002
2.687	2.833	0.405	1.096
2.741	2.446	0.351	1.008
2.719	2.048	0.285	1.002
3.448	1.983	0.298	1.243
5.0902374514	2.34	0.469	1.668
6.95361421234	2.366	0.485744982763	2.00469276982
4.429	2.107	0.317708563961	1.314
4.284	2.349	0.309	1.256
4.99912106069	2.207	0.291	1.309
4.669	2.288	0.292	1.342
4.06297748621	1.972	0.278700636007	1.00149853753
3.488	1.8767372246	0.285	0.965
4.123	2.16	0.316	1.238
4.356	2.098	0.294	1.122
4.752	2.617	0.331	1.412
4.736	2.441	0.426	1.33
5.222	2.23265226828	0.322	1.42
6.616	2.529	0.294708563961	1.779
5.86043947705	2.588	0.307	1.583
4.467	2.405	0.27173613814	1.343
4.662	2.385	0.293	1.285
5.282	2.113	0.261	1.544
5.549	2.126	0.31	1.645
5.788	1.90687439107	0.299	1.687
5.668	1.822	0.314540694028	1.742
6.06925582653	2.14	0.321	1.61
6.575	1.982	0.283	1.652
5.654	1.802	0.316	1.611
5.483	1.701	0.328	1.59188718657
5.126	1.718	0.291	1.47013166534
5.461	1.89068910412	0.301	1.517
5.223	2.28430132558	0.320738852494	1.43853921051
4.722	2.097	0.293	1.601
4.57542103377	2.001	0.276	1.74540574877
4.868	1.87858504814	0.386874391074	1.66
5.008	2.088	0.366	1.648
4.366	1.942	0.315	1.586
4.448	1.952	0.296	1.352
4.799	1.997	0.35	1.33
4.771	1.867	0.295	1.425
4.677	1.67	0.303	1.297
4.329	2.058	0.351	1.345
4.149	1.847	0.344	1.454
4.846	1.596	0.286	1.35
4.347	1.626	0.323	1.319
