EGATA_TP	EGATA_FP	EGATA_TN	EGATA_FN
2.568	0.748	0.169417127923	1.123
2.377	0.868	0.149	1.13114662312
2.364	0.705	0.148	0.987
2.71338025593	0.738	0.233	1.155
2.672	0.779	0.182819747349	1.034
2.533	0.763	0.189992072045	1.106
2.714	0.735	0.181	1.015
2.81923138976	0.85	0.199708563961	1.132
2.731	0.884859817054	0.213	1.04595299662
2.75	0.812	0.23	0.998
2.611	0.856	0.156417127923	0.936
2.71	0.843	0.187708563961	1.16392388553
2.818	0.867	0.146	1.05083507483
2.865	0.797	0.16	1.026
3.03624844163	0.765	0.152	1.12
3.002	0.739	0.144	1.083
3.11	0.951	0.171	1.08452100247
3.004	0.885	0.182	1.024
2.96	0.883	0.188324136805	1.17365309507
3.31	0.876	0.216708563961	1.312
3.376	0.815	0.162	1.175
3.252	0.824	0.224	1.241
3.414	0.902	0.25796486748	1.172
3.205	0.86	0.154826922535	1.347
3.303	0.912	0.232	1.319
3.206	0.794	0.195	1.239
3.188	0.779	0.191	1.3700563775
3.243	0.766	0.211874391074	1.325
3.511	0.897719290995	0.222	1.385
3.303	0.877	0.231543429521	1.119
3.293	0.867	0.269	1.157
3.656	0.869	0.201	1.444
3.378	1.06469940014	0.186	1.207
3.694	0.991	0.229708563961	1.065
3.99510568228	0.973	0.235	1.22089397877
3.63396941223	0.998	0.246874391074	1.183
3.69	0.881	0.32	1.398
4.216	0.986	0.139	1.31249513705
3.654	1.062	0.211874391074	1.41
3.778	0.882	0.191	1.408
4.038	0.889	0.155	1.382
3.917	0.88	0.161719290995	1.381
3.493	0.928	0.159	1.427
3.871	1.0	0.211708563961	1.476
4.006	0.921	0.236	1.402
3.933	0.981	0.188	1.472
4.00438819443	0.872	0.293	1.436
4.028	0.873	0.177	1.58239306144
4.107	1.033	0.176918314244	1.455
4.134	1.064	0.214874391074	1.475
4.433	1.101	0.216	1.467
4.405	0.963	0.177	1.43299207205
3.797	1.095	0.162	1.493
4.124	0.984102754212	0.159	1.536
4.046	1.17348607515	0.178	1.543
3.803	1.211919632	0.182	1.495
4.304	1.163	0.183	1.74
3.932	1.092	0.182	1.565
3.896	1.234	0.16574432812	1.559
4.248	1.08437691236	0.141	1.668
4.591	1.068	0.218708563961	1.576
4.387	1.163	0.16503998498	1.875
4.757	1.05	0.167	1.78453274091
4.494	1.10049902243	0.199	1.76947407239
4.493	1.067	0.179248907441	1.624
4.71780174995	1.026	0.19753191114	1.575
4.418	1.201	0.191	1.691
5.281	1.663	0.164	1.691
5.124	1.32554620288	0.22646615304	1.782
4.573	1.275	0.16	1.727
4.676	1.21	0.202	1.693
4.663	1.345	0.169	1.774
4.501	1.152	0.195708563961	1.846
4.853	1.104	0.193	1.758
5.37976909263	1.228	0.186	1.667
4.664	1.017	0.165	1.665
4.772	1.2	0.129	1.635
5.163	1.219	0.213318077362	1.48
5.702	1.393	0.188	2.153
5.885	1.335	0.2	2.06987341022
4.575	1.166	0.172	1.776
4.788	1.198	0.173	1.825
5.22031145244	1.61976461715	0.248444534853	1.955
4.81436563074	1.256	0.241	1.618
4.102	1.247	0.179	1.538
5.327	1.59141857168	0.319	1.75
5.25	1.56171730505	0.173	1.997
5.45323414465	1.75870271342	0.145	1.839
5.30278652743	1.57574422766	0.18	1.92826700758
5.33726105161	1.533	0.225708563961	1.818
6.287	1.70271660706	0.182	2.04181183508
5.272	1.575	0.208	1.859806211
5.372	1.365	0.166	1.67
3.507	0.97	0.164910985093	1.159
3.12	1.006	0.146	1.13349866427
3.90962642964	1.05	0.15	1.149
3.325	0.86	0.157	1.209
2.52	0.746	0.102	0.966
0.818	0.378	0.0719920720454	0.474
1.501	0.684	0.136	0.676
1.403	0.615	0.116	0.625
0.886	0.394	0.094	0.408
2.67	0.68986860892	0.19	1.02
3.272	0.941	0.158	1.271
4.13705980225	1.226	0.161	1.40646830417
3.223	1.02454934281	0.184	1.328
3.099	1.03311630014	0.141	1.312
4.73976049362	1.33158504814	0.194	1.82
4.944	1.169	0.168	2.068
5.88275825166	1.506	0.204	2.143
5.356	1.344	0.159	1.788
5.28972711406	1.46399184548	0.177531547374	1.94103891879
5.51002029643	1.465	0.156	1.875
6.025	1.53	0.206	1.992
5.062	1.54453980827	0.153	1.823
4.533	1.153	0.189	1.562
4.83153267631	1.11917642145	0.204824811907	1.744
4.816	1.459	0.188241503837	1.721
4.753	1.312	0.188	1.762
5.0151812269	1.426	0.174	1.648
5.61285736114	1.607	0.224	1.951
5.632	1.514	0.227989429394	2.113
4.87	1.236	0.192739622401	1.735
4.618	1.168	0.154678721164	1.63082692253
4.636	1.315	0.19	1.508
4.818	1.286	0.19742684127	1.647
4.51	1.142	0.161	1.474
4.86676639752	1.392	0.184	1.547
4.602	1.289	0.17	1.575
