ELF1_TP	ELF1_FP	ELF1_TN	ELF1_FN
3.438	1.18048162554	0.246	1.17
3.51516155158	1.012	0.246	1.058
3.396	1.12856364834	0.269417127923	1.338
3.36	1.38074213933	0.222	1.39079012649
3.698	1.115	0.273	1.349
3.61	1.27	0.266708563961	1.32
3.71413048327	1.302	0.288	1.89462952359
3.507	1.148	0.291	1.169
3.554	1.175	0.261	1.351
3.777	1.173	0.274	1.301
3.843	1.126	0.238	1.182
3.761	0.896	0.261	1.284
3.576	1.054	0.234417127923	1.258
3.598	0.977	0.236	1.349
3.483	0.926	0.251	1.376
3.20628432305	0.925	0.211	1.402
3.454	1.02	0.247844226121	1.2
3.988	1.078	0.234	1.515
3.862	1.048	0.258	1.521
4.172	0.964	0.283	1.579
4.70711347217	0.965	0.253	1.81540124582
4.082	1.059	0.295	1.596
4.47	1.15	0.251	1.524
4.157	1.127	0.282	1.485
4.37242552923	1.17	0.238	1.58685828186
4.452	1.289	0.301	1.66480639667
4.587	1.192	0.234	1.282
4.544	1.422	0.248	1.18
4.518	1.314	0.278	1.101
4.884	1.377	0.245	1.411
5.093	0.98	0.248	1.42
4.69361666257	0.987	0.24374432812	1.362
4.364	1.027	0.213	1.518
4.40146243417	0.917	0.271	1.495
3.974	0.891	0.502952801238	1.535
3.955	1.19	0.256	1.382
4.31901907062	0.977	0.257	1.354
4.51	1.103	0.229	1.406
4.84186240389	1.258	0.236	1.384
4.799	1.097	0.232	1.475
4.915	1.442	0.257	1.478
4.655	1.36	0.275	1.471
4.446	1.244	0.258	1.559
5.0893470165	1.619	0.245	1.65
5.26889137919	1.346	0.282	1.747
5.09514526522	1.326	0.252	1.843
4.997	1.135	0.266	1.874
4.845	1.02644629061	0.229708563961	1.777
5.221	1.029	0.283	1.851
5.286	1.178	0.242708563961	1.729
5.225	1.164	0.213	1.77
5.30077942224	1.061	0.243	1.809
5.386	1.249	0.221	1.648
5.271	0.927	0.28	1.658
5.117	1.004	0.249	1.921
4.873	1.159	0.22573613814	1.742
4.867	1.075	0.264585048143	1.752
5.06254733578	1.027	0.251	1.571
5.368	1.021	0.272955970521	1.623
5.66831230145	1.35521010054	0.246008650003	1.668
5.451	0.967	0.227	1.792
5.717	1.023	0.242	1.764
5.667	1.101	0.227	1.854
5.933	1.024	0.221	2.55282778185
5.56521691139	1.147	0.207	1.756
5.57	1.385	0.242	1.762
5.447	1.263	0.276708563961	1.89
5.642	1.26529403599	0.24	1.82453267174
5.35	1.157	0.298	1.799
5.797	1.165	0.217	1.754
5.87210112844	1.208	0.236	2.20041712792
6.27	1.127	0.264	2.162
6.128	1.183	0.274	1.97
6.0	1.039	0.277	2.156
5.995	1.081	0.284	1.961
5.537	1.22035903481	0.245	1.662
5.484	1.147	0.25	1.701
6.214	1.327	0.256	1.834
5.82838388694	1.156	0.256	1.723
6.215	1.141	0.234	1.763
6.608	1.16175804341	0.299804413049	2.15
6.259	1.156	0.272	1.664
5.437	0.973	0.236	1.683
5.519	0.968	0.248708563961	1.804
5.037	1.095	0.23	1.844
5.242	1.156	0.242	1.713
5.687	1.144	0.274	2.041
5.67	1.231	0.311	1.842
6.02094476751	1.262	0.262	1.77614212397
6.235	1.337	0.283	1.694
6.083	1.64	0.251	1.849
6.009	1.16701273509	0.292	1.708
5.564	1.243	0.293	1.751
4.869	1.052	0.258	1.623
5.601	1.316	0.277	1.844
4.224	1.042	0.232	1.676
3.015	0.816	0.184	0.994
4.47104531892	0.781	0.117	0.877
5.49295889639	1.03	0.223	1.89490257003
4.191	0.873	0.181	1.741
2.514	0.558	0.141	1.025
4.481	0.896	0.212	1.68
5.397	1.052	0.242	1.946
4.1611076453	0.65	0.145	1.072
3.296	0.835	0.167	1.185
4.476	1.189	0.185	1.58991831424
5.962	1.325	0.280656231564	1.871
5.243	1.034	0.274	1.546
5.6734184998	1.172	0.266	1.64664749648
6.246	1.162	0.261	1.549
6.452	1.114	0.284	1.74368171731
6.875	1.354	0.278	1.817
6.321	1.172	0.279734600752	1.755
6.256	1.39673846872	0.258396477452	1.72
6.036	1.194	0.314	1.814
5.771	1.112	0.231	1.504
4.771	1.046	0.242	1.468
4.986	1.11829554168	0.24	1.4
5.216	1.12	0.247	1.511
6.55334698272	1.306	0.291847665168	1.77887439107
6.391	1.307	0.31	2.09470856396
6.361	1.22099904084	0.26	1.938
5.779	1.083	0.253874391074	1.727
5.83745923591	1.22731798739	0.22	1.853
5.886	1.11	0.245	1.747
5.628	1.153	0.241	1.803
5.523	1.111	0.28	2.277
5.42196555471	1.0	0.274696249925	1.68
5.535	1.078	0.297	1.644
5.66	1.20124174883	0.234	1.564
5.01453296394	1.158	0.217652076409	1.535
5.644	1.149	0.238	1.569
5.389	1.211	0.205	1.609
5.338	1.232	0.201	1.57
5.28960777161	1.145	0.241	1.612
5.316	1.275	0.232	1.70864772286
5.368	1.115	0.275459739553	1.69935041184
5.151	1.01765855231	0.28	1.816
4.948	1.052	0.275	1.6
5.02993815525	1.089	0.27	1.73864877823
5.054	1.17395905823	0.285708563961	1.72165104019
5.509	1.046	0.268	1.801
5.457	1.18	0.245	1.826
4.997	1.206	0.246	2.0768471328
5.602	1.215	0.245	2.02
5.37	1.38856176506	0.265	1.635
5.046	1.27	0.214708563961	1.597
5.67653952919	1.369	0.231	1.5
4.953	1.218	0.258	1.484
5.459	1.284	0.233	1.352
4.803	1.169	0.245	1.4
4.697	1.321	0.212	1.405
4.91206887886	1.157	0.243	1.37
4.805	1.051	0.257	1.451
5.214	0.947	0.254	1.348
4.982	1.073	0.286	1.344
4.743	0.987	0.243	1.283
4.666	1.002	0.228	1.379
5.001	1.028	0.258	1.446
5.027	1.38135756934	0.243	1.322
5.07	1.357	0.257	1.378
4.355	1.459	0.25	1.377
4.856	1.349	0.261	1.32928947334
4.546	1.353	0.222	1.324
4.311	1.342	0.247	1.256
4.59839431725	1.298	0.223874391074	1.29
4.405	1.298	0.258	1.349
4.578	1.53788484023	0.253	1.235
4.307	1.166	0.277	1.432
4.848	1.224	0.247	1.409
4.494	0.99	0.258549866923	1.32
4.323	1.004	0.309	1.205
4.462	1.036	0.24	1.399
4.315	1.028	0.26873613814	1.51314620746
4.524	1.054	0.227	1.32
4.382	0.973	0.277	1.454
4.584	1.08348517173	0.255	1.445
4.44	1.098	0.284	1.352
4.381	1.084	0.279	1.518
4.472	1.105	0.269	1.374
4.097	1.00629075523	0.249	1.242
3.881	1.102	0.255	1.253
4.04953961295	1.142	0.234	0.985
4.05	1.012	0.237	1.061
4.627	1.108	0.25	1.143
4.82852780014	1.011	0.197	1.206
4.12	1.256	0.277	1.222
4.71	1.06066500756	0.271	1.121
4.365	1.014	0.241	1.32
4.184	1.198	0.228	1.222
4.47	1.132	0.261	1.113
4.57345918473	1.006	0.273299709319	1.193
4.332	1.004	0.262	1.013
4.89757619953	1.013	0.238	0.992
4.23	1.039	0.23438491637	1.243
3.77	1.26798327264	0.243	1.842
