ELK1_TP	ELK1_FP	ELK1_TN	ELK1_FN
5.65468719916	2.598	0.345	5.21153846154
6.003	2.457	0.349910602945	6.01923076923
6.343	2.465	0.344469221946	5.56816520278
6.43763296281	2.466	0.315	5.09615384615
6.29871806169	2.432	0.275019393273	4.56730769231
6.942	2.80898659138	0.291708563961	3.76923076923
6.94866644962	2.94	0.309	4.61538461538
6.588	2.913	0.359	5.28846153846
6.262	3.242	0.248708563961	5.24038461538
6.74765496238	3.19152931988	0.252554027642	5.01923076923
6.969	3.165	0.284	5.625
6.639	2.781	0.235	5.125
7.07049994562	2.691	0.284007453335	4.80769230769
6.651	2.828	0.295	4.89423076923
6.244	2.872	0.308648778229	5.89423076923
7.30026316776	3.518	0.39673613814	5.93269230769
6.836	2.874	0.482483627234	6.40756203549
7.11729985076	3.11415891521	0.384	5.44230769231
6.642	3.151	0.258	4.23076923077
7.115	3.395	0.241	4.70192307692
7.32063213005	3.51195634971	0.315	5.16346153846
7.276	3.388	0.295	5.41346153846
6.905	2.91	0.314	4.63461538462
6.804	2.908	0.316	5.26923076923
7.563	3.041	0.277	6.73467128289
7.631	3.192	0.247	5.08653846154
7.079	3.4	0.309	5.55769230769
7.72024881632	3.161	0.284	4.98076923077
8.00693608263	3.142	0.271	5.54807692308
8.369	3.03	0.243	5.04807692308
7.727	2.889	0.255	4.67307692308
7.699	3.098	0.334	7.33653846154
7.935	2.893	0.321	6.69230769231
7.761	3.068	0.308554027642	8.0
8.119	2.62	0.364708563961	6.93269230769
8.199	2.68	0.361	5.625
8.139	2.724	0.329	7.32692307692
9.018	2.68486000285	0.307	6.03846153846
8.638	2.701	0.349	6.09615384615
8.413	2.954	0.264	5.63461538462
8.822	3.458	0.256	6.38461538462
8.015	3.296	0.31	9.88461538462
8.061	3.065	0.253	6.34615384615
8.763	2.924	0.319	7.95192307692
8.73989137919	2.678	0.265	8.77884615385
8.394	2.824	0.277	9.30769230769
8.386	2.842	0.329708563961	7.07692307692
8.731	2.735	0.253	5.06730769231
8.865	2.996	0.306	6.46153846154
9.107	3.056	0.305	5.53846153846
8.913	3.01877942224	0.319	5.75
8.407	3.148	0.302874391074	7.94230769231
9.158	3.399	0.333	7.89423076923
8.37417647152	3.383	0.269	7.22115384615
8.985	3.123	0.289	6.25
8.876	2.986	0.298648778229	7.16346153846
9.373	4.17830883361	0.288	7.19230769231
9.909	3.78	0.253	6.99038461538
9.245	3.63	0.296	6.80769230769
9.719	4.17	0.295	6.85576923077
9.506	3.462	0.27	7.96153846154
9.61948856969	3.237	0.275	6.81730769231
9.954	3.396	0.279655246179	7.72115384615
9.355	3.363	0.265	8.09615384615
9.4192990696	3.17	0.284378294669	7.69230769231
9.632	3.122	0.277	7.66346153846
9.024	3.238	0.307	6.85576923077
9.82799398564	3.292	0.418	6.88461538462
10.399	3.65791326776	0.347	7.55769230769
9.65694127381	3.661	0.329	8.79807692308
9.403	3.834	0.339708563961	9.29807692308
9.71729150123	3.748	0.327	8.29807692308
9.298	3.52438893055	0.482	8.01923076923
11.2482039461	3.471	0.275	11.8450352431
10.509	3.16420249564	0.31	6.93269230769
9.883	3.033	0.379	6.89423076923
10.123	3.306	0.268	7.57692307692
8.849	3.42140592633	0.31	5.375
10.725	3.612	0.416	7.125
12.559	3.804	0.400678721164	13.1032698278
12.5826699881	4.215	0.323	9.29807692308
10.845	3.76904601753	0.285	6.17307692308
9.046	3.241297242	0.276	8.125
8.112	2.75974270605	0.240708563961	7.10576923077
7.91	2.897	0.252	6.86538461538
9.211	3.708	0.313923042971	6.22115384615
10.178	3.753	0.308919620366	7.03846153846
10.289	3.936	0.309	6.64423076923
11.1946346145	4.498	0.34	7.875
11.225	4.80903989482	0.3	7.83653846154
11.146	4.376	0.27	7.46153846154
10.194	3.81682692253	0.289	6.81730769231
9.02	3.711	0.275	5.43269230769
9.36	3.6281220154	0.28	5.32692307692
8.954	2.946	0.271	5.48076923077
5.534	2.161	0.194	4.53846153846
4.97	1.98	0.143	4.78846153846
6.13027329396	2.155	0.19	3.92307692308
9.342	4.00695889639	0.309	9.84615384615
7.828	3.166	0.331239078666	8.39423076923
8.25652524175	3.761	0.342	7.65384615385
9.694	3.933	0.475	10.1154163969
5.867	2.813	0.247	3.96153846154
5.289	1.862	0.34	3.50961538462
5.332	1.872	0.266	4.5
8.479	3.094	0.451	6.66346153846
8.69248569644	3.219	0.339	6.20192307692
8.234	3.418	0.306708563961	6.48076923077
9.78887628714	3.713	0.316397729442	8.29807692308
9.978	3.254	0.265708563961	8.52884615385
12.108	3.572	0.309	7.38461538462
11.853	3.59	0.334493840984	9.86538461538
10.037	3.505	0.262	8.45192307692
11.5217111921	3.473	0.268397729442	7.68269230769
10.2010514867	3.01539772944	0.268	6.49038461538
7.42073292508	2.633	0.273	6.72115384615
8.086	2.954	0.26	5.48076923077
9.172	3.402	0.291	6.61538461538
10.424	3.526	0.27	8.03846153846
14.7288707769	4.413	0.348	9.19655807376
14.8712723683	4.354	0.403	8.08653846154
11.309	3.45	0.299214596362	6.82692307692
9.77	2.967	0.221	7.35576923077
11.3780102986	3.202	0.268	7.20192307692
11.169	3.181	0.346	7.18269230769
10.645	3.487	0.32	7.125
10.4584944048	3.203	0.284	6.91346153846
10.015	3.503	0.377	9.22115384615
10.0200923437	3.466	0.310444702102	7.125
10.2501475757	3.599	0.278	7.75
9.997	3.25953296394	0.277708563961	7.40384615385
10.6523459212	3.48404323105	0.294	5.92307692308
9.516	3.68322027112	0.291	6.53846153846
