FOSL1_TP	FOSL1_FP	FOSL1_TN	FOSL1_FN
1.521	0.6	0.235417127923	1.103
1.734	0.656	0.245	1.071
1.904	0.63	0.223	1.107
1.99	0.746	0.246	1.217
1.871	0.82	0.252125691884	1.136
1.938	0.757	0.255	1.173
2.206	0.77	0.228	1.297
2.106	0.806	0.225	1.337
1.834	0.729	0.265	1.208
2.082	0.723	0.281	1.056
2.318	0.817	0.227	1.181
1.866	0.846	0.267	1.248
2.358	0.933	0.242	1.022
2.131	0.866	0.263170096286	1.102
1.867	0.786	0.251	1.322
2.45282969197	0.905	0.231	1.505
2.272	0.827	0.201	1.52
2.071	0.879	0.259862311647	1.337
2.241	0.895	0.219	1.286
2.383	0.829	0.266708563961	1.486
2.16	0.883	0.255708563961	1.242
2.576	0.762	0.245	1.332
2.907	0.805	0.211	1.193
2.364	0.839	0.205	1.392
2.421	0.985	0.258	1.63
2.442	0.711	0.233963480167	1.707
2.478	0.767	0.203924780344	1.413
2.773	0.795	0.276874391074	1.335
2.492	0.785	0.203	1.579
2.524	0.813	0.212938443892	1.749
2.722	0.784	0.275	1.649
3.036	0.795	0.254	1.699
2.607	1.004	0.197	1.509
2.86	1.021	0.233	1.57
3.165	0.755	0.202	1.534
3.31	0.923407463176	0.222	1.708
3.152	0.808	0.221	1.618
2.939	0.742	0.203	1.774
2.695	0.751	0.223	1.735
2.783	0.772	0.209	1.855
3.406	0.873	0.234417127923	1.785
3.51278318881	0.953	0.24	1.935
2.815	0.891	0.235	1.825
2.849	0.782	0.241	1.891
2.866	0.93	0.241	1.907
2.765	0.93	0.268	1.687
3.503	0.929	0.256648778229	1.8
3.162	0.892	0.240739622401	1.817
3.212	0.91	0.229	2.13812858302
3.002	0.944	0.275	1.865
3.264	0.856	0.255	1.69061248355
3.474	1.074	0.325	2.006
3.277	0.898	0.30073613814	2.219
3.044	0.873	0.332	1.959
3.145	0.976	0.243	2.131
3.506	0.89	0.263	1.804
3.638	1.03	0.312	1.86944614078
3.63292472238	0.782	0.327	2.196
3.971	1.014	0.243	2.071
3.909	1.004	0.269	2.093
3.874	0.9	0.219	2.103
3.357	0.937	0.252	2.001
3.844	0.993	0.184	1.857
3.917	0.918	0.195	1.899
3.567	0.902	0.223	2.29605960744
3.818	0.931	0.2	2.083
3.394	0.94402168823	0.194	2.025
3.587	0.843	0.23	2.077
3.738	0.86	0.231	2.144
3.855	1.006	0.295	2.28
3.846	1.109	0.25	2.035
4.166	1.291	0.251	2.702
4.108	1.287	0.195	2.248
3.826	1.149	0.209	2.302
4.49	1.046	0.228660378587	2.879
3.76541781169	1.02383425585	0.22	3.04136851456
4.134	1.007	0.242	2.438
4.12	1.29736632912	0.204	2.11294360642
3.89	1.158	0.173	2.393
2.629	0.895	0.193	1.866
3.296	1.053	0.265	2.155
4.27290815236	1.22298629658	0.227585048143	2.476
4.246	1.63426250154	0.194	2.563
4.255	1.241	0.198	2.614
4.65	1.57441008282	0.286640574982	3.26
5.66165872798	1.586	0.252	3.006
5.06	1.318	0.235	2.58612013524
4.378	1.44525362213	0.238798998462	2.702
4.708	1.124	0.22	2.608
4.766	1.108	0.261	2.381
4.583	1.13	0.244	2.464
4.7	1.14	0.253	2.736
5.262	1.132	0.269	2.59
3.841	1.134	0.232	2.09443106643
4.122	1.286	0.237	2.553
3.35	0.99	0.256	2.697
2.249	0.884	0.196	1.823
2.409	1.08	0.193	1.645
4.589	1.586	0.386084953151	3.042
2.362	0.638	0.146	1.709
1.284	0.416	0.136	0.826
2.304	0.787	0.167	1.603
4.81	1.509	0.367	3.096
2.412	0.785	0.203417127923	1.744
2.482	0.659	0.203	1.559
3.729	0.926601623132	0.211	2.153
3.96	1.109	0.307	2.313
3.67287027756	1.128	0.286	2.026
5.106	1.13	0.245	2.329
5.19616962627	1.387	0.28	2.357
5.60488690983	1.058	0.214	2.90670454651
4.83288137837	1.19645370988	0.243	2.738
5.17186445601	1.353	0.25	2.595
5.068	1.254	0.193	2.26
4.88352124086	1.406	0.250159508891	2.39301471544
5.257	1.484	0.319304121984	3.016
5.184	1.423	0.3	2.789
4.629	1.319	0.238	2.55190984462
5.268	1.331	0.288	2.369
4.282	1.346	0.279708563961	2.323
3.446	1.182	0.182	2.06
2.596	0.942	0.119	1.574
4.238	1.292	0.174417127923	2.223
3.666	1.548	0.184251383768	1.829
4.2	1.316	0.233	2.279
3.976	1.297	0.217	2.22
4.44054182914	1.237	0.248	2.284
4.368	1.545	0.238	3.1792522693
3.94	1.196	0.205	2.211
4.078	1.149	0.249413171937	2.063
4.281	1.161	0.264296368042	2.111
3.762	1.063	0.236	2.052
4.016	1.06089247956	0.229	2.305
4.011	1.425	0.243	2.023
3.845	0.985	0.247	1.995
3.888	1.263	0.238	2.15695903096
4.075	1.073	0.254	1.946
3.812	1.126	0.187	1.996
3.553	1.048	0.218	1.8088766304
3.736	1.08	0.219	1.93983424295
3.189	1.12	0.190556229129	1.816
3.174	1.004	0.175	1.798
3.544	1.217	0.208	1.975
3.284	1.434	0.234	1.983
3.559	1.014	0.21	1.981
3.595	1.021	0.298	2.179
3.34009582549	1.021	0.257	1.844
3.073	0.998	0.277	2.019
3.682	1.163	0.28	2.26454784029
3.398	1.042	0.296	2.203
3.325	0.95	0.286585048143	2.022
3.252	0.913	0.294	2.047
3.306	1.01	0.27	2.079
3.134	0.988	0.224	2.16603426384
3.055	0.886	0.21	2.156
3.046	1.03153266069	0.241	2.045
3.236	0.998	0.239708563961	1.988
3.293	0.979	0.182	1.594
2.836	0.979	0.216	1.549
3.241	0.858	0.198	1.61
3.324	1.012	0.244	1.689
3.106	0.98631640279	0.25173613814	1.498
3.074	1.21287247789	0.187	1.67
2.811	1.117	0.228	1.458
2.892	0.934	0.223	1.569
2.868	0.899	0.259	1.64
2.958	0.957	0.26	1.627
2.886	1.016	0.224	1.889
2.731	1.026	0.236	1.749
2.674	0.84	0.188874391074	1.709
2.499	0.906	0.226	1.953
2.593	0.984	0.22	1.582
2.626	0.779	0.242282895286	1.484
2.761	0.855	0.21	1.509
2.705	0.854	0.201	1.46
2.733	0.68	0.246	1.293
2.623	0.709	0.187	1.771
2.683	0.884	0.197	1.552
2.616	0.743	0.207	1.466
2.179	0.941	0.233	1.381
2.517	0.783	0.223	1.333
2.598	0.777	0.23	1.454
2.438	0.757	0.187417127923	1.415
2.541	0.69	0.239	1.243
2.534	0.64	0.201	1.184
2.368	0.777	0.227	1.195
2.792	0.642	0.24	1.147
2.521	0.674	0.22	1.263
2.527	0.804475169343	0.204	1.195
2.369	0.66	0.272354157517	1.209
2.245	0.654	0.213	1.115
2.412	0.601	0.239	1.282
2.287	0.688	0.217	0.998
2.472	0.72	0.237	1.109
2.345	0.755	0.224	1.04
2.496	0.763	0.264	1.034
2.06	0.738	0.247	1.276
2.257	0.647	0.208	1.107
2.199	0.665	0.210585048143	1.194
2.60199640058	0.669	0.201	1.19150556201
