GABP_TP	GABP_FP	GABP_TN	GABP_FN
5.287	1.95385474125	0.372123080707	2.295
4.979	1.807	0.402708563961	2.327
5.254	1.891	0.400224953446	2.266
4.868	1.597	0.32173613814	2.42363869386
5.065	1.783	0.33	2.082
5.017	1.969	0.328708563961	2.179
5.703	1.778	0.302	1.976
5.883	2.03289997059	0.338	2.037
5.893	1.871	0.314	2.22
5.76	1.9389630031	0.291	2.53157833742
5.892	1.716	0.306	2.156
5.759	1.534	0.367397729442	2.403
6.34	1.642	0.309708563961	2.55
6.19903403104	1.672	0.33	2.278
6.17917428128	1.814	0.325567105397	2.283
5.634	1.567	0.321	2.44
6.041	1.769	0.253	2.229
6.2011570008	1.79194836653	0.336	2.355
5.855	2.008	0.36	2.397
6.49821382388	1.937	0.411	2.36381349786
5.91	2.084	0.49	2.464
5.719	1.928	0.501	2.56
6.706	1.826	0.352009189819	2.417
6.71	2.0	0.306	2.352
6.231	2.138	0.314	2.729
6.746	1.883	0.353	2.686
6.33	1.842	0.319708563961	2.745
6.41644201716	1.96947680615	0.345	2.893
6.304	1.748	0.334	2.89943566223
6.43	1.999	0.283	2.705
6.603	2.14624698886	0.269	3.022
6.503	2.068	0.342	2.786
6.518	1.978	0.339	2.75799187024
7.022	1.84201907062	0.362	2.52
7.016	1.814	0.34	2.938
7.007	1.611	0.328	2.566
7.02803713762	1.965	0.303	2.607
8.23819121299	1.851	0.339297838507	2.811
7.15	1.896	0.338	2.417
7.372	1.724	0.296	2.736
7.661	2.07735681473	0.292	2.496
7.88817585499	2.209	0.336	2.472
7.603	1.988	0.333	2.623
7.416	2.244	0.3	2.703
7.597	1.93551273604	0.279	2.507
7.778	2.147	0.28	2.719
7.884	2.268	0.319	2.819
7.189	2.492	0.325	2.66
7.219	2.116	0.32	2.709
8.025	2.117	0.324	2.702
8.072	2.23592495917	0.335	2.75
7.936	2.003	0.41	2.695
8.83712869338	2.19862575255	0.316	2.96
8.515	2.363189451	0.315832968925	3.124
7.659	2.13101194589	0.409	3.002
7.569	1.832	0.309660118027	2.76559942203
8.884	1.989	0.337	3.126
7.795	2.153	0.285	3.131
7.994	1.999	0.332	2.775
7.958	1.967	0.285	3.06049343424
8.62498863463	1.88673979571	0.29	2.944
8.53404629884	2.1957494993	0.303110799653	2.795
8.328	2.19	0.329	3.03
8.751	2.435	0.316	3.385
8.80593779619	2.338	0.276	3.155
8.468	2.249	0.338	3.525
8.804	2.215	0.34	3.559
8.53128351515	2.34	0.308	3.394
8.085	2.563	0.320335201625	3.27509477221
8.444	2.528	0.325	3.662
8.438	2.054	0.27	3.609
8.334	2.161	0.318	3.574
8.056	2.351	0.288	3.561
