MAFF_TP	MAFF_FP	MAFF_TN	MAFF_FN
1.253	0.655	0.197708563961	0.227
1.18	0.669	0.186	0.282
1.125	0.674	0.205	0.311662929934
1.228	0.671	0.178	0.29
1.265	0.703221325529	0.241	0.261
1.309	0.695	0.173	0.28
1.36712788641	0.705	0.208	0.283
1.306	0.77	0.183	0.258
1.449	0.671	0.182	0.315422004185
1.337	0.649	0.237	0.304
1.527	0.62	0.252	0.336064627113
1.543	0.616	0.204585048143	0.304
1.51543344327	0.641	0.251	0.301
1.59616400671	0.869250323636	0.195	0.353
1.441	0.807	0.182	0.291876148712
1.52	0.667	0.159	0.313
1.696	0.661	0.145417127923	0.412
1.471	0.712	0.236	0.377
1.51	0.727	0.19035097905	0.351867412008
1.527	0.751	0.187	0.324
1.598	0.685	0.282	0.306
1.861	0.722	0.266	0.32756877144
1.684	0.778	0.225	0.284
1.715	0.755	0.19	0.334
1.752	0.664	0.243	0.33
1.91195124101	0.747	0.24	0.385
1.811	0.76	0.22773613814	0.357
1.748	0.711	0.247	0.39
1.789	0.759	0.226	0.379428418716
1.586	0.812906792782	0.239	0.354
1.766	0.704	0.213	0.356
1.883	0.811	0.22235097905	0.419
1.934	0.813	0.227	0.378
1.551	0.675	0.224	0.318
1.691	0.685	0.177	0.309
1.687	0.777	0.2	0.299
1.721	0.805	0.213993784161	0.366
1.907	0.739	0.24	0.309
1.816	0.84	0.355708563961	0.397
1.842	0.83	0.33573613814	0.392
1.75	0.945	0.252	0.376
1.807	0.787	0.232739622401	0.334
1.847	0.78	0.232	0.392
1.799	0.803	0.191	0.374
1.905	0.748	0.236	0.438533218337
2.071	0.753	0.241	0.453
1.908	0.786	0.196	0.438
1.928	0.746	0.197	0.412
2.03	0.889	0.21	0.337
1.88709834759	0.795	0.261	0.408
1.907	0.812	0.177	0.397
1.952	0.891	0.218	0.495523333892
2.34	0.819	0.236168992078	0.448
2.089	0.802	0.254	0.405
2.152	0.748	0.259	0.425910985093
1.894	0.814	0.233	0.429
1.961	0.843	0.173	0.48
2.055	0.845	0.203	0.421
2.127	0.849537340472	0.206	0.387561020191
2.064	0.905	0.245	0.420992072045
2.16342932414	0.88	0.244	0.407
2.285	0.842	0.20173613814	0.485463210224
2.191	0.759	0.215	0.471
2.16	0.862	0.209	0.506789401205
2.109	0.916	0.174	0.498
2.195	0.919	0.181	0.499
2.081	0.834	0.202	0.413
2.099	0.891454936837	0.205708563961	0.452
2.029	0.867	0.174	0.454
2.22553851898	0.859	0.218	0.346
2.303	0.714	0.228	0.411
2.128	0.834	0.212	0.494
2.319	0.826	0.159	0.485
2.236	0.823978720818	0.177	0.42
2.285	0.775	0.167	0.436
1.989	0.836	0.151	0.422
2.685	0.764	0.195	0.443
2.355	0.747007453335	0.149	0.469595448492
2.6566980776	0.752798244706	0.256094960858	0.520918314244
2.748	0.75	0.224	0.505
2.774	0.938	0.404554027642	0.705469221946
3.11	0.959	0.246	0.711441429601
2.357	0.781	0.15	0.484978265122
2.208	0.814	0.151	0.453
2.257	0.807	0.222751866951	0.46349013875
2.39	0.940708563961	0.204	0.49
2.462	1.043	0.186	0.44
2.698	1.031	0.202	0.461
2.83824100747	1.149	0.192	0.521
2.31148898185	1.073	0.237	0.557933880688
2.058	0.971	0.198	0.39
1.71484774604	0.766	0.181	0.379
1.611	0.795	0.146	0.356
1.611	0.702	0.138	0.355
1.633	0.698708563961	0.150708563961	0.303950213118
1.1	0.502	0.1	0.165
0.961	0.613	0.15	0.254
1.035	0.635	0.127	0.272
1.95	1.164	0.324708563961	0.44
1.388	0.934	0.192	0.411
1.314	0.853	0.166	0.388
