NFE2_TP	NFE2_FP	NFE2_TN	NFE2_FN
2.042	0.824	0.228	0.93
1.793	0.9	0.172708563961	0.975
1.956	0.936	0.178	0.916
1.915	0.982	0.21	0.935
1.96	0.882708008418	0.21	1.07
2.152	0.997	0.195610529215	1.074
2.308	1.23163183618	0.165	0.923
2.28111077484	0.907	0.204306097808	1.12722738326
2.271	0.945	0.214860041839	1.038
2.506	0.984	0.167	0.926
2.356	0.905	0.197	0.965
2.233	0.989	0.180708563961	1.061
2.382	1.048	0.178	1.053
2.58358761901	0.911	0.219740959554	1.005
2.682	0.988	0.189585048143	1.035
2.485	0.907	0.196	0.93
2.455	1.016	0.174417127923	1.155
2.49	1.02	0.198584446009	1.204
2.509	1.41348940929	0.193591709388	1.118
2.287	1.155	0.209	1.278
2.461	1.027	0.17	1.434
2.814	1.096	0.153	1.1750147438
2.889	1.04	0.184	1.268
2.686	1.073	0.200708563961	1.229
3.038320877	1.069	0.179	1.248
3.26195124101	1.19335998362	0.199708563961	1.221
3.019	1.063	0.152	1.365
3.169	1.18	0.178	1.431
3.185	1.341	0.195	1.62
2.983	1.167	0.152454936837	1.47
2.907	1.246	0.177874391074	1.383
2.823	1.211	0.187	1.475
2.668	1.31	0.169	1.557
3.165	1.142	0.173	1.555793579
3.022	1.133	0.220328113016	1.626
3.02146628272	1.292	0.183	1.564
3.296	1.133	0.167	1.629
3.104	1.3306317335	0.184	1.684
2.874	1.385	0.18	1.505
2.916	1.38720689469	0.18	1.456
3.009	1.317	0.227	1.615
3.16524834177	1.181	0.17273613814	1.574
3.054	1.205	0.212	1.497
3.113	1.393	0.215	1.585
3.074	1.467	0.164	1.693
3.336	1.227	0.208	1.86558468094
3.271	1.452	0.182	1.824
3.194	1.567	0.193	1.831
3.363	1.461	0.164	1.663
3.431	1.446	0.187874391074	1.72
3.313	1.331	0.188	1.685
3.355	1.365	0.201	1.851
3.699	1.288	0.221748782148	1.768
3.532	1.415	0.185874391074	1.786
3.85183315042	1.509	0.212	1.897
3.61	1.496	0.202	2.064
3.344	1.462	0.188245249919	1.94
3.596	1.293	0.219585048143	1.932
3.655	1.471	0.177	2.132
3.554	1.351	0.21	2.01993625035
3.58542932414	1.36687387623	0.163	2.222
3.64232579626	1.464	0.174	2.13
4.097	1.446	0.188	2.116
3.575	1.45000032558	0.231708563961	2.261
3.928	1.462	0.256	2.177
4.046	1.459	0.208669520037	2.267
3.853	1.387	0.224	2.33
3.987	1.35573637032	0.222	2.229
4.117	1.4	0.149	2.279
3.89	1.43	0.173	2.325
4.137	1.431	0.257	2.144
4.175	1.343	0.216708563961	2.621
4.135	1.463	0.237708563961	2.627
4.00448843196	1.491	0.219	2.258
3.69035851174	1.454	0.204	2.183
3.805	1.55	0.222	2.16380495698
3.285	1.206	0.165	2.076
4.481	1.542	0.23	2.412
5.41751293501	1.6931278076	0.220743981807	2.54114785778
5.089	1.95268648192	0.232	2.482
5.12431538699	1.74	0.22	2.649
5.25	1.72777843373	0.243752367824	2.7054414296
4.7853414478	1.607	0.299	2.384
4.57	1.55927014504	0.173	2.279
4.18669810556	1.57711828456	0.217585048143	2.355
4.523	1.516	0.254	2.272
4.362	1.549	0.235	2.282
5.09437669803	1.677	0.236321936465	2.483
6.224	1.97	0.269	3.29241907529
5.54343429858	1.943	0.209	2.68605234528
3.86355620156	1.571	0.211	1.597
3.64422766133	1.602	0.203	1.773
3.197	1.563	0.213827501908	1.59
2.421	1.125	0.211770528952	1.493
2.192	1.21241712792	0.193	1.078
2.274	1.729	0.182	1.387
1.768	1.132	0.146	1.029
1.793	1.126	0.183	0.977
2.123	1.41073642304	0.175	1.162
2.708	1.726	0.268	1.656
1.972	1.209	0.174	1.24
2.714	1.639	0.233193762005	1.619
2.247	1.348	0.19	1.306
1.93	1.034	0.19	1.089
1.734	0.991	0.166	0.971
2.435	1.669	0.182	1.246
2.072	1.41096478317	0.218	1.166
2.731	1.431	0.185	1.405
3.344	1.642	0.172	1.847
3.425	1.917	0.205	1.903
3.325	1.85292998155	0.156	1.861
5.79067034011	2.018	0.211	2.89237461132
6.84183606183	2.16468182077	0.357	3.58519066694
5.298	2.06494734273	0.199	2.567
4.562	1.76422685494	0.178602439258	2.34689139311
4.623	1.648	0.166	2.245
4.51	1.598	0.149	2.268
4.639	1.656	0.223	2.426
4.80466711355	1.69	0.186	2.34046200952
5.152	1.978	0.225708563961	2.74339240794
4.895	2.05	0.196	2.683
5.313	1.991	0.242	2.693
5.052	1.653	0.224	2.478
4.449	1.487	0.207	2.128
4.02710792	1.335	0.881902231767	1.952
3.849	1.412	0.318	2.149
3.55	1.38606004205	0.216657603025	2.18
3.901	1.411	0.321415832708	2.105
4.164	1.291	0.2	2.267
4.180777571	1.461	0.208708563961	2.234
4.15	1.628	0.19	2.326
4.509	1.562	0.204	2.145
4.242	1.404	0.229	2.083
4.168	1.72	0.215	2.15
4.132	1.392	0.191417127923	2.115
3.872	1.30894623978	0.212	2.153
4.22	1.592	0.22	1.947
4.191	1.526	0.213417127923	2.092
3.878	1.398	0.214	1.974
4.125	1.576	0.174	2.038
4.505	1.708	0.182644494119	2.151
4.431	1.329	0.192	2.005
4.023	1.389	0.182	1.993
3.931	1.29	0.192708563961	2.292
3.919	1.207	0.175	2.129
3.986	1.228	0.219	1.947
3.93540274949	1.32	0.206	1.949
3.624	1.267	0.209	1.924
3.45631137349	1.362	0.204	1.757
3.988	1.279	0.227	1.826
3.56	1.233	0.232708563961	1.662
3.373	1.54455379034	0.251002176066	1.82
3.598	1.3067679459	0.198491059327	1.829
3.316	1.308	0.196708563961	1.75224401381
3.715	1.286	0.215	1.709
3.538	1.27789385621	0.214554027642	1.687
3.563	1.262	0.246585048143	1.574
3.42	1.275	0.203	1.688
3.343	1.279	0.218708563961	1.58689896976
3.481	1.436	0.208	1.601
3.206	1.128	0.209	1.686
3.142	1.066	0.193	1.76834773402
3.31973071211	1.173	0.219	1.784
3.095	1.212	0.252505841826	1.621
3.193	1.281	0.209520659211	1.735
3.25	1.237	0.183	1.914
3.388	1.095	0.202	1.668
3.076	1.124	0.239	1.542
3.207	1.146	0.234	1.827
3.084	1.07	0.247	1.492
2.88	1.133	0.206	1.57
3.039	1.19286602334	0.173585048143	1.447
3.082	1.055	0.185	1.343
2.967	1.051	0.206	1.505
2.786	0.935	0.247	1.388
3.06	1.137	0.263	1.426
2.935	1.03	0.227826922535	1.46
2.819	1.148	0.218	1.35
3.121	1.147	0.268	1.303
2.715	1.009	0.24	1.3
2.785	1.066	0.181	1.21032416585
