RAD21_TP	RAD21_FP	RAD21_TN	RAD21_FN
1.304	1.691	0.311918314244	0.611
1.3	1.708	0.29773613814	0.716
1.354	1.697	0.297	0.765
1.275	1.716	0.315	0.706
1.241	1.62786716532	0.355708563961	0.687
1.385	1.787	0.274	0.798
1.506	1.814	0.291	0.835
1.233	1.928	0.275	0.775
1.383	1.715	0.267	0.767
1.565	1.804	0.279708563961	0.766
1.752	1.827	0.277435407198	0.732
1.62	1.567	0.333	0.862
1.617	1.745	0.308708563961	0.794
1.591	1.965	0.328125691884	0.868
1.714	1.821	0.326	0.88
1.611	2.007	0.301089288936	0.874
1.756	2.38554940876	0.321	0.865
1.896	2.197	0.301	0.884
1.662	2.271	0.314644494119	0.99
1.865	2.112	0.294874391074	0.983
2.102	2.374	0.325	1.044
2.133	1.897	0.310008650003	1.044
1.803	2.25170597875	0.291	1.094
2.084	1.926	0.309	1.135
2.335	1.894	0.330241503837	1.119
2.292	1.894	0.286708563961	1.211
2.293	1.873	0.313874391074	1.379
2.382	2.204	0.398	1.416
2.464	2.227	0.436825803091	1.343
2.37	2.138	0.302834255846	1.39
2.308	2.1	0.302	1.395
2.374	2.328	0.339	1.509
2.542	2.279	0.287241503837	1.563
2.926	2.049	0.303	1.461
2.738	2.112	0.325	1.517
2.661	2.236	0.266	1.64
2.829	2.429	0.355	1.77328544787
3.342	2.74	0.323	1.85593905111
3.248	2.347	0.329	1.976
3.215	2.511	0.312	1.772
3.212	2.334	0.311	1.77
3.321	2.69843827325	0.334125691884	1.97515712296
3.205	2.264	0.291	2.009
3.196	2.491	0.323	1.874
3.618	2.49	0.272	1.993
3.583	2.097	0.311	2.239
3.76	2.521	0.305	2.326
4.03	2.243	0.289	2.35484951083
3.762	2.61	0.315168992078	2.34
4.018	2.731	0.277	2.255
4.165	2.392	0.334	2.254
4.315	2.651	0.345626878206	2.278
4.567	2.69586818198	0.293	2.371
4.589	2.642	0.361943731972	2.557
4.454	2.361	0.326321936465	2.327
4.774	2.389	0.301874391074	2.609
4.726	2.362	0.311	2.725
4.793	2.56	0.343	2.558
4.598	2.131	0.354	2.652
4.51263623592	2.059	0.332	2.592
4.817	2.354	0.288	2.503
4.992	2.602	0.335	2.74
5.335	2.815	0.353	2.972
5.188	2.843	0.40373613814	2.88560878304
