REST_TP	REST_FP	REST_TN	REST_FN
2.055	1.248	0.319091281184	0.321
1.936	1.36	0.294708563961	0.369
2.114	1.362	0.297	0.347
2.295	1.268	0.278	0.396
2.284	1.367	0.308	0.316
2.34079465922	1.435	0.303	0.35
2.47450592824	1.468	0.258	0.42
2.341	1.619	0.292	0.431
2.386	1.332	0.302812694674	0.411
2.87209864457	1.25670117046	0.27	0.396976352015
2.27	1.341	0.334	0.387
2.094	1.396	0.284	0.4
2.309	1.324	0.28	0.43
2.406	1.456	0.324002176066	0.473
2.123	1.102	0.286	0.476
2.195	1.256	0.293	0.423
2.284	1.175	0.293943606417	0.381
2.346	1.45	0.315	0.41
2.446	1.306	0.273	0.362
2.352	1.469	0.318	0.378
2.395	1.852	0.299	0.424
2.53844762122	1.607	0.313978461803	0.389
2.517	1.281	0.328	0.571
2.609	1.249	0.306	0.545
2.593	1.347	0.298	0.512
2.52	2.20114522297	0.308	0.426
2.387	1.338	0.292	0.435
2.412	1.212	0.301874391074	0.416
2.707	1.466	0.285	0.415
2.501	1.389	0.291	0.435
2.396	1.498	0.257	0.419
2.385	1.472	0.263	0.394
2.543	1.697	0.254	0.477
2.374	1.9527513949	0.267	0.489
2.423	1.527	0.269417127923	0.431
2.523	1.423	0.292565754672	0.527
2.641	1.699	0.271587155899	0.486
2.897	1.436	0.302	0.549
2.726	1.484	0.312	0.453
2.74	1.482	0.288	0.451
2.559	1.412	0.248	0.578
2.677	1.381	0.282	0.43
2.883	1.325	0.273245912028	0.521
3.075	1.312	0.263	0.567
3.1	1.5	0.250708563961	0.713715527125
3.178	1.252	0.235	0.563
2.82	1.475	0.277	0.59
3.567	1.409	0.303	0.5
2.972	1.346	0.305252480016	0.517
3.254	1.392	0.26173613814	0.473
3.198	1.585	0.292	0.417
2.745	1.361	0.318708563961	0.482
2.847	1.33	0.272	0.505
3.403	1.333	0.305	0.416
3.37	1.268	0.265	0.529
3.224	1.336	0.267	0.557035633321
2.989	1.242	0.301	0.488
