SMC3_TP	SMC3_FP	SMC3_TN	SMC3_FN
1.468	1.628	0.308918314244	0.765
1.617	1.555	0.29573613814	0.878
1.403	1.653	0.294	0.914
1.446	1.783	0.307	0.876
1.491	1.67886716532	0.350708563961	0.823
1.488	1.831	0.262	0.916
1.668	1.82	0.285	0.995
1.577	1.814	0.263	0.922
1.788	1.631	0.257	0.936
1.775	1.711	0.270708563961	0.903
1.874	1.782	0.272435407198	0.916
1.803	1.559	0.328	0.983
1.849	1.71	0.307708563961	0.977
2.013	1.948	0.324125691884	1.055
1.989	1.676	0.323	1.006
2.032	1.74	0.293089288936	1.053
2.66	1.84654940876	0.315	0.993
2.513	2.02	0.287	1.018
2.407	1.826	0.300644494119	1.163
2.154	1.966	0.290874391074	1.166
2.568	2.071	0.313	1.184
2.395	1.828	0.302008650003	1.251
2.476	1.83370597875	0.283	1.208
2.504	1.692	0.307	1.329
2.582	1.756	0.324241503837	1.314
2.621	1.643	0.279708563961	1.387
2.714	1.637	0.305874391074	1.547
2.794	1.891	0.379	1.599
2.943	1.79	0.427825803091	1.512
2.941	1.792	0.299834255846	1.571
2.722	1.772	0.295	1.596
3.09	1.785	0.328	1.647
3.25	1.824	0.282241503837	1.777
3.102	1.953	0.3	1.61
3.115	1.958	0.32	1.79
3.117	2.012	0.264	1.789
3.303	2.179	0.349	1.99128544787
4.143	2.024	0.319	2.12393905111
3.839	1.892	0.327	2.219
3.669	2.235	0.312	1.952
3.692	2.04	0.308	1.979
3.608	2.23443827325	0.328125691884	2.26515712296
3.423	2.038	0.286	2.358
3.629	2.062	0.317	2.116
3.811	2.199	0.265	2.252
3.774	1.972	0.3	2.49180286556
4.134	2.129	0.29	2.597
4.353	1.828	0.28	2.64384951083
4.293	1.969	0.313168992078	2.533
4.587	2.148	0.254	2.443
4.357	2.209	0.312	2.572
4.841	2.251	0.330626878206	2.615
4.762	2.26586818198	0.29	2.681
4.978	2.037	0.359943731972	2.81
5.0052138981	1.946	0.280321936465	2.763
5.219	1.958	0.284874391074	2.773
5.178	1.74	0.29	2.995
5.231	1.994	0.304	2.73
4.955	1.717	0.351	2.88
4.892	1.589	0.31	2.915
5.15	1.854	0.25	2.806
5.412	2.169	0.314	3.05
5.568	2.42	0.314	3.318
5.569	2.152	0.38473613814	3.11260878304
