STAT5A_TP	STAT5A_FP	STAT5A_TN	STAT5A_FN
2.298	1.39	0.267	1.172
2.476	1.301	0.274	1.209
2.317	1.421	0.281	1.26887560552
2.465	1.285	0.259	1.272
2.543	1.38098699917	0.281	1.38291826072
2.628	1.261	0.279	1.302
2.697	1.329	0.307	1.471
2.428	1.468	0.303	1.268
2.543	1.458	0.279708563961	1.428
2.774	1.422	0.277	1.378
2.875	1.285	0.238708563961	1.422
2.911	1.671	0.272	1.278
2.692	1.502	0.276	1.414
2.706	1.612	0.246	1.382
2.336	1.431	0.245	1.38373642304
2.624	1.513	0.215	1.388
2.606	1.327	0.274	1.491
2.682	1.54	0.228	1.463
3.10275437754	1.465	0.244708563961	1.537
2.664	1.31255399973	0.267	1.435
2.75	1.406	0.272	1.588
2.942	1.433	0.301	1.60086833982
3.004	1.48729181886	0.265	1.599
3.173	1.31	0.267	1.71644612182
3.30698396454	1.37545048741	0.276	1.528
3.418	1.277	0.274	1.54612629259
3.062	1.30974570778	0.278	1.499
3.09517855979	1.397	0.251	1.425
2.706	1.299	0.23635097905	1.301
2.95968139432	1.518	0.253	1.47
2.84199771457	1.402	0.294	1.408
2.802	1.319	0.21835097905	1.442
3.41808230566	1.254	0.282	1.48
2.928	1.277	0.252	1.57486004184
3.266	1.176	0.33	1.691
3.087	1.11	0.316	1.664
3.207	1.176	0.284	1.85
3.15	1.276	0.29	1.501
3.256	1.383	0.256708563961	1.65
3.236	1.529	0.365	1.581
3.334	1.296	0.287746987543	1.544
3.306	1.332	0.266	1.85979899846
3.359	1.42821878048	0.365746987543	1.695
3.597	1.245	0.303	1.93073642304
3.517	1.257	0.313286057139	1.687
3.549	1.151	0.273	1.691
3.448	1.382	0.304286057139	1.559
3.571	1.256	0.288	1.539
3.26793524332	1.468	0.287	1.577
3.296	1.358	0.325	1.48
3.45215520738	1.379	0.309241503837	1.70592232996
3.5197199247	1.323	0.39552202422	1.498
3.723	1.206	0.295	1.423
3.563	1.294989624	0.39	1.43
3.644	1.351	0.344	1.435
3.475	1.34	0.289	1.501
3.55	1.428	0.427	1.396
3.346	1.356	0.329	1.575
3.677	1.35	0.359	1.596
3.363	1.256	0.293	1.804
3.362	1.513	0.435	1.723
3.394	1.181	0.271	2.04
3.46438635075	1.352	0.399	1.841
3.733	1.399	0.277	2.0
3.377	1.299	0.321535486496	1.958
3.573	1.355	0.25973613814	1.792
3.75160089447	1.404	0.339	1.716
3.485	1.6037160095	0.25	1.626
3.655	1.492	0.28	1.654
3.50197768615	1.5637026029	0.331792437239	1.89157177924
3.774	1.401	0.28	1.8137147081
3.41891865229	1.316	0.297	1.91792227675
3.432	1.205	0.288	1.633
3.139	1.333	0.295	1.484
3.316	1.421	0.327	1.464
3.467	1.303	0.302389447271	1.437
3.222	1.53123809074	0.306	1.286
3.845	1.522	0.343	1.408
3.576	1.388	0.282	1.34
3.826	1.50084734018	0.318708563961	1.536
4.0991569704	1.45	0.301	1.593
3.833	1.45816208337	0.300708563961	1.536
3.68016468698	1.345	0.289	1.605
3.253	1.139	0.258	1.262
3.205	1.12	0.272	1.264
3.219	1.05920452021	0.275708563961	1.247
3.528	1.131	0.282	1.32
4.046	1.26120452021	0.313417127923	1.443
3.92	1.15558504814	0.287	1.48
4.919	1.541	0.297	1.5257577421
4.176917664	1.375	0.426	1.80523696224
4.30901148583	1.25243296612	0.276	1.45
3.607	1.439	0.408	1.497275623
2.673	1.39743702452	0.312	1.037
1.839	0.978	0.21	0.806
1.557	0.868	0.206	0.597
1.211	0.59	0.132	0.543
1.303	0.716	0.2	0.576
1.506	1.09614517478	0.218	0.741
2.442	1.53793853294	0.317708563961	1.159
1.57	1.075	0.215	0.767
2.621	1.35193853294	0.279	1.09
1.665	0.996	0.236	0.773
1.48	0.608	0.19	0.599
1.383	0.683	0.156	0.584
1.883	0.976	0.165	0.675
2.111	0.94626378531	0.201	0.81
3.031	1.471	0.251	1.219
4.11396180257	1.566	0.284880920061	1.588
4.208	1.405	0.277	1.573
4.32340560991	1.72774398181	0.289	1.67
4.588	1.62	0.268	1.709
3.575	1.284	0.271	1.59
3.742	1.312	0.34	1.592
3.382	1.434	0.281	1.419
2.724	1.226	0.274	1.394
3.30261230676	1.173	0.264	1.352
3.318	1.247	0.40083684526	1.449
4.40720517481	1.399	0.257241503837	1.671
4.513	1.341	0.338	1.745
4.69146444569	1.551	0.325	1.67
4.02	1.343	0.36	1.678
3.844	1.52224672273	0.242	1.515
3.51	1.226	0.383711699961	1.601
3.405	1.097	0.267	1.505
3.251	1.217	0.265708563961	1.713
3.317	1.239	0.305	1.679
3.503	1.302	0.294	1.816
3.54082514609	1.479	0.378	1.8210829677
3.83321287256	1.189	0.341	1.894
4.00921948238	1.179	0.379585048143	1.84808247342
3.97383322768	1.21	0.293	2.04976391915
4.06620870377	1.02	0.256	1.962
3.77706533629	1.076	0.259	1.75
3.76	1.276	0.251	1.793
3.91906533629	1.275	0.29	1.571
3.97	1.127	0.313	1.70253842561
3.828	1.267	0.26273613814	1.757
3.924	1.336	0.254	1.768
3.955	1.337	0.250672242187	1.83
3.452	1.409	0.26642684127	1.706
3.652	1.62908940393	0.34	1.925
3.487	1.307	0.272	1.72198091066
3.396	1.033	0.398615020797	1.675
3.224	1.069	0.32	1.828
3.297	1.129	0.369615020797	1.501
3.242	1.28	0.313	1.664
3.415	1.19	0.299	1.505
3.93665395269	1.18633400286	0.314	1.7
3.772	1.11297779576	0.321	1.79339099899
3.89098186265	1.15333400286	0.284	1.69675137403
3.837	1.182	0.256	1.892
3.69993540234	1.163	0.27	1.71018300945
3.617	1.238	0.251	1.75354470319
3.70395867092	1.16	0.275	1.65705689347
3.787	1.117	0.284	1.59819717522
3.542	1.109	0.249	1.597
3.564	1.189	0.272	1.598
3.616	1.075	0.27	1.607
3.582	1.106	0.277	1.543
3.604	1.065	0.242	1.604
3.38265350265	1.133	0.263	1.521
3.548	1.158	0.334	1.573
3.75076264281	1.231	0.273	1.493
3.632	1.238	0.422686253119	1.671
3.573	1.253	0.289	1.493
3.277	1.28	0.202	1.538
3.27550003107	1.342	0.294755619348	1.55585005526
3.223	1.63714317735	0.27	1.351
3.097	1.369	0.282	1.505
3.148	1.066	0.284	1.418
