ZBTB7A_TP	ZBTB7A_FP	ZBTB7A_TN	ZBTB7A_FN
2.93700787402	1.093	0.347	2.38338658147
3.0062992126	0.956	0.33	2.81369474639
2.97007874016	0.955	0.345	2.16932907348
2.87874015748	1.095	0.375329376263	2.21405750799
3.13700787402	1.06890516526	0.422329376263	1.8945686901
3.30236220472	0.938066418281	0.267708563961	2.27156549521
3.10393700787	0.992	0.439825868026	1.81469648562
3.56998734333	1.07448478648	0.395	1.72204472843
3.4724081141	0.995484786476	0.356	1.99361022364
3.21417322835	1.015	0.355	2.21086261981
2.93543307087	1.721	0.341	2.38019169329
3.53448869144	1.402	0.318	2.29073482428
3.5842519685	1.177	0.321	1.96805111821
4.24009685374	1.401	0.42	2.72204472843
3.53385826772	1.126	0.393633753747	3.18648059322
3.17322834646	1.391	0.362	2.09584664537
3.28976377953	1.328	0.322	2.18849840256
3.43464566929	1.19	0.337	2.40255591054
3.25984251969	1.346	0.314	2.17571884984
3.26771653543	1.057	0.32	2.25878594249
2.99842519685	1.029	0.31973613814	2.56869009585
3.14960629921	1.282	0.357	2.39616613419
3.22519685039	1.16488423906	0.394	2.45047923323
3.34173228346	1.223	0.373	2.45686900958
3.58897637795	1.146	0.414	1.89137380192
3.58582677165	1.008	0.329	2.17252396166
3.34173228346	0.996	0.322633483217	1.91054313099
3.9874015748	1.081	0.33	2.42811501597
3.70551181102	1.344	0.474	1.53354632588
3.65594125228	1.069	0.432	1.99041533546
3.3937007874	1.12446485704	0.411	2.12779552716
3.62677165354	1.10645281926	0.389	1.61022364217
3.47716535433	1.11844112361	0.308	1.88498402556
3.76535433071	1.028	0.381	1.9552715655
3.88031496063	1.032	0.38	1.76677316294
3.51653543307	1.059	0.346	1.85623003195
3.47244094488	0.947	0.25	1.97444089457
3.23149606299	1.13	0.338	1.82747603834
3.44618734904	1.021	0.334	2.28115015974
4.11934987878	1.023	0.356	2.01277955272
3.8031496063	0.995	0.279	1.86581469649
3.43779527559	1.022	0.263	1.82428115016
3.37795275591	1.101	0.267	1.8338658147
3.23937007874	1.134	0.257708563961	1.87539936102
2.87086614173	1.091	0.268	1.83067092652
3.09133858268	1.12551091364	0.282	1.7571884984
