ZNF263_TP	ZNF263_FP	ZNF263_TN	ZNF263_FN
3.129	1.354	0.137708563961	0.576
3.192	1.238	0.142	0.622
3.341	1.432	0.149	0.51378762071
3.1	1.483	0.141	0.560648778229
2.865	1.417	0.19	0.582598133975
3.159	1.353	0.144444702102	0.513
3.064	1.619	0.151444702102	0.599
3.018	1.619	0.158417127923	0.623598133975
2.905	1.674	0.19173613814	0.591
2.843	1.439	0.135	0.562
2.738	1.355	0.149889404203	0.626
2.726	1.602	0.11773613814	0.574
2.949	1.655	0.130708563961	0.601
3.26370934534	1.653	0.117	0.61
2.904	1.684	0.111	0.591
3.264	1.997	0.12173613814	0.606
3.54551191688	1.782	0.22	0.657
3.171	1.684	0.122	0.568
3.108	1.627	0.12473613814	0.561
3.267	1.66	0.12	0.572
3.128	1.454	0.173	0.591
3.068	1.47	0.122	0.514
3.039	1.525	0.13473613814	0.564
3.029	1.55	0.105	0.561
3.005	1.52	0.108	0.509
3.194	1.467	0.138	0.47
3.075	1.657	0.128	0.547
3.254	1.605	0.151	0.523
3.18	1.39	0.151	0.506
2.949	1.527	0.131	0.502
3.076	1.663	0.14	0.515
2.866	1.694	0.155	0.54
2.848	1.658	0.173	0.534
3.151	1.892	0.128	0.522
3.232	1.729	0.131	0.602
3.122	1.646	0.148	0.55
2.846	1.632	0.165	0.551
2.939	1.475	0.168	0.541
2.839	1.495	0.22	0.593736423039
3.011	1.559	0.187	0.549
3.06	1.783	0.17	0.521
3.168	1.776	0.116	0.562736423039
3.069	1.473	0.134	0.531
3.226	1.557	0.168709393669	0.542
3.119	1.815	0.139708563961	0.563
3.119	1.821	0.136	0.551
3.478	1.743	0.180726433794	0.568
3.239	1.619	0.166708563961	0.546
3.107	1.675	0.123708563961	0.535
3.498	1.561	0.148	0.512
2.946	1.75	0.123	0.563
2.705	1.7758664614	0.133708563961	0.541
3.075	1.743	0.132708563961	0.584
2.898	1.746	0.141	0.542
2.82	1.575	0.150708563961	0.539
3.383	1.932	0.147	0.587
3.178	1.831	0.138832968925	0.532
3.25	1.809	0.138	0.578
3.281	1.585	0.119	0.599
3.238	1.821	0.141	0.558
3.426	1.755	0.138	0.528
3.396	1.639	0.152	0.662746173226
3.355	1.721	0.163	0.561
3.175	1.661	0.153	0.51
3.087	1.68	0.144	0.625
3.02	1.672	0.158	0.544
3.292	1.722	0.155	0.575
3.4314946756	1.858	0.113	0.601746173226
3.333	1.816	0.131	0.506
3.371	1.696	0.111	0.532
3.415	1.991	0.113708563961	0.551746173226
3.342	1.81661096725	0.135	0.461
3.19	1.641	0.129	0.504807610522
3.334	1.668	0.148	0.559746173226
3.17137860157	1.83683296892	0.148	0.52
3.158	1.769	0.129	0.534869682876
3.32676169592	1.86757895271	0.164	0.574
3.229	2.06516275356	0.166708563961	0.540378601573
3.178	1.901	0.123	0.638
3.316	1.901	0.122	0.605746173226
3.25166483168	1.841	0.15	0.53
3.148	1.927	0.131	0.663378601573
3.403	1.773	0.121	0.547746173226
3.26711043111	1.93917307807	0.133	0.499
3.031	2.157	0.140708563961	0.443
2.877	2.17569989764	0.127	0.469
2.927	2.07408447914	0.136	0.464
3.1	2.12	0.110708563961	0.446
3.28	2.18356886185	0.146	0.466
3.02001178028	2.13406900171	0.217	0.505
2.899	2.227	0.138708563961	0.46936622551
3.736	2.72982280081	0.141	0.554
2.98958769871	2.54610955017	0.128	0.512
2.357	1.71998953905	0.118	0.406
3.75	2.117	0.153	0.49535361998
3.00746211236	2.15834257499	0.098	0.467
2.808	1.839	0.116	0.428
3.456	2.16478821589	0.161	0.489073891822
3.11803843284	2.195	0.167247189367	0.427651040191
3.148	1.897	0.129	0.419
3.634	1.97594430253	0.131	0.546746173226
3.27779306463	2.01577136364	0.149	0.471651040191
3.101	1.97	0.131	0.382
3.466	2.06980568885	0.153	0.515056722581
2.62909020653	2.04472943641	0.119	0.376651040191
2.831	2.10784508878	0.123	0.366
3.58	2.25803214799	0.131	0.57074230084
2.53997154015	1.648	0.114	0.465010593692
3.15	2.37197032228	0.136	0.444
3.502	2.87841226618	0.166	0.497
2.786	2.17996677949	0.162247189367	0.478332335795
3.106	2.20458954975	0.170708563961	0.435
3.104	2.15365138158	0.135	0.44074230084
3.21095187443	2.052	0.155247189367	0.448404501614
3.119	2.25896677949	0.123	0.383
2.809	1.93259627172	0.123	0.37574230084
3.17994663862	1.659	0.148	0.463318379884
3.339	1.991	0.117	0.384
3.193	1.874	0.137	0.442
3.30181971246	1.978	0.11	0.489
3.42	1.77056412373	0.141943439292	0.495
3.321	2.039	0.155	0.529
3.37382526227	1.864	0.093	0.564718891978
3.46	1.78265226828	0.140247189367	0.497
3.377	1.741	0.127	0.542
3.29883510833	1.847	0.134	0.483
3.434	1.924	0.127696249925	0.419
3.217	1.865	0.133	0.492377353995
3.038	1.75	0.154	0.473
3.115	2.061	0.145	0.465
3.183	2.089	0.215	0.50074230084
3.27483424386	1.73970856396	0.152	0.52
3.173	1.762	0.167	0.46
3.219	1.649	0.121	0.534859417836
3.13781989756	1.589	0.140417127923	0.564859417836
3.198	1.539	0.136	0.445
3.178	1.84536386904	0.144	0.52
3.058	1.86	0.153	0.632149188949
3.013	1.828	0.146	0.411
3.14	1.803	0.154	0.524
3.16778451768	1.828	0.151	0.592222852459
2.984	1.756	0.125	0.457
2.978	1.711	0.177	0.482
3.01658719443	1.833	0.24	0.519
2.98558239966	1.733	0.133696249925	0.467377353995
2.976	1.731	0.167	0.503
3.037	1.665	0.135	0.531852088296
3.24837540637	2.045	0.122	0.487917401298
3.089	1.827	0.143	0.501
3.092	1.69811010115	0.116	0.47184829664
3.09204733753	1.68616333583	0.110708563961	0.526
3.015	1.693	0.149	0.536
3.007	1.803	0.123	0.447
3.057	1.743	0.17	0.449462464461
3.031	1.809	0.174	0.469
2.953	1.73	0.145	0.407
3.181	1.598	0.14	0.403
2.786	1.726	0.147	0.511832266686
2.993	1.848	0.303	0.471
2.856	2.038	0.139	0.41
2.674	1.705	0.14	0.5
2.904	1.797	0.129	0.504832266686
2.824	2.026	0.132	0.485
2.656	1.912	0.178	0.544
2.85	1.833	0.148	0.524676687094
2.774	2.06110199569	0.156	0.538
2.813	1.881	0.116	0.528
2.969	2.318	0.125	0.541844420408
2.662	2.14323893813	0.114	0.524676687094
2.675	2.03	0.124	0.525
2.748	1.949	0.14	0.52
2.784	1.798	0.107	0.473844420408
2.535	2.179	0.138	0.461
2.765	1.816	0.125	0.486
2.65026472674	1.988	0.124	0.493742944636
2.616	2.24904840482	0.119	0.463
2.647	1.711	0.119	0.403
2.66213781794	1.489	0.201	0.418
2.578	1.729	0.119	0.416
2.543	1.58	0.12	0.449
2.65213056373	1.604	0.146	0.475
2.504	1.715	0.126	0.48743546489
2.716	1.591	0.23	0.448
2.69210534098	1.64	0.247	0.448
2.485	1.522	0.145	0.511425763399
2.598	1.912	0.159	0.48
2.65890301413	1.556	0.102	0.442
2.511	1.713	0.143	0.517
2.377	1.846	0.202	0.52649544202
2.56883089356	1.715	0.165	0.49
2.39	1.785	0.162	0.444
2.438	1.609	0.137293612104	0.562554398034
2.417	1.71	0.116	0.47
2.421	1.566043203	0.127	0.451
2.456	1.506	0.192	0.433
2.462	1.832	0.17	0.497
2.253	1.579	0.183	0.501
2.24	1.482	0.147	0.459
2.4	1.707	0.134	0.448
2.399	1.733	0.151	0.467
