	DU_H1hesc	DU_HeLaS3	DU_HepG2	DU_Huvec	DU_K562	DU_Mcf7	UW_HepG2	UW_Huvec	UW_IMR90	UW_K562	UW_LnCaP	UW_m3134
DU_H1hesc	1	1	1	1	1	1	1	1	1	1	1	1
DU_HeLaS3	1	1	1	1	1	1	1	1	1	1	1	1
DU_HepG2	1	1	1	1	1	1	1	1	1	1	1	1
DU_Huvec	1	1	1	1	1	1	1	1	1	1	1	1
DU_K562	1	1	1	1	1	1	1	1	1	1	1	1
DU_Mcf7	1	1	1	1	1	1	1	1	1	1	1	1
UW_HepG2	1	1	1	1	1	1	1	1	1	1	1	1
UW_Huvec	1	1	1	1	1	1	1	1	1	1	1	1
UW_IMR90	1	1	1	1	1	1	1	1	1	1	1	1
UW_K562	1	1	1	1	1	1	1	1	1	1	1	1
UW_LnCaP	1	1	1	1	1	1	1	1	1	1	1	1
UW_m3134	1	1	1	1	1	1	1	1	1	1	1	1
