	DU_H1hesc	DU_HeLaS3	DU_HepG2	DU_Huvec	DU_K562	DU_Mcf7	UW_HepG2	UW_Huvec	UW_IMR90	UW_K562	UW_LnCaP	UW_m3134
DU_H1hesc	1	0.931523	0.932839	0.891086	0.797015	0.679623	0.140294	0.326	0.085341	0.065125	0.842258	0.383857
DU_HeLaS3	0.931523	1	0.987349	0.965455	0.770077	0.797318	0.119014	0.434266	0.182217	0.062055	0.843584	0.484989
DU_HepG2	0.932839	0.987349	1	0.961649	0.831706	0.824941	0.060807	0.450345	0.176928	0.001601	0.889743	0.501519
DU_Huvec	0.891086	0.965455	0.961649	1	0.701792	0.807742	0.004557	0.531336	0.239438	-0.041644	0.790795	0.582276
DU_K562	0.797015	0.770077	0.831706	0.701792	1	0.776932	0.112678	0.317388	0.04994	0.038534	0.966737	0.388846
DU_Mcf7	0.679623	0.797318	0.824941	0.807742	0.776932	1	0.017935	0.5086	0.215829	-0.013609	0.835011	0.596136
UW_HepG2	0.140294	0.119014	0.060807	0.004557	0.112678	0.017935	1	-0.146832	-0.127701	0.952106	0.112178	-0.102064
UW_Huvec	0.326	0.434266	0.450345	0.531336	0.317388	0.5086	-0.146832	1	0.467418	-0.157949	0.387295	0.954889
UW_IMR90	0.085341	0.182217	0.176928	0.239438	0.04994	0.215829	-0.127701	0.467418	1	-0.122949	0.114255	0.427551
UW_K562	0.065125	0.062055	0.001601	-0.041644	0.038534	-0.013609	0.952106	-0.157949	-0.122949	1	0.037733	-0.122963
UW_LnCaP	0.842258	0.843584	0.889743	0.790795	0.966737	0.835011	0.112178	0.387295	0.114255	0.037733	1	0.46268
UW_m3134	0.383857	0.484989	0.501519	0.582276	0.388846	0.596136	-0.102064	0.954889	0.427551	-0.122963	0.46268	1
