ARID3A	0.804489951189	0.001161393379	0.3515	0.1731	0.1846	0.2908	0.703	0.5246	0.5361	0.6423	0.3462	0.3577	0.4639	0.3691	0.4754
ATF1	0.572760525111	0.010012650322	0.2341	0.2636	0.2687	0.2336	0.4681	0.4977	0.5028	0.4676	0.5273	0.5324	0.4972	0.5375	0.5023
ATF3	0.708001126681	0.001697380017	0.1601	0.3394	0.3422	0.1584	0.3201	0.4994	0.5022	0.3185	0.6787	0.6815	0.4978	0.6843	0.5006
BACH1	0.550693934733	0.020017722894	0.2698	0.2113	0.241	0.2779	0.5395	0.4811	0.5108	0.5477	0.4226	0.4523	0.4892	0.4821	0.5189
BHLHE40	0.352206872029	0.008202368794	0.2168	0.3054	0.2712	0.2066	0.4335	0.5222	0.4879	0.4234	0.6109	0.5766	0.5121	0.5424	0.4778
CCNT2	0.37293172437	0.003563898741	0.2472	0.2655	0.2078	0.2794	0.4945	0.5127	0.4551	0.5267	0.531	0.4733	0.5449	0.4157	0.4873
CEBPB	0.797313303732	0.03435234159	0.2791	0.2201	0.2057	0.2952	0.5581	0.4991	0.4848	0.5743	0.4401	0.4257	0.5152	0.4114	0.5009
CTCF	0.307857401676	0.011689876229	0.2346	0.2666	0.2904	0.2084	0.4693	0.5012	0.525	0.4431	0.5331	0.5569	0.475	0.5807	0.4988
CTCFL	0.271118596715	0.015243597771	0.1885	0.3153	0.3366	0.1595	0.377	0.5038	0.5251	0.348	0.6307	0.652	0.4749	0.6733	0.4962
E2F4	0.542605229396	0.022968305855	0.1686	0.281	0.4381	0.1123	0.3371	0.4496	0.6067	0.2808	0.5621	0.7192	0.3933	0.8763	0.5504
E2F6	0.75974721118	0.015459432816	0.1982	0.2508	0.4299	0.1211	0.3964	0.449	0.6281	0.3193	0.5016	0.6807	0.3719	0.8598	0.551
EFOS	0.819449210413	0.019455644867	0.251	0.2445	0.247	0.2574	0.5021	0.4956	0.4981	0.5084	0.4891	0.4916	0.5019	0.4941	0.5044
EGATA	0.342886712932	0.004513020663	0.2328	0.2537	0.1887	0.3248	0.4656	0.4865	0.4215	0.5576	0.5074	0.4424	0.5785	0.3774	0.5135
EGR1	0.589907143569	0.031030448271	0.1452	0.4728	0.2164	0.1656	0.2904	0.618	0.3616	0.3109	0.9456	0.6891	0.6384	0.4327	0.382
EJUNB	0.79636508823	0.018845034685	0.2654	0.2323	0.2442	0.2581	0.5307	0.4977	0.5096	0.5235	0.4646	0.4765	0.4904	0.4884	0.5023
EJUND	0.790771933707	0.017300860162	0.2587	0.2392	0.2435	0.2587	0.5174	0.4979	0.5022	0.5173	0.4784	0.4827	0.4978	0.487	0.5021
ELF1	0.451732801329	0.010758162615	0.2609	0.2421	0.331	0.166	0.5219	0.503	0.5919	0.4269	0.4842	0.5731	0.4081	0.6619	0.497
ELK1	0.833080607504	0.006326530938	0.1954	0.3116	0.346	0.1471	0.3907	0.507	0.5413	0.3424	0.6232	0.6576	0.4587	0.6919	0.493
ETS1	0.741140241619	0.004559713469	0.1373	0.3777	0.2607	0.2243	0.2746	0.515	0.398	0.3616	0.7553	0.6384	0.602	0.5214	0.485
FOS	0.813434556814	0.008196903256	0.2484	0.2472	0.2497	0.2546	0.4969	0.4957	0.4982	0.5031	0.4944	0.4969	0.5018	0.4994	0.5043
FOSL1	0.820990733128	0.016029939152	0.2425	0.2544	0.2622	0.2409	0.485	0.4969	0.5047	0.4834	0.5088	0.5166	0.4953	0.5243	0.5031
GABP	0.501515517965	0.011998808289	0.1999	0.2977	0.359	0.1434	0.3997	0.4976	0.5589	0.3433	0.5954	0.6567	0.4411	0.7181	0.5024
GATA1	0.286378844901	0.004067392254	0.2009	0.2958	0.2126	0.2907	0.4017	0.4966	0.4135	0.4916	0.5915	0.5084	0.5865	0.4253	0.5034
GATA2	0.353671397066	0.005322944622	0.2168	0.2767	0.2054	0.3011	0.4336	0.4935	0.4222	0.5179	0.5535	0.4821	0.5778	0.4108	0.5065
IRF1	0.88351372027	0.032294004903	0.1903	0.2384	0.1584	0.4129	0.3805	0.4287	0.3486	0.6032	0.4769	0.3968	0.6514	0.3168	0.5713
JUN	0.639736811	0.003915989636	0.2372	0.2502	0.2784	0.2341	0.4744	0.4874	0.5157	0.4714	0.5004	0.5286	0.4843	0.5569	0.5126
JUND	0.800851548532	0.018525566506	0.2552	0.2431	0.2468	0.255	0.5104	0.4982	0.502	0.5101	0.4861	0.4899	0.498	0.4936	0.5018
MAFF	0.646558253301	0.023564785072	0.3096	0.205	0.1844	0.301	0.6192	0.5146	0.494	0.6106	0.41	0.3894	0.506	0.3688	0.4854
