HINT_BC_AUC_10	HINT_BCN_AUC_10	HINT_AUC_10	DNase2TF_AUC_10	PIQ_AUC_10
MAFK1	MAFK1	MAFK1	MAFK1	MAFK1
REST1	REST1	REST1	REST1	MAFF
MAFF	MAFF	MAFF	MAFF	MAFK2
MAFK2	MAFK2	MAFK2	MAFK2	REST1
CEBPB1	CEBPB1	NRF11	CEBPB1	CEBPB1
BACH11	BACH11	CEBPB1	RAD211	RAD211
REST2	REST2	BACH11	BACH11	SIX51
RAD211	USF1	CEBPB2	CEBPB2	ZNF1431
USF1	CEBPB2	USF1	USF1	ZNF1432
CEBPB2	RAD211	REST2	REST2	USF1
NRF11	SRF	RAD211	SRF	CEBPB2
SRF	NRF11	SRF	NRF11	SIX52
ZBTB33	ZBTB33	ZBTB33	CTCF	SRF
PU1	PU1	NRF12	ZBTB33	NRF11
CTCF	CTCF	PU1	PU1	CTCF
NFYB	NFYB	CTCF	ZNF263	REST2
ZNF263	ZNF263	ZNF263	RFX5	BACH11
RFX5	RFX5	NFYB	NFYB	ZBTB33
SP4	SP4	RFX5	EGR11	PU1
EGR11	EGR11	EGR11	TCF12	ZNF263
BACH12	IRF1	IRF1	EGR12	RFX5
IRF1	BACH12	TCF12	IRF1	NFYB
RFX5	RFX5	EGR12	JUND	EGR11
TCF12	TCF12	JUND	BACH12	EGR12
BHLHE40	JUND	E2F4	RFX5	TCF12
JUND	BHLHE40	BACH12	BHLHE40	JUND
RAD21	EGR12	RFX5	YY1	IRF1
YY1	RAD21	SP4	USF1	SP4
CTCF	YY1	BHLHE40	SRF	BACH12
EGR12	CTCF	YY1	CTCF	RFX5
SRF	SRF	SRF	SP1	BHLHE40
USF1	USF1	USF1	MAX	CTCF
MAX	MAX	CTCF	SP4	SP1
NFYA	SP1	MAX	USF2	USF1
SP1	NFYA	SP1	NRF1	YY1
USF2	NRF1	NFYA	JUND	SRF
JUND	USF2	USF2	SIX5	ATF1
ELF1	JUND	JUND	ZNF143	MAX
STAT2	STAT2	STAT2	NFYA	NRF1
ZNF143	ZNF143	SIX5	STAT2	USF2
SIX5	SIX5	ZNF143	EJUND	JUND
NRF1	ELF1	SP2	NR2F2	STAT2
NR2F2	NR2F2	EJUND	ELF1	EJUND
EJUND	EJUND	ELF1	EJUNB	NFYA
ATF1	E2F4	NR2F2	ATF1	EJUNB
EJUNB	ATF1	EJUNB	POU5F1	NR2F2
TR4	EJUNB	ATF1	RXRA	RXRA
POU5F1	TR4	CTCFL	EFOS	ELF1
STAT5A	POU5F1	POU5F1	TAL1	RAD21
TAL1	STAT5A	TR4	SP2	POU5F1
RXRA	RXRA	RXRA	TR4	SP2
CTCFL	TAL1	STAT5A	STAT5A	CTCFL
EFOS	CTCFL	TAL1	CTCFL	EFOS
ZNF143	EFOS	EFOS	RAD21	TR4
MEF2A	ZNF143	RAD21	ZNF143	TAL1
EGATA	MEF2A	SP2	E2F4	STAT5A
GABP	SP2	ZNF143	EGATA	E2F4
STAT1	EGATA	MEF2A	MEF2A	GABP
E2F4	GABP	EGATA	GABP	EGATA
SP2	STAT1	GABP	FOSL1	FOSL1
FOSL1	FOSL1	SP1	GABP	GABP
E2F6	E2F6	FOSL1	STAT1	MEF2A
MYC	MYC	STAT1	E2F6	SMC3
SMC3	SMC3	E2F6	MYC	STAT1
MAX	ATF3	MYC	SMC3	E2F6
ATF3	MAX	ELK1	JUN	MYC
THAP1	THAP1	SMC3	ATF3	JUN
YY1	YY1	ATF3	ZBTB7A	ATF3
JUN	JUN	JUN	MAX	ZBTB7A
NFE2	NFE2	ZBTB7A	NFE2	NFE2
SIX5	SIX5	MAX	SIX5	MAX
GABP	GABP	THAP1	YY1	YY1
GATA2	GATA2	GABP	THAP1	THAP1
JUN	ZBTB7A	YY1	GATA2	GATA2
USF2	JUN	SIX5	JUN	JUN
SP1	SP2	NFE2	FOS	FOS
ARID3A	SP1	GATA2	USF2	USF2
FOS	USF2	JUN	SP1	FOSL1
SP2	FOS	FOS	ARID3A	ELK1
ELK1	ARID3A	USF2	SP2	SP1
CCNT2	ELK1	ARID3A	CCNT2	SP2
GATA1	CCNT2	CCNT2	ELK1	CCNT2
FOSL1	GATA1	GATA1	FOSL1	ARID3A
ZBTB7A	FOSL1	FOSL1	GATA1	GATA1
ATF3	ATF3	ETS1	ATF3	MYC
ETS1	MYC	ATF3	MYC	ETS1
MYC	ETS1	MYC	ETS1	ATF3
BRCA1	BRCA1	BRCA1	BRCA1	BRCA1
