METHOD	CORRELATION	P-VALUE
PIQ	-0.258620689655172	0.0151944870178114
Wellington	-0.235215385157268	0.0276021634744351
Neph	-0.22433165439752	0.0358276854944155
DNase2TF	-0.209080342362016	0.050744737933716
Boyle	-0.197051882638864	0.0658456308883247
FLR	-0.187876439716812	0.0796691419799388
Cuellar	-0.185305202352858	0.0839345772819408
HINT-BCN	-0.172818851044345	0.107302201005749
HINT-BC	-0.106301292663168	0.323627123150602
HINT	-0.0857666161811842	0.426176599843768
Centipede	-0.061656863090416	0.567558021276738
PWM	-0.0575534500369835	0.593651405738028
FS	0.0796555246380895	0.459964781760176
