METHOD	CORRELATION	P-VALUE
Wellington	-0.287192118226601	0.13080153109591
Centipede	-0.242857142857143	0.203513710399631
DNase2TF	-0.235467980295566	0.217937751487415
HINT-BCN	-0.213793103448276	0.264248130384881
PIQ	-0.209852216748768	0.273317954408438
FLR	-0.201477832512315	0.293260781978953
Cuellar	-0.192610837438424	0.315370619185794
Neph	-0.191133004926108	0.319154938763232
Boyle	-0.163546798029557	0.394960560765359
HINT-BC	-0.0783251231527093	0.685353870493007
HINT	-0.0605911330049261	0.754279821055805
PWM	-0.00394088669950739	0.984720986101056
FS	0.305418719211823	0.107309672703045
