UW_Motif_0458_F	UW_Motif_0458_R	UW_Motif_0500_F	UW_Motif_0500_R
-0.0551832188725	-0.0916538924786	-0.0546076411521	-0.0587370280926
-0.0759826828668	-0.0654774272504	-0.0472069717443	-0.0553036840498
-0.0770032040821	-0.078452894038	-0.0487584825108	-0.0578631923871
-0.0967230358893	-0.0892591849121	-0.0485373091388	-0.0588511538928
-0.0857236737945	-0.0641051857655	-0.0455712908478	-0.055702993096
-0.0876922602122	-0.0640131857812	-0.045365911925	-0.0578252977623
-0.0733090297996	-0.0593944735579	-0.0472109535352	-0.0542870893356
-0.0665209123755	-0.0653655286279	-0.0451599023188	-0.0612547121843
-0.0708953252429	-0.0680834598795	-0.0487759992755	-0.0527935012997
-0.072174798318	-0.0673997153371	-0.049475523778	-0.05940605696
-0.0905075137309	-0.087696022318	-0.0565501124116	-0.0581341295851
-0.0954367580217	-0.0949616395883	-0.0503992020641	-0.0464013766215
-0.0717056215923	-0.0655829905884	-0.0480496886309	-0.0630255230214
-0.068096486092	-0.0606669455716	-0.0366465658916	-0.0326774426908
-0.0531069980737	-0.0695667492558	-0.0344003247143	-0.0564362111407
-0.0361762563756	-0.00919282465688	-0.0255629075209	-0.0313026609338
-0.0208546066771	-0.0865680681468	-0.0496111074372	-0.0352348037087
-0.0448874291031	-0.105269694292	-0.0621121039817	-0.0178636850942
-0.0606397106831	-0.0681622827881	-0.0854322376069	-0.0354159566783
-0.0856513883819	-0.0475012299846	-0.0402401780224	-0.0522332370505
-0.117165160083	-0.0129995199393	-0.0766758733951	-0.0528000458859
-0.0224482331928	-0.0360179229707	-0.0567037897565	-0.0868807500798
-0.0482521759794	-0.0520303870787	-0.114566836578	-0.0970369707338
-0.0462920722644	-0.11966733574	-0.0747114500485	-0.073473734538
-0.107656775544	-0.0930868792221	-0.0807805510903	-0.052370815251
-0.100644824217	-0.109484551267	-0.0554767356726	-0.0810857060094
-0.125808534005	-0.0539640272259	-0.0725042370948	-0.0750861266743
-0.0270736735399	-0.0568007984673	-0.0980482529289	-0.107258277445
-0.0233422605679	-0.0228849850387	-0.0851600894947	-0.0565448667489
-0.022711940937	-0.120451124755	-0.0551944375831	-0.0738282747652
-0.0609943557865	-0.0893856966479	-0.0499412886523	-0.0424441754921
-0.073556959984	-0.0895080467443	-0.0301289979946	-0.0873628635711
-0.0953526883661	-0.0573733032794	-0.0140409107153	-0.0632317461127
-0.0810894614359	-0.0451535400877	-0.0364362446346	-0.0489385615454
-0.0192788324719	-0.0434846601719	-0.0262058840404	-0.0285578704608
-0.0924360961851	-0.0543174945673	-0.0537470013083	-0.0304661231767
-0.0705414377692	-0.0684442215867	-0.0463847352901	-0.0308648459691
-0.0843978576519	-0.0970699334706	-0.0571063838406	-0.0482390726165
-0.081727248233	-0.0769933394217	-0.0516148977077	-0.0551411274239
-0.0931314229478	-0.097393231684	-0.0585888893876	-0.0561818646831
-0.0704329166045	-0.100716378128	-0.0644721324015	-0.0568244019212
-0.0953920128527	-0.059026775377	-0.0582633595322	-0.0479422117753
-0.0713322995457	-0.0552751476571	-0.0523286302828	-0.0487865261183
-0.0719658554241	-0.0984433624313	-0.0574888175654	-0.0503534312742
-0.0613121587972	-0.0684210555604	-0.0596663463835	-0.0459759189722
-0.0741852751759	-0.0768224368058	-0.0617504566743	-0.0479592001618
-0.0613146476796	-0.0735026407275	-0.0559759493641	-0.0438541305028
-0.0716915283302	-0.0792662033517	-0.0541069868443	-0.0496997902321
-0.0829711043019	-0.0805056948424	-0.0554453251689	-0.0512911233611
-0.0797311223239	-0.0958919704448	-0.0595529929103	-0.0537269876891
