GR_withDEX_F	GR_withDEX_R	GR_woDEX_F	GR_woDEX_R
-0.0423528025775	-0.0491648954197	0.00498291462458	-0.0329687658867
-0.0419978366726	-0.0465005345801	-0.0218385384176	-0.0224301002433
-0.0466331064045	-0.0505953630544	-0.0161352379557	-0.0408452703386
-0.0498670289166	-0.0443366462022	-0.0628410695572	-0.0217400801888
-0.0507243000427	-0.0472279466594	-0.0166841532023	-0.0361045356322
-0.04573709039	-0.0459360865141	-0.0336256055472	-0.00110824549407
-0.0442985646867	-0.0443346577381	-0.00973609461202	-0.0193284050757
-0.0466112195855	-0.0481726443108	-0.0268741882203	0.0369212617683
-0.0435966304551	-0.0512675991973	-0.0519649458171	-0.0161070980672
-0.0559558387742	-0.0402778669731	-0.0383124410315	-0.0218264315167
-0.0555521248033	-0.0422120582025	-0.0792317155773	-0.0552415414219
-0.0564178026979	-0.0471714463992	-0.0123581796073	-0.0543698629938
-0.0560020341571	-0.0503972247139	-0.0135991091345	-0.0143320358899
-0.0532169307076	-0.0506115607901	-0.0364526372027	-0.0545711984546
-0.0423754044788	-0.0328869990191	-0.0242240600295	-0.0293104346012
-0.037205852165	-0.0326984905895	0.00629772051675	-0.0352139788266
-0.0425783364493	-0.0468388981084	-0.0645410115846	-0.0346093736015
-0.0649271984135	-0.00704190866113	-0.0512515876743	-0.0468017058665
-0.0744344352798	-0.0504626942176	-0.101563789035	-0.0562998814217
-0.0509750789582	-0.0126409301195	-0.0423103216014	-0.0715393273242
-0.0155738590906	-0.0207810500303	-0.0107569529398	-0.0500095093777
-0.0433143206153	-0.0119930680252	-0.0101619386014	0.0242828635831
-0.029936813506	-0.0497964236979	-0.055766942414	0.0388222680613
-0.0121783506666	-0.0279399355049	0.00253933704126	0.0432329576016
-0.00927586070483	-0.0491646508892	-0.134657125572	-0.0253415115385
-0.0109560164806	-0.0119847640117	-0.0044063906982	-0.0410750347055
-0.0435249516896	-0.00848178169149	-0.0407488541747	-0.0555075771897
-0.024240965503	-0.0133568276758	-0.0306972159602	-0.0271543826806
-0.0484236783712	-0.0305560277698	-0.0506666393036	-0.0623399430272
-0.00920586212835	-0.0492475861122	-0.00476909623705	-0.0294786630625
-0.025065718327	-0.0191501244449	-0.047817185452	-0.011410926478
-0.0161342144121	-0.0584550148066	-0.0398750832141	-0.0550117155514
-0.0535867371469	-0.0821104660777	-0.0910724278852	-0.0625870308571
-0.0133765218316	-0.067046570854	-0.0729471106735	-0.0439943979668
-0.0499102857929	-0.0462272580798	-0.0727744892629	-0.0170285683747
-0.0387829895646	-0.0337715527498	-0.0651016747112	-0.0531680757352
-0.0370640427024	-0.050320386197	-0.0776397099255	-0.0365144146711
-0.0527614037684	-0.0533124078082	-0.028718648471	-0.0179207159473
-0.0492313182357	-0.055574733095	-0.0188566812983	-0.0410903701027
-0.0500406749333	-0.0587446572182	-0.00193659401926	-0.0271644900635
-0.0476324053316	-0.0504447150332	0.010248545788	-0.0040922726456
-0.0476551178468	-0.0519102503405	0.069904738298	-0.0324866906938
-0.0431772550188	-0.0526847959809	0.00931681264431	-0.043590751288
-0.0503189825875	-0.044968529042	-0.017315590691	-0.0299445484827
-0.0506184062223	-0.0456442996021	0.0346607402556	-0.061199705687
-0.0501806662593	-0.0477676878397	0.0155864263303	-0.0160801300838
-0.0425803179041	-0.0483780080215	-0.000614266565786	-0.0484855352134
-0.04889245631	-0.0476107799632	-0.019780348465	-0.0383957000034
-0.0504807657185	-0.04843128298	-0.0491681517337	-0.00934345430562
-0.0460011460888	-0.0446454187628	-0.0163886096777	-0.0272770051855
