GR_withDEX_F	GR_withDEX_R	GR_woDEX_F	GR_woDEX_R
-0.022208866247	-0.0286859398319	-0.0200063638189	-0.0460470894174
-0.0280767144859	-0.0256001363457	-0.0401422067732	-0.0399343093167
-0.0239552341614	-0.0286633466918	-0.0466809864904	-0.0333146942563
-0.0273969679796	-0.0270595678905	-0.0752441760605	-0.00274674515889
-0.0276535216788	-0.029115436346	-0.0396048386012	-0.0436640767215
-0.0315482864036	-0.0282961151279	-0.0524447002987	-0.0185226309989
-0.0281158964984	-0.0280258784945	-0.0211113792038	-0.0460410676172
-0.0295507891449	-0.0308137457246	0.0113195610201	-0.0411684315646
-0.0273121662807	-0.0290906668549	-0.0756697303951	0.000871820466496
-0.0330869751815	-0.0286941793922	-0.0404195793636	-0.0753780080029
-0.0312561869899	-0.0262477632007	-0.0718558524468	-0.0171762280525
-0.0304231062608	-0.0295457943916	-0.0175797674585	-0.0462826249631
-0.0308121268638	-0.0271224007175	-0.0272961399536	-0.0734133318508
-0.0340456138829	-0.0337026690132	-0.0153886112165	-0.0675577196709
-0.0224587299377	-0.0220091589535	-0.0279000628358	-0.0485623881192
-0.0229909295323	-0.0205626013615	-0.0113982451892	-0.0576130821188
-0.0174125449012	-0.0317551224066	-0.0125015823339	0.00514964658231
-0.0376511663696	-0.00728511933101	-0.0619321756028	-0.0630428603674
-0.0467983593856	-0.0322319511817	-0.0423903255479	-0.0929984052428
-0.0288263738633	-0.0061860792002	-0.0644208927434	-0.0572630342752
-0.0104828951419	-0.0126638292163	-0.00671172414196	-0.0358469891652
-0.03017354982	-0.00409202764398	-0.0338649185822	-0.0321634591845
-0.0138334230434	-0.029344984049	-0.0674589780072	0.0110286250909
-0.00553691436357	-0.0168657524474	-0.0113640102046	0.00433634808959
-0.0106001121161	-0.024163430992	-0.126158604115	-0.000177297503783
-0.0047908615219	-0.00617191428055	-0.0336085298674	-0.0464741508414
-0.0244472064081	-0.0101786704721	-0.0321791793389	-0.0089758888399
-0.0111852419781	-0.00543174643227	-0.0279527880067	-0.0280108507903
-0.0277413764764	-0.0164917397837	-0.035815823955	-0.0401468819039
-0.00382267439743	-0.0286925226564	-0.00566575444065	-0.0389727342741
-0.00784467992167	-0.0138069103461	-0.0443712126337	-0.00697585685574
-0.00124952015433	-0.0325830097361	-0.0419938067067	-0.0477086504909
-0.0273875427984	-0.0493179452974	-0.080669827167	-0.0553638396979
-0.00932985552374	-0.0381272638564	-0.104974281848	-0.043865568716
-0.0238147808422	-0.0262332105983	-0.0747138136987	0.0172827632274
-0.0217619305241	-0.0234199320855	-0.0736924237488	-0.00917251770014
-0.0214332274418	-0.0295430663929	-0.0805172623067	-0.0450273674345
-0.0329428404063	-0.0285757016198	-0.0924526865132	-0.00565011699343
-0.0287154118639	-0.0340620891104	-0.0217602502605	-0.0266374574733
-0.0326566286484	-0.0360494908686	0.00225542007245	-0.0680896040986
-0.0325680584249	-0.0313713773395	-0.0295329022998	-0.0460547783299
-0.0244381125211	-0.0258698638912	0.00590865606294	-0.00960884134702
-0.0288756948577	-0.0337225679364	0.0114693991381	-0.042869688634
-0.0295591937694	-0.0268016557883	-0.0489470241643	-0.0155743523713
-0.0302741865668	-0.0272487224302	0.0141906814031	-0.0482251883958
-0.0286561474156	-0.0283044837117	0.0755426501317	-0.0626276139721
-0.0296960560245	-0.0286900351412	-0.0318978721521	-0.0113639765863
-0.0279494831919	-0.0292481652156	-0.0398715747266	-0.0345752562704
-0.0293785888546	-0.0273458612152	-0.0777498214586	-0.0333221267554
-0.0251372575693	-0.0255756141787	-0.0214171856055	-0.049393661723
