FACTOR	PEARSON	PVALUE	PEARSON_MOTIFLEN	PVALUE_MOTIFLEN
ATF3	0.0481527434144	0.634252800555	0.158358426656	0.329082237027
BACH1	0.633831895921	1.46050813334e-12	0.771450562368	1.39009563014e-10
BRCA1	0.331409494763	0.00075676422128	0.534137137038	0.00163933400968
CEBPB	0.669706618007	2.56807707101e-14	0.915667602557	1.26870959222e-16
CTCF	0.640206942516	7.40408885756e-13	0.583467214408	2.36454450268e-06
EGR1	0.376914588245	0.000110940255814	0.38094369503	0.0075573077425
FOSL1	0.604077126993	2.8564180813e-11	0.777682641943	3.55855544388e-09
GABP	0.318509341097	0.00123966026348	0.400847290006	0.0103687616939
JUN	0.200492647094	0.0454919584849	0.332355148136	0.0275097852028
JUND	0.806799057496	3.97365539782e-24	0.859267857319	1.28310570294e-12
MAFK	0.577340312519	3.2165098688e-10	0.758079786702	4.38901486279e-10
MAX	0.23885584539	0.0166985345828	0.360511067884	0.022299947608
MYC	0.186369092982	0.0633736433606	0.274883200082	0.0860468464603
NRF1	0.164798146063	0.101320418825	0.28505058332	0.0746116401053
P300	0.727304375158	1.04477210805e-17	0.787809334511	3.05140761983e-11
POU5F1	0.0546286490768	0.589320016412	0.196142183755	0.181512357574
RAD21	0.636490040842	1.10234822508e-12	0.572082874866	4.10289907622e-06
REST	0.424409250053	1.07938699572e-05	0.584313075024	9.51275235735e-07
RFX5	0.333621053757	0.00069385777356	0.495335844453	0.000344249626093
RXRA	0.403800041906	3.09887909029e-05	0.463230094249	0.00261124943513
SIX5	0.585342253082	1.59464373431e-10	0.814232429778	2.54812271508e-15
SP1	0.291191218851	0.00328977466403	0.261693630186	0.102852238699
SP2	0.379319017756	9.9422121922e-05	0.339934095521	0.018082434119
SP4	0.495807447712	1.5616837334e-07	0.457902315715	0.000641761216439
SRF	0.0350445239932	0.729233273448	0.062089005459	0.649403416361
TBP	-0.265942437198	0.00748788395111	-0.141565784692	0.337161793994
TCF12	0.772365512429	4.99208879068e-21	0.778792772591	3.26998710833e-09
USF1	0.0502095138078	0.619826931546	0.149990339784	0.355599817419
USF2	0.00199050438903	0.984318744423	0.113468773025	0.48571531425
YY1	0.162566840984	0.106094517014	0.21611593018	0.158836501565
ZNF143	0.672389435435	1.85589339058e-14	0.811003793918	4.00351181917e-15
