FACTOR	PEARSON	PVALUE	PEARSON_MOTIFLEN	PVALUE_MOTIFLEN
ARID3A	0.451042553714	2.48372997064e-06	0.593188323131	0.000346092470136
ATF3	0.253528345194	0.0109235088491	0.75765407701	8.79543653601e-08
BHLHE40	0.0621530708919	0.539009911134	0.160641073268	0.322068226849
BRCA1	0.328170644638	0.000858332817819	0.453392672518	0.00915756777636
CEBPB	0.238109550158	0.0170522933313	0.684008311754	1.13998079235e-06
CTCF	0.418434263124	1.47595611171e-05	0.372839102244	0.00465533255011
ELF1	0.103367678049	0.306106729253	0.108872481056	0.481754531824
GABP	0.328082575289	0.000861260758558	0.406973352684	0.00915526594852
JUN	0.192753677901	0.0546861009806	0.366969072899	0.0142745377542
JUND	0.787145048244	2.74455104265e-22	0.910816820646	3.51637001495e-16
MAFF	0.794597289981	5.81644214289e-23	0.867998981771	4.73658917019e-18
MAFK	0.740837424824	1.24219505371e-18	0.817609093185	1.32696118996e-12
MAX	0.406154488448	2.75668536236e-05	0.604189411594	3.65501536024e-05
MYC	0.418105694487	1.50131523344e-05	0.637427067166	9.72008280352e-06
NRF1	0.041104803637	0.684704517134	0.0836477760391	0.607839295188
P300	0.869623797403	8.41732195254e-32	0.905080865309	1.06336673783e-18
RAD21	0.412355135936	2.01703852213e-05	0.362448965525	0.00604800682303
REST	0.35392465661	0.000303365232423	0.520460585008	2.02036110921e-05
RXRA	0.311971403545	0.00157907882648	0.364529377355	0.0207452812515
SP1	0.449422406683	2.72568379274e-06	0.457029630138	0.00302995784837
SP2	0.361966905865	0.000215205460668	0.35340844242	0.0137383529268
SRF	0.297447842909	0.00265216458849	0.366829303011	0.00542172733497
TBP	-0.0543776516756	0.59103435586	0.146453788748	0.320571421504
USF1	0.0829042825287	0.412197484619	0.22207356759	0.168435849842
USF2	0.00504944932936	0.960233982471	0.137015029208	0.399190966717
YY1	0.270862120309	0.00641617520066	0.405466863178	0.00632369544817
