GR_withDEX_F	GR_withDEX_R	GR_woDEX_F	GR_woDEX_R
0.319235287835	0.289009932714	0.1375	0.1125
0.321157748585	0.336110221083	0.1125	0.2875
0.286553455089	0.306739292962	0.25	0.2
0.27950443234	0.374879846203	0.075	0.8375
0.31656520346	0.418776033323	0.3625	0.175
0.308768557086	0.368685250454	0.1125	0.3875
0.312720281961	0.335148990708	0.225	0.35
0.313681512336	0.353198761081	0.3125	0.5375
0.401260279825	0.407668482324	0.1375	0.25
0.301078714087	0.39901740895	0.05	0.1875
0.249492683969	0.421339314322	0.0375	0.7875
0.336857844708	0.376481896828	0.125	0.375
0.342198013457	0.431058421446	0.2	0.1
0.303962405212	0.334508170458	0.0375	0.1
0.368151233579	0.325429883584	0.5125	0.0875
0.405959628324	0.382462885827	0.1375	0.1875
0.339955142583	0.387162234327	0.1625	0.575
0.410445370074	1.37605468333	0.0375	0.4
0.310904624586	0.476663462565	0.025	0.325
0.258464167468	0.302467157962	0.1375	0.0875
0.144932179857	0.407348072199	0.15	0.1875
0.2019651821	0.240841610595	0.1875	0.3
0.23624906547	0.239346363345	0.0625	0.4875
0.123251094735	0.552387055431	0.125	1.025
1.51991882944	0.191391647976	0.0875	0.1875
0.11994019011	0.137562746983	0.15	0.025
0.1989746876	1.39143436933	0.025	0.225
0.532201217558	0.135640286233	0.1875	0.0125
0.267222044217	0.228452419096	0.1	0.0
0.197372636975	0.2036740361	0.2	0.0625
0.372636975328	0.143757342732	0.025	0.0875
0.302573961337	0.252376375093	0.0625	0.0625
0.465021894692	0.322866602585	0.0875	0.025
1.2173448681	0.369432874079	0.075	0.1375
0.355868845456	0.367724020079	0.025	0.0625
0.349247036206	0.426465876322	0.025	0.15
0.294884118338	0.333974153583	0.1125	0.0375
0.314642742711	0.269998931966	0.1125	0.1875
0.337285058208	0.286553455089	0.4	0.025
0.296165758838	0.256221296593	0.1625	0.1875
0.32382783296	0.303535191712	0.175	0.0875
0.344974901207	0.265299583467	0.425	0.0625
0.332906119833	0.310157000961	0.2625	0.2125
0.302680764712	0.296699775713	0.5375	0.075
0.376481896828	0.307593719962	1.25	0.05
0.318380860835	0.327031934209	0.2625	0.2
0.35618925558	0.32062373171	0.55	0.0375
0.308982163836	0.322225782335	0.3	0.1
0.280252055965	0.327352344334	0.275	0.175
0.334401367083	0.295845348713	0.2125	0.15
