FACTOR	PEARSON	PVALUE	PEARSON_MOTIFLEN	PVALUE_MOTIFLEN
ARID3A	0.488689629698	2.49020814533e-07	0.662441017099	3.62311046739e-05
ATF1	0.484735149979	3.21255992842e-07	0.711738993129	1.41774267156e-08
ATF3	0.532356407008	1.19428422777e-08	0.798426307672	5.40381954921e-09
BACH1	0.857867610299	4.30464406183e-30	0.941451153763	2.36091742021e-23
BHLHE40	0.568653265673	6.74571682882e-10	0.766036289641	8.4024563634e-09
CCNT2	0.770695792494	6.83373899875e-21	0.790207491612	4.44797042645e-13
CEBPB	0.954198819156	3.67773157302e-53	0.983583723706	7.20765385048e-30
CTCF	0.790159387499	1.47641967453e-22	0.87695607012	8.00463032563e-19
CTCFL	0.724246605157	1.66100791727e-17	0.841560713281	4.59015717897e-16
E2F4	0.613453715298	1.15731943531e-11	0.741324893007	4.46409350365e-08
E2F6	0.830898862056	1.08013398508e-26	0.912091911734	2.70519764831e-16
EFOS	0.91133674768	1.47781816755e-39	0.962303305579	4.33845250003e-23
EGATA	0.838149146962	1.51833812429e-27	0.908076415377	5.25649765951e-19
EGR1	0.794681844248	5.71285672767e-23	0.824413534724	5.98434091742e-13
EJUNB	0.914401058851	2.84315083344e-40	0.971787721962	1.91271641065e-25
EJUND	0.905028965924	3.67068618759e-38	0.95614145353	7.29946858314e-22
ELF1	0.680760008576	6.58959258853e-15	0.802548148708	5.70517276416e-11
ELK1	0.617417098044	7.82857084141e-12	0.744839926782	3.56116929047e-08
ETS1	0.642275230397	5.91926281479e-13	0.683504942986	8.61072498356e-08
FOS	0.912878289076	6.49852680488e-40	0.96584394008	6.86792457204e-24
FOSL1	0.904862970525	3.98229318125e-38	0.963384003026	2.52000196678e-23
GABP	0.720167991601	3.05341950578e-17	0.837272480714	1.65524470871e-11
GATA1	0.576662973295	3.41037779837e-10	0.651159526116	5.36648042712e-06
GATA2	0.808295039652	2.82230173419e-24	0.885148259378	6.83642794207e-17
IRF1	0.655563764796	1.34803193725e-13	0.704513296638	3.35281287347e-10
JUN	0.732749683554	4.50445697455e-18	0.894653496578	2.73397762557e-16
JUND	0.904066688433	5.8746407836e-38	0.959146978223	1.94490911422e-22
MAFF	0.877771617661	4.36998629203e-33	0.926931498251	1.19544027237e-24
MAFK	0.838304233692	1.45440352207e-27	0.881343165406	1.38672308582e-16
MAX	0.822618085765	9.0910764822e-26	0.89374568802	8.41352681232e-15
MEF2A	0.241139531782	0.0156551482026	0.269934162803	0.0635290386553
MYC	0.717358445121	4.61559891053e-17	0.859298661136	1.27813950966e-12
NFE2	0.806685541297	4.07767117308e-24	0.883369565492	9.54415619075e-17
NFYA	0.81730893565	3.36401015793e-25	0.870201648436	3.09681654429e-18
NFYB	0.936722763793	1.82153098858e-46	0.968382035136	2.21081204722e-29
NR2F2	0.737085366605	2.27134340238e-18	0.879074295847	2.09022014379e-16
NRF1	0.0304498905114	0.763612501911	0.213878215253	0.185109611693
PU1	0.864060220283	5.67194041358e-31	0.899405324679	3.79807723215e-18
RAD21	0.76610377315	1.59903514596e-20	0.857878766941	3.03967391852e-17
REST	0.814921925553	5.97538697992e-25	0.858907421879	1.68254289075e-18
RFX5	0.711265784645	1.1117637767e-16	0.811679101656	2.58690941e-12
SIX5	0.905655306719	2.6954963037e-38	0.942416306705	2.84326609071e-29
SMC3	0.777877148706	1.73688864695e-21	0.870721510435	2.79813411667e-18
SP1	0.522945222083	2.38378644781e-08	0.564874063887	0.000146302048582
SP2	0.416501956228	1.63107097793e-05	0.204995179123	0.162201648196
SRF	0.649876450081	2.56211958405e-13	0.706422791072	1.18041564591e-09
STAT1	0.559732518725	1.41173398114e-09	0.760983750186	1.20146395673e-08
STAT2	0.535863189082	9.18121015208e-09	0.621085708788	2.47524315508e-06
STAT5A	0.872967962383	2.56219485586e-32	0.949901697736	8.65413147588e-21
TAL1	0.802676049444	1.00482317518e-23	0.815468848461	1.97277974885e-14
TBP	0.436220100919	5.71278801612e-06	0.517546071187	0.000165187172209
THAP1	0.698491048461	6.53764479297e-16	0.789561671066	1.04331891753e-08
TR4	0.685206149366	3.74890083403e-15	0.839682452738	8.79077319353e-14
USF1	0.596754386896	5.66854991236e-11	0.808950874606	2.68267951105e-10
USF2	0.581966253777	2.14897694204e-10	0.812581010533	1.92756234687e-10
YY1	0.434791853587	6.1775487391e-06	0.455607733796	0.00188486188339
ZBTB33	0.731482131748	5.48893008589e-18	0.836910270026	1.26347300491e-13
ZBTB7A	0.678960582902	8.25616091148e-15	0.765770374937	2.28654483416e-10
ZNF143	0.899084952411	6.20741032562e-37	0.939510432943	1.13841573892e-28
ZNF263	0.806085461376	4.67317448572e-24	0.821755585571	8.58757934997e-16
