FACTOR	PEARSON	PVALUE	PEARSON_MOTIFLEN	PVALUE_MOTIFLEN
ARID3A	0.588943908633	1.15554395027e-10	0.721937060858	3.1041479217e-06
ATF3	0.574824437216	3.99487701538e-10	0.693985527119	2.68261642612e-06
BHLHE40	-0.070614712127	0.485088818676	0.0784620993469	0.630342190303
BRCA1	0.326199628972	0.000926083402824	0.509509923264	0.0028962483396
CEBPB	0.817719210436	3.04512827938e-25	0.867429688932	4.44193122929e-13
CTCF	0.509579550402	6.14035150735e-08	0.599002522351	1.07678033125e-06
ELF1	0.809683947098	2.04870894222e-24	0.821857296415	8.03968268175e-12
GABP	0.498062842793	1.34405714342e-07	0.529143192078	0.000447148478526
JUN	0.851442323761	3.1936709314e-29	0.863818364132	4.39516280413e-14
JUND	0.930174929544	1.93541978566e-44	0.934606556899	1.19512575485e-18
MAFF	0.768678959664	9.95083192181e-21	0.780532317803	1.3132552655e-12
MAFK	0.499279839405	1.23895137171e-07	0.51287411832	0.000193590809449
MAX	0.393651102823	5.08075700162e-05	0.503626997648	0.000923460665984
MYC	0.156763314726	0.119335015255	0.303329599713	0.0570808551223
NRF1	0.649901982529	2.55482113058e-13	0.660506804545	3.52036177792e-06
P300	0.77900527064	1.39414110787e-21	0.88469186443	7.45139392053e-17
RAD21	0.516669873836	3.73596517764e-08	0.610086355103	5.98646615889e-07
REST	0.494406408128	1.71334299294e-07	0.523084611859	1.80334468694e-05
RXRA	0.57504714488	3.91925974527e-10	0.62600805528	1.55884179694e-05
SP1	0.590925438022	9.66260830377e-11	0.512578912346	0.000720624022039
SP2	0.820511459189	1.53577675357e-25	0.702722011062	2.58002514772e-08
SRF	0.632432995776	1.69174505955e-12	0.659976713673	3.14882082919e-08
TBP	0.559592266778	1.42797234908e-09	0.630965850717	1.52820724125e-06
USF1	0.315260949787	0.00139899303781	0.456661417001	0.00305657360173
USF2	0.377163863174	0.000109690968632	0.509339024378	0.000788916102676
YY1	0.667925400141	3.18020855818e-14	0.73018555584	1.85500756746e-08
