FACTOR	PEARSON	PVALUE	PEARSON_MOTIFLEN	PVALUE_MOTIFLEN
ARID3A	0.701877346163	4.12506658206e-16	0.831073428154	3.89301536977e-09
ATF3	0.73426467604	3.55138204025e-18	0.694457562512	2.62393492402e-06
BHLHE40	0.814807372927	6.1411453038e-25	0.908247760379	5.89505746863e-16
BRCA1	0.705661980171	2.44666292296e-16	0.479000921302	0.00554410674128
CEBPB	0.728847716327	8.24820639441e-18	0.757963352529	1.48168195565e-08
CTCF	0.373634485619	0.000128658443164	0.324694904771	0.0146246376388
ELF1	0.850900588737	3.76523604909e-29	0.852068677119	2.21649074123e-13
GABP	0.83201304335	8.03860777064e-27	0.848000021243	5.00048980807e-12
JUN	0.572427748325	4.90259594329e-10	0.667412100593	7.49411056148e-07
JUND	0.902020172131	1.57127218222e-37	0.9154095403	1.34145980688e-16
MAFF	0.923040692107	1.91196016015e-42	0.934906238664	5.85106315007e-26
MAFK	0.942258142007	2.3474151021e-48	0.95615974511	3.56620008998e-26
MAX	0.909570607615	3.71965102458e-39	0.930975382803	3.23171121744e-18
MYC	0.902963093214	1.00131130896e-37	0.919620453813	5.27813115657e-17
NRF1	0.43861896977	5.0055144918e-06	0.168424480617	0.298862084441
P300	0.804405228425	6.82780066415e-24	0.849574495859	2.27311946774e-14
RAD21	0.375313356768	0.000119285486922	0.311422700674	0.0194735740748
REST	0.775954408113	2.51883927573e-21	0.794272679742	3.65154313721e-14
RXRA	0.886339371967	1.53711304198e-34	0.927331755074	8.31622924352e-18
SP1	0.506962415352	7.35550368674e-08	0.439214361708	0.00457657705022
SP2	0.384355501841	7.880561534e-05	0.347666174946	0.0154662819839
SRF	0.599988381037	4.19708023779e-11	0.662786452939	2.62404770564e-08
TBP	0.691891051153	1.57518119144e-15	0.652707618648	4.97185302087e-07
USF1	0.732592437693	4.61655942853e-18	0.819168544978	1.0385630634e-10
USF2	0.636234630972	1.13268817996e-12	0.792356517103	1.11726771583e-09
YY1	0.921427040771	5.08092370058e-42	0.918424838708	1.61224483682e-18
